key_mlbam,key_bbref
680911,milleow01
669242,edmanto01
570666,cessalu01
642239,zastrro01
676914,schneda03
664040,lowebr01
596001,junisja01
593576,nerishe01
445926,chaveje01
696100,goodmhu01
641796,locasti01
694192,chourja01
665828,cabreos01
677951,wittbo02
608385,winkeje01
668952,kreidry01
669093,estraje01
593958,rodried05
621051,wilsost02
623507,lestejo02
668939,rutscad01
700932,manzaky01
592450,judgeaa01
607732,stallja01
656271,burkebr01
641386,bowdebe01
663457,nootbla01
656577,jacksal02
666619,santogr01
694671,langfwy01
593871,polanjo01
608701,refsnro01
701305,dezenza01
656413,faircst01
669467,pallaan01
596295,gombeau01
642136,thaisma01
657656,laurera01
669194,nelsory01
663765,woodfja01
666277,soriage01
668674,erceglu01
612434,castrmi01
621035,tayloch03
571510,boydma01
625643,lopezre01
686676,leeko01
657088,wallfo01
673513,matsuyu01
671056,herreiv01
621139,kriskbr01
680716,orneljo01
605353,machivi01
663878,pearsna01
656730,megiltr01
657265,strzepe01
666310,naylobo01
686681,massemi02
676572,wagamer01
666185,carlsdy01
702616,hollija01
666703,rosareg01
686531,lipcian01
666969,garciad02
665833,cruzon01
681911,vesiaal01
650333,arraelu01
516782,martest01
686642,ellarfr01
656288,cannigr01
663538,hoernni01
808982,leeju01
663993,lowena01
620443,torrelu01
624585,solerjo01
687401,ortizjo06
621363,pocheco01
680737,helmami01
542303,ozunama01
668941,romerjo01
668901,vientma01
672012,blackty01
553988,machadi01
606996,hartky01
609280,andujmi01
607625,lugose01
605170,caratvi01
681867,criswco01
664770,lukesna01
575929,contrwi01
695243,millema03
665152,kremede01
676632,madribl01
621237,alvarjo03
621345,minteaj01
657097,webbja01
592178,bryankr01
641793,litteza01
543309,higasky01
663465,allarko01
670950,richatr01
592094,adamja01
686217,frelisa01
642585,bautife01
675911,stridsp01
605177,chafian01
666160,moniami01
645277,albieoz01
666152,hamilda03
623205,velazan01
670869,sotoli01
691016,soderty01
650556,abreubr01
630105,croneja01
434378,verlaju01
660896,alcaljo01
678368,bellova01
693304,gonzani01
623993,santaan02
676113,deloaza01
642350,sirijo01
676775,winnke01
670764,wallsta01
682254,montgma01
656775,mullice01
690993,keithco01
676395,garciro04
605182,clevimi01
671131,rutleja01
543518,mcgousc01
694376,whitcsh01
519043,moorema02
607680,pillake01
660271,ohtansh01
669127,langesh01
664849,youngda02
672279,sianimi01
689690,jacobal01
606115,arciaor01
657757,sheetga01
571875,lambja01
679822,foscuju01
573204,thielca01
518595,darnatr01
656941,schwaky01
693433,woobr01
686730,spierca01
518692,freemfr01
691026,winnma01
650907,pintore02
678692,henriro01
624513,nunezdo01
665804,amayami01
643217,beninan01
669234,malloju02
696131,blackma01
683011,volpean01
607455,bandaan01
694973,skenepa01
656627,kolozma01
668723,viladry01
668752,ellisdu01
664208,matonph01
671345,foleyja01
670167,schrejo01
687911,kingbr02
656234,birdja01
643511,rogerty01
686765,sogarni01
500743,rojasmi02
641355,bellico01
672515,morenga01
621043,correca01
660261,fujinsh01
676254,walkery01
669674,longsa01
642708,rosaram01
701538,merrija01
595939,ellisch01
595014,treinbl01
668834,mcgeeea01
605463,scottta02
655889,rodrima01
665966,narvaca01
668800,kniznan01
681584,villada01
622780,perdoan01
669004,melenmj01
665487,tatisfe02
606303,payamjo01
663568,kolekst01
571948,milneho01
668670,rogerja03
642100,speiega01
608348,kellyca02
663647,hayeske01
689225,briesbe01
518585,cruzfe01
657612,hillti01
680704,sandlni01
663542,hudsobr01
663624,mountry01
682868,ramosbr01
500779,quintjo01
661388,contrwi02
595453,wallach01
682515,portelo01
642546,hernajo02
694363,shustja01
516853,rodriwi02
642201,whiteel04
641482,cortene01
666214,wentzjo01
664139,gibauia01
608032,estevca01
663743,forteni01
592669,renfrhu01
571448,arenano01
593974,peralwa01
686973,varlalo01
675961,willial04
