Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,305,2021-04-01,MIA,,TBR,"L,0-1",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.333,0.333,0.667,7,1.33,0.074,1.22,0.04%,0.14,0.0,0.0,C,,2021-04-01,146,139,634652,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,306,2021-04-02,MIA,,TBR,"L,4-6",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.286,0.167,0.452,8,1.09,-0.035,0.94,-0.02%,-0.76,0.0,0.0,C,,2021-04-02,146,139,634602,2021,0.333,0.333,0.333,0.667,1.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,1.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,1.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,1.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,1.0,0.0,0.0,1.0,1.0
3,307,2021-04-05,MIA,,STL,"L,1-4",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.273,0.2,0.473,7,0.9,-0.077,0.8,-0.04%,-0.73,0.0,0.0,C,,2021-04-05,146,138,634562,2021,0.167,0.286,0.167,0.452,1.0,0.0,0.0,1.0,1.0,0.167,0.286,0.167,0.452,1.0,0.0,0.0,1.0,1.0,0.167,0.286,0.167,0.452,1.0,0.0,0.0,1.0,1.0,0.167,0.286,0.167,0.452,1.0,0.0,0.0,1.0,1.0,0.167,0.286,0.167,0.452,1.0,0.0,0.0,1.0,1.0
4,308,2021-04-06,MIA,,STL,"L,2-4",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.267,0.214,0.481,7,1.48,-0.135,1.25,-0.07%,-0.74,0.0,0.0,C,,2021-04-06,146,138,634594,2021,0.2,0.273,0.2,0.473,1.0,0.0,0.0,2.0,2.0,0.2,0.273,0.2,0.473,1.0,0.0,0.0,2.0,2.0,0.2,0.273,0.2,0.473,1.0,0.0,0.0,2.0,2.0,0.2,0.273,0.2,0.473,1.0,0.0,0.0,2.0,2.0,0.2,0.273,0.2,0.473,1.0,0.0,0.0,2.0,2.0
5,309,2021-04-11,MIA,@,NYM,"L,5-6",1-GF,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.211,0.167,0.377,1,0.61,-0.079,0.53,-0.04%,-1.2,0.0,0.0,PR LF,,2021-04-11,146,121,632192,2021,0.214,0.267,0.214,0.481,1.0,0.0,0.0,3.0,4.0,0.214,0.267,0.214,0.481,1.0,0.0,0.0,3.0,4.0,0.214,0.267,0.214,0.481,1.0,0.0,0.0,3.0,4.0,0.182,0.25,0.182,0.432,0.0,0.0,0.0,2.0,3.0,0.214,0.267,0.214,0.481,1.0,0.0,0.0,3.0,4.0
6,310,2021-04-13,MIA,@,ATL,"W,14-8",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.167,0.13,0.297,8,0.41,-0.061,0.34,-0.03%,-1.52,0.0,0.0,C,,2021-04-13,146,144,632211,2021,0.167,0.211,0.167,0.377,1.0,0.0,0.0,3.0,6.0,0.167,0.211,0.167,0.377,1.0,0.0,0.0,3.0,6.0,0.167,0.211,0.167,0.377,1.0,0.0,0.0,3.0,6.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,2.0,5.0,0.167,0.211,0.167,0.377,1.0,0.0,0.0,3.0,6.0
7,311,2021-04-14,MIA,@,ATL,"W,6-5",CG(10),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.179,0.148,0.327,8,1.58,-0.215,1.48,-0.12%,-1.8,0.0,0.0,C,,2021-04-14,146,144,634581,2021,0.13,0.167,0.13,0.297,1.0,0.0,0.0,3.0,9.0,0.13,0.167,0.13,0.297,1.0,0.0,0.0,3.0,9.0,0.1,0.143,0.1,0.243,0.0,0.0,0.0,2.0,8.0,0.077,0.077,0.077,0.154,0.0,0.0,0.0,1.0,7.0,0.13,0.167,0.13,0.297,1.0,0.0,0.0,3.0,9.0
8,312,2021-04-16,MIA,,SFG,"W,4-1",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.194,0.167,0.36,8,1.45,-0.02,1.37,-0.01%,-0.04,0.0,0.0,C,,2021-04-16,146,137,634519,2021,0.148,0.179,0.148,0.327,1.0,0.0,0.0,4.0,12.0,0.148,0.179,0.148,0.327,1.0,0.0,0.0,4.0,12.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,3.0,11.0,0.077,0.077,0.077,0.154,0.0,0.0,0.0,1.0,8.0,0.148,0.179,0.148,0.327,1.0,0.0,0.0,4.0,12.0
9,313,2021-04-17,MIA,,SFG,"W,7-6",CG(10),6.0,6.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.216,0.222,0.438,8,3.05,0.849,2.86,0.48%,1.4,0.0,0.0,C,,2021-04-17,146,137,634450,2021,0.167,0.194,0.167,0.36,1.0,0.0,0.0,5.0,12.0,0.167,0.194,0.167,0.36,1.0,0.0,0.0,5.0,12.0,0.15,0.15,0.15,0.3,0.0,0.0,0.0,3.0,10.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,2.0,6.0,0.167,0.194,0.167,0.36,1.0,0.0,0.0,5.0,12.0
10,314,2021-04-18,MIA,,SFG,"L,0-1",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.211,0.216,0.427,2,1.82,-0.047,1.86,-0.03%,-0.11,0.0,0.0,PH,,2021-04-18,146,137,634425,2021,0.194,0.216,0.25,0.466,1.0,0.0,1.0,8.0,14.0,0.194,0.216,0.25,0.466,1.0,0.0,1.0,8.0,14.0,0.182,0.182,0.273,0.455,0.0,0.0,1.0,5.0,10.0,0.308,0.308,0.462,0.769,0.0,0.0,1.0,5.0,5.0,0.194,0.216,0.25,0.466,1.0,0.0,1.0,8.0,14.0
