Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,90,1,2021-04-01,HOU,@,OAK,"W,8-1",CG,5,3,0,1,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0.333,0.4,0.667,1.067,6,0.82,0.155,0.87,0.10%,1.66,,,DH,,2021-04-01,117,133,634640
2,91,2,2021-04-02,HOU,@,OAK,"W,9-5",CG,5,5,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0.25,0.3,0.5,0.8,6,0.38,0.0,0.41,0.00%,-0.22,,,DH,,2021-04-02,117,133,634605
3,92,3,2021-04-03,HOU,@,OAK,"W,9-1",CG,5,5,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.385,0.4,0.769,1.169,6,0.82,0.322,0.97,0.23%,2.66,,,DH,,2021-04-03,117,133,634629
4,93,4,2021-04-04,HOU,@,OAK,"W,9-2",CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.294,0.35,0.588,0.938,4,0.46,-0.047,0.55,-0.03%,-1.02,,,DH,,2021-04-04,117,133,634651
5,94,5,2021-04-05,HOU,@,LAA,"L,6-7",CG,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.273,0.32,0.5,0.82,4,1.19,0.038,1.5,0.03%,-0.65,,,DH,,2021-04-05,117,108,634552
6,95,6,2021-04-06,HOU,@,LAA,"W,4-2",GS-9,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.308,0.345,0.538,0.883,4,1.58,0.146,2.06,0.11%,0.69,,,DH,,2021-04-06,117,108,634586
7,96,7,2021-04-08,HOU,,OAK,"W,6-2",CG,4,4,2,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0.333,0.364,0.667,1.03,4,0.46,0.088,0.57,0.07%,1.07,,,DH,,2021-04-08,117,133,634546
8,97,8,2021-04-09,HOU,,OAK,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.294,0.324,0.588,0.913,4,1.03,-0.106,1.28,-0.08%,-0.91,,,DH,,2021-04-09,117,133,634537
9,98,9,2021-04-10,HOU,,OAK,"L,3-7",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.289,0.317,0.553,0.87,4,0.77,-0.035,0.94,-0.03%,-0.27,,,DH,,2021-04-10,117,133,632202
10,99,10,2021-04-12,HOU,,DET,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0.289,0.5,0.789,4,0.62,-0.059,0.68,-0.04%,-0.88,,,DH,,2021-04-12,117,116,632220
11,100,11,2021-04-13,HOU,,DET,"L,2-8",CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.306,0.5,0.806,5,0.46,0.019,0.48,0.01%,0.03,,,DH,,2021-04-13,117,116,632229
12,101,16 (4),2021-04-20,HOU,@,COL,"L,2-6",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.3,0.489,0.789,8,0.21,-0.005,0.18,0.00%,-0.35,,,PH,,2021-04-20,117,115,634406
13,102,18 (1),2021-04-22,HOU,,LAA,"W,8-2",CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.275,0.309,0.471,0.78,4,0.43,0.041,0.38,0.02%,-0.18,,,DH,,2021-04-22,117,108,634438
14,103,19,2021-04-23,HOU,,LAA,"W,5-4",CG(10),4,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.278,0.322,0.481,0.804,4,1.34,-0.012,1.23,-0.01%,0.01,,,DH,,2021-04-23,117,108,634383
15,104,20,2021-04-24,HOU,,LAA,"W,16-2",CG,5,4,0,2,0,1,0,4,1,1,1,0,0,0,0,1,0,0,0.293,0.344,0.517,0.861,4,0.29,0.056,0.29,0.03%,2.92,,,DH,,2021-04-24,117,108,634366
16,105,21,2021-04-25,HOU,,LAA,"L,2-4",CG,4,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.279,0.338,0.492,0.83,4,1.18,-0.018,1.2,-0.01%,-0.22,,,DH,,2021-04-25,117,108,634403
17,106,22,2021-04-26,HOU,,SEA,"W,5-2",CG,4,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.308,0.361,0.523,0.884,4,0.58,0.105,0.61,0.07%,1.15,,,DH,,2021-04-26,117,136,634382
18,107,23,2021-04-27,HOU,,SEA,"W,2-0",CG,4,3,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.309,0.355,0.529,0.885,4,0.74,-0.046,0.81,-0.03%,-0.51,,,DH,,2021-04-27,117,136,634333
19,108,26 (2),2021-04-30,HOU,@,TBR,"W,9-2",CG,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.315,0.358,0.521,0.879,4,0.3,0.03,0.32,0.02%,-0.35,,,DH,,2021-04-30,117,139,634275
20,109,27,2021-05-01,HOU,@,TBR,"W,3-1",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.303,0.353,0.5,0.853,4,0.62,-0.005,0.66,0.00%,-0.36,,,DH,,2021-05-01,117,139,634307
21,110,28,2021-05-02,HOU,@,TBR,"L,4-5",CG,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.313,0.36,0.55,0.91,4,1.27,0.149,1.43,0.10%,1.16,,,DH,,2021-05-02,117,139,634323
22,111,29,2021-05-04,HOU,@,NYY,"L,3-7",CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.321,0.366,0.548,0.913,4,0.8,-0.047,0.87,-0.03%,-0.12,,,DH,,2021-05-04,117,147,634269
23,112,30,2021-05-05,HOU,@,NYY,"L,3-6",CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.318,0.361,0.534,0.895,4,1.28,0.024,1.29,0.02%,0.18,,,DH,,2021-05-05,117,147,634217
24,113,31,2021-05-06,HOU,@,NYY,"W,7-4",CG,4,4,2,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0.337,0.376,0.609,0.985,4,0.72,0.23,0.75,0.14%,2.03,,,DH,,2021-05-06,117,147,634224
25,114,32,2021-05-07,HOU,,TOR,"W,10-4",CG,5,5,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.34,0.377,0.598,0.975,4,0.76,-0.038,0.82,-0.03%,-0.21,,,DH,,2021-05-07,117,141,634201
26,115,33,2021-05-08,HOU,,TOR,"L,4-8",CG,4,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0.347,0.382,0.624,1.006,4,1.62,0.102,1.82,0.07%,1.93,,,DH,,2021-05-08,117,141,634193
27,116,34,2021-05-09,HOU,,TOR,"W,7-4",CG,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0.395,0.638,1.033,4,0.44,0.021,0.49,0.01%,0.61,,,DH,,2021-05-09,117,141,634192
