Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,571,2021-04-01,CHW,@,LAA,"L,3-4",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,1,0.66,-0.036,0.63,-0.02%,-0.41,0.0,0.0,SS,,2021-04-01,145,108,634655,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,572,2021-04-02,CHW,@,LAA,"W,12-8",CG,5.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.556,0.778,1,1.02,-0.009,0.94,-0.01%,-0.26,0.0,0.0,SS,,2021-04-02,145,108,634631,2021,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0
3,573,2021-04-03,CHW,@,LAA,"L,3-5",CG,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.214,0.429,0.643,1,0.9,-0.093,0.88,-0.06%,-0.8,0.0,0.0,SS,,2021-04-03,145,108,634646,2021,0.222,0.222,0.667,0.889,0.0,0.0,1.0,5.0,2.0,0.222,0.222,0.667,0.889,0.0,0.0,1.0,5.0,2.0,0.222,0.222,0.667,0.889,0.0,0.0,1.0,5.0,2.0
4,574,2021-04-04,CHW,@,LAA,"L,4-7",GS-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,1,0.87,-0.023,0.8,-0.01%,-0.25,0.0,0.0,SS,,2021-04-04,145,108,634637,2021,0.214,0.214,0.5,0.714,0.0,0.0,1.0,6.0,3.0,0.214,0.214,0.5,0.714,0.0,0.0,1.0,6.0,3.0,0.214,0.214,0.5,0.714,0.0,0.0,1.0,6.0,3.0
5,575,2021-04-15,CHW,,CLE,"L,2-4",CG,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.4,0.65,1,0.89,0.027,0.97,0.02%,0.68,0.0,0.0,SS,,2021-04-15,145,114,634501,2021,0.2,0.2,0.467,0.667,0.0,0.0,1.0,6.0,3.0,0.2,0.2,0.467,0.667,0.0,0.0,1.0,6.0,3.0,0.2,0.2,0.467,0.667,0.0,0.0,1.0,6.0,3.0
6,576,2021-04-17,CHW,@,BOS,"L,4-7",CG,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24,0.24,0.36,0.6,1,1.33,0.06,1.27,0.03%,-0.82,0.0,0.0,SS,,2021-04-17,145,111,634471,2021,0.25,0.25,0.45,0.7,0.0,0.0,1.0,8.0,4.0,0.25,0.25,0.45,0.7,0.0,0.0,1.0,8.0,4.0,0.25,0.25,0.45,0.7,0.0,0.0,1.0,8.0,4.0
7,577,2021-04-18,CHW,@,BOS,"W,3-2",CG(7),4.0,4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.517,0.828,1,0.81,0.182,0.73,0.10%,1.69,0.0,0.0,SS,1.0,2021-04-18,145,111,634532,2021,0.24,0.24,0.4,0.64,1.0,0.0,1.0,9.0,7.0,0.238,0.238,0.429,0.667,1.0,0.0,1.0,8.0,5.0,0.24,0.24,0.4,0.64,1.0,0.0,1.0,9.0,7.0
8,578,2021-04-19,CHW,@,BOS,"L,4-11",CG,4.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.364,0.364,0.576,0.939,1,0.54,0.048,0.55,0.03%,1.18,0.0,0.0,SS,,2021-04-19,145,111,634445,2021,0.31,0.31,0.586,0.897,1.0,0.0,2.0,15.0,7.0,0.35,0.35,0.55,0.9,1.0,0.0,1.0,10.0,5.0,0.31,0.31,0.586,0.897,1.0,0.0,2.0,15.0,7.0
9,579,2021-04-20,CHW,@,CLE,"W,8-5",CG,5.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.342,0.605,0.947,1,0.64,0.031,0.72,0.02%,-0.5,0.0,0.0,SS,,2021-04-20,145,114,634397,2021,0.364,0.364,0.667,1.03,3.0,0.0,3.0,19.0,8.0,0.474,0.474,0.789,1.263,3.0,0.0,2.0,13.0,5.0,0.364,0.364,0.667,1.03,3.0,0.0,3.0,19.0,8.0
10,580,2021-04-23,CHW,,TEX,"W,9-7",CG,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,0.349,0.581,0.93,1,0.95,0.001,1.02,0.00%,0.12,0.0,0.0,SS,,2021-04-23,145,140,634435,2021,0.342,0.342,0.711,1.053,3.0,0.0,4.0,23.0,9.0,0.435,0.435,0.87,1.304,3.0,0.0,3.0,17.0,6.0,0.342,0.342,0.711,1.053,3.0,0.0,4.0,23.0,9.0
11,581,2021-04-24,CHW,,TEX,"W,2-1",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34,0.34,0.553,0.894,1,1.11,-0.076,1.18,-0.05%,-0.8,0.0,0.0,SS,,2021-04-24,145,140,634384,2021,0.349,0.349,0.674,1.023,3.0,0.0,4.0,25.0,12.0,0.435,0.435,0.87,1.304,3.0,0.0,3.0,17.0,8.0,0.349,0.349,0.674,1.023,3.0,0.0,4.0,25.0,12.0
