Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,125,1,2021-04-01,MIN,@,MIL,"L,5-6",CG(10),6,5,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.4,0.5,0.4,0.9,1,1.79,-0.063,1.62,-0.03%,0.62,,,3B LF,,2021-04-01,142,158,634638
2,126,2,2021-04-03,MIN,@,MIL,"W,2-0",CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.333,0.4,0.333,0.733,1,1.13,0.047,0.93,0.02%,0.36,,,3B,,2021-04-03,142,158,634575
3,127,3,2021-04-04,MIN,@,MIL,"W,8-2",CG,5,3,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0.6,0.583,1.183,1,0.79,0.166,0.7,0.09%,2.35,,,3B,,2021-04-04,142,158,634597
4,128,4,2021-04-05,MIN,@,DET,"W,15-6",GS-2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.538,0.647,0.615,1.262,1,1.28,0.087,1.52,0.06%,0.96,,,3B,,2021-04-05,142,116,634588
5,129,5,2021-04-06,MIN,@,DET,"L,3-4",CG(10),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.389,0.5,0.444,0.944,1,1.58,-0.2,1.85,-0.14%,-1.65,,,2B LF,,2021-04-06,142,116,634603
6,130,7 (1),2021-04-08,MIN,,SEA,"W,10-2",CG,4,3,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0.381,0.462,0.571,1.033,9,0.48,-0.039,0.52,-0.03%,0.61,,,3B,,2021-04-08,142,136,634550
7,131,8,2021-04-10,MIN,,SEA,"L,3-4",CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.32,0.4,0.48,0.88,9,1.3,-0.131,1.41,-0.09%,-0.8,,,3B,,2021-04-10,142,136,632205
8,132,9,2021-04-11,MIN,,SEA,"L,6-8",CG,5,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.357,0.457,0.5,0.957,1,0.49,0.068,0.49,0.04%,0.86,,,3B,,2021-04-11,142,136,632215
9,133,10,2021-04-13,MIN,,BOS,"L,2-4",CG,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.323,0.436,0.452,0.888,6,1.41,0.028,1.46,0.02%,-0.29,,,3B,,2021-04-13,142,111,632190
10,134,11,2021-04-14,MIN,,BOS,"L,2-3",CG(7),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.395,0.4,0.795,1,2.63,-0.287,2.49,-0.16%,-1.39,,,3B,1.0,2021-04-14,142,111,634574
11,135,12,2021-04-14,MIN,,BOS,"L,1-7",CG(7),3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.37,0.368,0.738,6,0.92,-0.088,0.85,-0.05%,-1.19,,,2B,2.0,2021-04-14,142,111,632223
12,136,13,2021-04-15,MIN,,BOS,"W,4-3",CG,5,5,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.326,0.412,0.419,0.83,1,1.33,0.284,1.15,0.15%,2.39,,,2B 3B LF,,2021-04-15,142,111,634554
13,137,14,2021-04-16,MIN,@,LAA,"L,3-10",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.304,0.4,0.391,0.791,5,0.8,-0.03,0.74,-0.02%,-0.41,,,2B,,2021-04-16,142,108,634526
14,138,15,2021-04-20,MIN,@,OAK,"L,0-7",CG(7),3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.306,0.397,0.388,0.784,7,0.43,-0.032,0.39,-0.02%,0.0,,,2B LF,1.0,2021-04-20,142,133,634490
15,139,16,2021-04-20,MIN,@,OAK,"L,0-1",CG(7),2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.4,0.38,0.78,8,2.2,0.116,1.84,0.06%,0.42,,,2B LF,2.0,2021-04-20,142,133,634466
16,140,17,2021-04-21,MIN,@,OAK,"L,12-13",CG(10),6,5,2,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0.309,0.409,0.4,0.809,1,1.0,0.029,0.82,0.01%,0.21,,,2B 3B,,2021-04-21,142,133,634440
17,141,18,2021-04-23,MIN,,PIT,"W,2-0",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.305,0.4,0.39,0.79,1,0.42,0.014,0.3,0.01%,0.07,,,2B,,2021-04-23,142,134,634434
18,142,19,2021-04-24,MIN,,PIT,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.378,0.365,0.743,1,1.19,-0.083,0.93,-0.04%,-0.4,,,2B,,2021-04-24,142,134,634467
