Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,81 (80),2021-06-30,MIL,,CHC,"W,15-7",GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-06-30,158,112,633474
2,2,114 (32),2021-08-10,MIL,@,CHC,"W,6-3",GS-3,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,2.0,2021-08-10,158,112,633000
3,3,118 (3),2021-08-14,MIL,@,PIT,"W,6-0",GS-5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.92,-0.048,.61,-0.02%,-0.47,,,P,2.0,2021-08-14,158,134,632897
4,4,125 (6),2021-08-22,MIL,,WSN,"W,7-3",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-22,158,120,632786
5,5,136 (10),2021-09-03,MIL,,STL,"L,4-15",3-7,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.000,.333,.000,.333,9,.20,0.000,.04,0.00%,0.18,,,P,,2021-09-03,158,138,632638
6,6,138 (1),2021-09-05,MIL,,STL,"W,6-5",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,4,,,,,,,,PR,,2021-09-05,158,138,632610
7,7,141 (2),2021-09-08,MIL,,PHI,"W,4-3",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,9,,,,,,,,P,,2021-09-08,158,143,632565
8,8,147 (5),2021-09-17,MIL,,CHC,"W,8-5",6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,4,,,,,,,,P,,2021-09-17,158,112,632461
9,9,153 (5),2021-09-23,MIL,,STL,"L,5-8",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,9,,,,,,,,P,,2021-09-23,158,138,632367
10,10,156 (2),2021-09-26,MIL,,NYM,"W,8-4",7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,9,,,,,,,,P,,2021-09-26,158,121,632328
11,11,158 (1),2021-09-29,MIL,@,STL,"W,4-0",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,5,,,,,,,,P,,2021-09-29,158,138,632301
12,12,162 (3),2021-10-03,MIL,@,LAD,"L,3-10",5-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,9,,,,,,,,P,,2021-10-03,158,119,632242
