Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,553,2021-04-12,WSN,@,STL,"W,5-2",CG,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.6,0.333,0.933,4,1.3,-0.015,1.02,-0.01%,-0.08,0.0,0.0,1B,,2021-04-12,120,138,632230,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,554,2021-04-13,WSN,@,STL,"L,3-14",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.167,0.444,0.167,0.611,4,0.46,0.003,0.35,0.00%,0.38,0.0,0.0,1B,,2021-04-13,120,138,634502,2021,0.333,0.6,0.333,0.933,0.0,0.0,0.0,1.0,1.0,0.333,0.6,0.333,0.933,0.0,0.0,0.0,1.0,1.0,0.333,0.6,0.333,0.933,0.0,0.0,0.0,1.0,1.0
3,555,2021-04-15,WSN,,ARI,"L,6-11",CG,5.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.357,0.3,0.657,3,0.66,0.035,0.56,0.02%,0.06,0.0,0.0,1B,,2021-04-15,120,109,634481,2021,0.167,0.444,0.167,0.611,0.0,0.0,0.0,1.0,2.0,0.167,0.444,0.167,0.611,0.0,0.0,0.0,1.0,2.0,0.167,0.444,0.167,0.611,0.0,0.0,0.0,1.0,2.0
4,556,2021-04-16,WSN,,ARI,"W,1-0",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.278,0.214,0.492,3,1.57,-0.157,1.24,-0.08%,-1.04,0.0,0.0,1B,,2021-04-16,120,109,634469,2021,0.2,0.357,0.4,0.757,0.0,0.0,1.0,3.0,3.0,0.2,0.357,0.4,0.757,0.0,0.0,1.0,3.0,3.0,0.2,0.357,0.4,0.757,0.0,0.0,1.0,3.0,3.0
5,557,2021-04-17,WSN,,ARI,"W,6-2",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.217,0.158,0.375,3,0.77,-0.102,0.63,-0.05%,-1.45,0.0,0.0,1B,,2021-04-17,120,109,634507,2021,0.143,0.278,0.286,0.563,0.0,0.0,1.0,3.0,5.0,0.143,0.278,0.286,0.563,0.0,0.0,1.0,3.0,5.0,0.143,0.278,0.286,0.563,0.0,0.0,1.0,3.0,5.0
6,558,2021-04-18,WSN,,ARI,"L,2-5",7-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.208,0.15,0.358,9,1.34,-0.038,1.21,-0.02%,-0.22,0.0,0.0,PH,,2021-04-18,120,109,634493,2021,0.105,0.217,0.211,0.428,0.0,0.0,1.0,3.0,6.0,0.105,0.217,0.211,0.428,0.0,0.0,1.0,3.0,6.0,0.105,0.217,0.211,0.428,0.0,0.0,1.0,3.0,6.0
7,559,2021-04-19,WSN,,STL,"L,5-12",CG,5.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.207,0.2,0.407,3,0.39,0.022,0.32,0.01%,0.7,0.0,0.0,1B,,2021-04-19,120,138,634431,2021,0.1,0.208,0.2,0.408,0.0,0.0,1.0,3.0,7.0,0.059,0.105,0.176,0.282,0.0,0.0,1.0,2.0,6.0,0.1,0.208,0.2,0.408,0.0,0.0,1.0,3.0,7.0
8,560,2021-04-20,WSN,,STL,"W,3-2",CG,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.242,0.321,0.564,4,1.33,0.095,1.03,0.04%,0.33,0.0,0.0,1B,,2021-04-20,120,138,634509,2021,0.12,0.207,0.28,0.487,0.0,0.0,2.0,5.0,9.0,0.105,0.1,0.316,0.416,0.0,0.0,2.0,4.0,7.0,0.12,0.207,0.28,0.487,0.0,0.0,2.0,5.0,9.0
9,561,2021-04-21,WSN,,STL,"W,1-0",CG,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.25,0.323,0.573,4,0.96,-0.011,0.81,-0.01%,-0.16,0.0,0.0,1B,,2021-04-21,120,138,634405,2021,0.143,0.242,0.429,0.671,0.0,0.0,3.0,9.0,10.0,0.111,0.158,0.444,0.602,0.0,0.0,2.0,6.0,7.0,0.143,0.242,0.429,0.671,0.0,0.0,3.0,9.0,10.0
10,562,2021-04-23,WSN,@,NYM,"L,0-6",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.231,0.294,0.525,4,0.76,-0.057,0.79,-0.04%,-0.55,0.0,0.0,1B,,2021-04-23,120,121,634429,2021,0.161,0.25,0.419,0.669,0.0,0.0,3.0,10.0,10.0,0.176,0.222,0.529,0.752,0.0,0.0,2.0,7.0,5.0,0.161,0.25,0.419,0.669,0.0,0.0,3.0,10.0,10.0
11,563,2021-04-24,WSN,@,NYM,"W,7-1",CG,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.227,0.263,0.49,4,0.42,-0.014,0.41,-0.01%,-0.36,0.0,0.0,1B,,2021-04-24,120,121,634443,2021,0.147,0.231,0.382,0.613,0.0,0.0,3.0,10.0,12.0,0.2,0.25,0.6,0.85,0.0,0.0,2.0,7.0,6.0,0.147,0.231,0.382,0.613,0.0,0.0,3.0,10.0,12.0
12,564,2021-04-25,WSN,@,NYM,"L,0-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.208,0.238,0.446,4,1.15,-0.118,1.18,-0.07%,-1.56,0.0,0.0,1B,,2021-04-25,120,121,634344,2021,0.132,0.227,0.342,0.569,0.0,0.0,3.0,10.0,14.0,0.167,0.25,0.5,0.75,0.0,0.0,2.0,7.0,7.0,0.132,0.227,0.342,0.569,0.0,0.0,3.0,10.0,14.0
13,565,2021-04-27,WSN,@,TOR,"L,5-9",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.192,0.217,0.41,4,0.93,-0.091,0.78,-0.05%,-0.9,0.0,0.0,DH,,2021-04-27,120,141,634335,2021,0.119,0.208,0.31,0.518,0.0,0.0,3.0,10.0,15.0,0.118,0.211,0.353,0.563,0.0,0.0,1.0,5.0,6.0,0.119,0.208,0.31,0.518,0.0,0.0,3.0,10.0,15.0
