Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,47,12 (11),2021-04-14,LAA,@,KCR,"L,1-6",CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.250,.250,.250,.500,8,1.06,-0.045,1.15,-0.03%,-0.57,,,C,,2021-04-14,108,118,634495
2,48,16 (3),2021-04-21,LAA,,TEX,"L,4-7",GS-9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.571,8,.52,-0.011,.61,-0.01%,-0.06,,,C,,2021-04-21,108,140,634430
3,49,18 (1),2021-04-23,LAA,@,HOU,"L,4-5",CG(10),4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.273,.273,.545,9,1.85,-0.217,2.04,-0.14%,-1.21,,,C,,2021-04-23,108,117,634383
4,50,19,2021-04-24,LAA,@,HOU,"L,2-16",6-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.250,.250,.500,3,.00,0.000,.00,0.00%,-1.16,,,P LF,,2021-04-24,108,117,634366
5,51,20,2021-04-25,LAA,@,HOU,"W,4-2",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,9,1.43,-0.065,1.43,-0.04%,-0.51,,,C,,2021-04-25,108,117,634403
6,52,22 (1),2021-04-27,LAA,@,TEX,"L,1-6",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.263,.300,.263,.563,9,.70,0.015,.75,0.01%,0.40,,,C,,2021-04-27,108,140,634359
7,53,52 (29),2021-05-29,LAA,@,OAK,"W,4-0",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.261,.292,.261,.553,8,.98,0.044,.64,0.02%,-0.12,,,C,,2021-05-29,108,133,633929
8,54,54 (1),2021-05-31,LAA,@,SFG,"L,1-6",CG,4,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.222,.250,.222,.472,7,1.03,-0.042,.71,-0.02%,-0.85,,,C,,2021-05-31,108,137,633897
1,55,3 (2),2022-04-10,BAL,@,TBR,"L,0-8",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.51,-0.025,.46,-0.01%,-0.36,0.00,0.00,C,,2022-04-10,110,139,661916
2,56,5 (1),2022-04-12,BAL,,MIL,"L,4-5",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,0.00,0.00,C,,2022-04-12,110,158,663295
3,57,6,2022-04-13,BAL,,MIL,"L,2-4",GS-8,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.400,.250,.650,9,1.66,0.128,1.25,0.06%,0.70,5.00,6.00,C,,2022-04-13,110,158,663433
4,58,7,2022-04-15,BAL,,NYY,"W,2-1",10-GF(11),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.500,.250,.750,8,3.18,0.010,2.58,0.01%,0.22,2.00,3.00,C,,2022-04-15,110,147,663357
5,59,8,2022-04-16,BAL,,NYY,"L,2-5",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.143,.400,.143,.543,9,1.00,-0.042,.86,-0.02%,-0.48,2.00,3.00,C,,2022-04-16,110,147,663266
6,60,10 (1),2022-04-18,BAL,@,OAK,"L,1-5",GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.308,.100,.408,8,.93,-0.073,.78,-0.04%,-0.65,0.00,0.00,C,,2022-04-18,110,133,662407
7,61,12 (1),2022-04-20,BAL,@,OAK,"W,1-0",2-GF,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.077,.250,.077,.327,6,.61,-0.045,.44,-0.02%,-0.44,0.00,0.00,PR C,,2022-04-20,110,133,662392
8,62,13,2022-04-21,BAL,@,OAK,"L,4-6",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.063,.211,.063,.273,8,2.44,-0.180,1.90,-0.08%,-1.31,0.00,0.00,C,,2022-04-21,110,133,662391
9,63,15 (1),2022-04-23,BAL,@,LAA,"W,5-4",CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.150,.261,.200,.461,8,.93,0.085,.76,0.04%,0.61,10.00,12.20,C,,2022-04-23,110,108,661035
10,64,19 (3),2022-04-28,BAL,@,NYY,"L,5-10",GS-9,4,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.130,.231,.174,.405,8,1.09,-0.079,.81,-0.04%,-0.89,0.00,0.00,C,,2022-04-28,110,147,661305
11,65,20,2022-04-29,BAL,,BOS,"L,1-3",8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.222,.167,.389,9,.99,-0.025,.63,-0.01%,-0.22,0.00,0.00,C,,2022-04-29,110,111,663337
12,66,22 (1),2022-05-01,BAL,,BOS,"W,9-5",CG,4,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.148,.258,.185,.443,8,.64,-0.028,.40,-0.01%,0.73,7.00,9.20,C,,2022-05-01,110,111,663363
13,67,23,2022-05-02,BAL,,MIN,"L,1-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.148,.258,.185,.443,8,,,,,,0.00,0.00,PR C,,2022-05-02,110,142,663362
14,68,24,2022-05-03,BAL,,MIN,"L,2-7",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.129,.229,.161,.390,8,1.13,-0.174,.67,-0.06%,-1.88,0.00,0.00,C,,2022-05-03,110,142,663463
