Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,76,2021-04-01,TOR,@,NYY,"W,3-2",CG(10),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.83,-0.086,0.9,-0.06%,-0.57,0.0,0.0,SS,,2021-04-01,141,147,634642,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,77,2021-04-03,TOR,@,NYY,"L,3-5",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.125,0.125,0.25,3,1.43,-0.099,1.56,-0.07%,-1.3,0.0,0.0,SS,,2021-04-03,141,147,634644,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,78,2021-04-04,TOR,@,NYY,"W,3-1",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.25,0.417,3,0.72,-0.042,0.78,-0.03%,-0.92,0.0,0.0,SS,,2021-04-04,141,147,634607,2021,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,4.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,4.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,4.0
4,79,2021-04-05,TOR,@,TEX,"W,6-2",CG,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.235,0.25,0.485,3,0.38,0.031,0.39,0.02%,0.33,0.0,0.0,SS,,2021-04-05,141,140,634612,2021,0.167,0.167,0.333,0.5,0.0,0.0,1.0,3.0,4.0,0.167,0.167,0.333,0.5,0.0,0.0,1.0,3.0,4.0,0.167,0.167,0.333,0.5,0.0,0.0,1.0,3.0,4.0
5,80,2021-04-06,TOR,@,TEX,"L,4-7",CG,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.286,0.6,0.886,3,0.33,0.123,0.32,0.07%,1.78,0.0,0.0,SS,,2021-04-06,141,140,634635,2021,0.188,0.235,0.312,0.548,0.0,0.0,1.0,4.0,5.0,0.188,0.235,0.312,0.548,0.0,0.0,1.0,4.0,5.0,0.188,0.235,0.312,0.548,0.0,0.0,1.0,4.0,5.0
6,81,2021-04-07,TOR,@,TEX,"L,1-2",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.28,0.542,0.822,3,1.25,-0.027,1.23,-0.02%,-0.54,0.0,0.0,DH,,2021-04-07,141,140,634583,2021,0.25,0.286,0.75,1.036,0.0,0.0,3.0,12.0,6.0,0.25,0.286,0.75,1.036,0.0,0.0,3.0,12.0,6.0,0.25,0.286,0.75,1.036,0.0,0.0,3.0,12.0,6.0
7,82,2021-04-08,TOR,,LAA,"L,5-7",CG(11),5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.241,0.267,0.483,0.749,3,1.69,-0.13,1.66,-0.08%,-0.5,0.0,0.0,SS,,2021-04-08,141,108,634545,2021,0.25,0.28,0.667,0.947,0.0,0.0,3.0,13.0,7.0,0.3,0.333,0.8,1.133,0.0,0.0,3.0,13.0,5.0,0.25,0.28,0.667,0.947,0.0,0.0,3.0,13.0,7.0
8,83,2021-04-09,TOR,,LAA,"L,1-7",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.265,0.455,0.719,3,0.3,-0.01,0.29,-0.01%,-0.89,0.0,0.0,SS,,2021-04-09,141,108,634512,2021,0.241,0.267,0.586,0.853,1.0,0.0,3.0,14.0,9.0,0.286,0.318,0.762,1.08,1.0,0.0,3.0,13.0,5.0,0.241,0.267,0.586,0.853,1.0,0.0,3.0,14.0,9.0
9,84,2021-04-10,TOR,,LAA,"W,15-1",GS-7,5.0,4.0,3.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.308,0.514,0.821,2,0.59,0.073,0.5,0.04%,4.15,0.0,0.0,SS,,2021-04-10,141,108,632227,2021,0.242,0.265,0.545,0.81,1.0,0.0,3.0,15.0,12.0,0.286,0.318,0.667,0.985,1.0,0.0,2.0,12.0,8.0,0.242,0.265,0.545,0.81,1.0,0.0,3.0,15.0,12.0
10,85,2021-04-12,TOR,,NYY,"L,1-3",CG,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.326,0.5,0.826,2,1.14,0.003,1.15,0.00%,-0.02,0.0,0.0,SS,,2021-04-12,141,147,632203,2021,0.27,0.308,0.649,0.956,1.0,0.0,5.0,19.0,12.0,0.333,0.364,0.905,1.268,1.0,0.0,4.0,15.0,7.0,0.27,0.308,0.649,0.956,1.0,0.0,5.0,19.0,12.0
