Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1120,1,2021-04-01,COL,,LAD,"W,8-5",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,4,0.83,-0.042,0.85,-0.03%,-0.29,,,RF,,2021-04-01,115,119,634615
2,1121,2,2021-04-02,COL,,LAD,"L,6-11",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.143,0.25,0.571,0.821,4,0.55,-0.055,0.59,-0.04%,0.73,,,RF,,2021-04-02,115,119,634653
3,1122,3,2021-04-03,COL,,LAD,"L,5-6",CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.333,0.6,0.933,4,1.44,0.067,1.49,0.04%,0.57,,,RF,,2021-04-03,115,119,634633
4,1123,4,2021-04-04,COL,,LAD,"L,2-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.25,0.429,0.679,4,1.13,-0.121,1.21,-0.08%,-0.93,,,RF,,2021-04-04,115,119,634557
5,1124,5,2021-04-06,COL,,ARI,"L,8-10",CG(13),6,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.105,0.227,0.316,0.543,4,2.21,-0.191,1.98,-0.10%,-0.99,,,RF,,2021-04-06,115,109,634619
6,1125,7 (1),2021-04-08,COL,,ARI,"W,7-3",CG,4,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.174,0.269,0.391,0.661,4,0.46,0.04,0.43,0.02%,0.61,,,RF,,2021-04-08,115,109,634564
7,1126,8,2021-04-09,COL,@,SFG,"L,1-3",GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.154,0.241,0.346,0.588,4,1.09,-0.082,1.09,-0.05%,-0.63,,,RF,,2021-04-09,115,137,634494
8,1127,9,2021-04-10,COL,@,SFG,"L,3-4",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.172,0.273,0.379,0.652,4,1.6,-0.054,1.49,-0.03%,-0.15,,,RF,,2021-04-10,115,137,632169
9,1128,10,2021-04-11,COL,@,SFG,"L,0-4",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.27,0.364,0.634,4,1.94,-0.096,1.67,-0.05%,-1.07,,,RF,,2021-04-11,115,137,632188
10,1129,11,2021-04-13,COL,@,LAD,"L,0-7",GS-8,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.171,0.275,0.343,0.618,4,0.51,0.022,0.41,0.01%,-0.1,,,RF,,2021-04-13,115,119,632212
11,1130,12,2021-04-14,COL,@,LAD,"L,2-4",CG,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.154,0.25,0.308,0.558,4,1.75,-0.113,1.29,-0.05%,-0.82,,,RF,,2021-04-14,115,119,634614
12,1131,14 (1),2021-04-17,COL,,NYM,"L,3-4",CG(7),3,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.167,0.255,0.333,0.589,4,0.9,0.027,0.46,0.01%,0.26,,,RF,1.0,2021-04-17,115,121,634485
