Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,2,17 (16),2021-04-21,MIN,@,OAK,"L,12-13",10-GF(10),0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,2,,0.000,,0.00%,0.00,,,PR 2B,,2021-04-21,142,133,634440
2,3,49,2021-06-02,NYM,@,ARI,"W,7-6",6-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,1,.98,-0.025,1.30,-0.02%,-0.11,,,2B,,2021-06-02,121,109,633834
3,4,50,2021-06-03,NYM,@,SDP,"L,3-4",6-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,3.22,-0.181,4.45,-0.15%,-0.72,,,LF,,2021-06-03,121,135,633841
4,5,51,2021-06-04,NYM,@,SDP,"L,0-2",8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.19,-0.033,1.66,-0.03%,-0.22,,,PH,,2021-06-04,121,135,633816
5,6,52,2021-06-05,NYM,@,SDP,"W,4-0",GS-6,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.333,.500,7,1.24,-0.029,1.71,-0.02%,-0.21,,,2B,,2021-06-05,121,135,633821
6,7,53,2021-06-06,NYM,@,SDP,"W,6-2",9-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.167,.286,.333,.619,9,.01,0.000,.01,0.00%,0.12,,,PH,,2021-06-06,121,135,633806
7,8,54,2021-06-08,NYM,@,BAL,"L,3-10",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.286,.536,2,.02,0.000,.03,0.00%,-0.25,,,2B,,2021-06-08,121,110,633773
8,9,72 (17),2021-06-25,NYM,,PHI,"L,1-2",8-GF(8),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.143,.250,.286,.536,7,,,,,,,,RF,2.0,2021-06-25,121,143,634515
9,10,73,2021-06-26,NYM,,PHI,"W,4-3",9-GF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.125,.222,.250,.472,7,3.44,0.134,6.50,0.15%,0.38,,,PH,,2021-06-26,121,143,633539
10,11,74,2021-06-27,NYM,,PHI,"L,2-4",3-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.200,.222,.422,9,.74,-0.019,1.30,-0.02%,-0.23,,,PH,,2021-06-27,121,143,633504
11,12,75,2021-06-28,NYM,@,WSN,"L,4-8",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.200,.222,.422,7,,,,,,,,2B,,2021-06-28,121,120,634620
