Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,94 (93),2022-07-23,MIA,@,PIT,"L,0-1",7-GF,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,,1.0,,,4,2.09,0.081,0.74,0.02%,0.26,2.0,3.0,LF,,2022-07-23,146,134,662436
2,2,95,2022-07-24,MIA,@,PIT,"W,6-5",CG(10),4,4,1,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.5,0.6,0.75,1.35,5,0.81,-0.002,0.25,0.00%,0.1,15.0,18.2,CF,,2022-07-24,146,134,662357
3,3,96,2022-07-25,MIA,@,CIN,"L,2-11",CG,4,4,1,1,1,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.375,0.444,0.625,1.069,5,0.75,0.124,0.31,0.03%,0.81,7.0,9.2,CF,,2022-07-25,146,113,663046
4,4,97,2022-07-26,MIA,@,CIN,"W,2-1",CG,5,5,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.231,0.286,0.385,0.67,3,1.1,-0.148,0.4,-0.03%,-1.57,0.0,0.0,CF,,2022-07-26,146,113,663029
5,5,98,2022-07-27,MIA,@,CIN,"L,3-5",CG,4,4,1,1,0,0,1,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.235,0.278,0.529,0.807,3,0.68,0.011,0.28,0.00%,0.55,14.0,18.7,CF,,2022-07-27,146,113,663028
6,6,99,2022-07-28,MIA,@,CIN,"W,7-6",CG,5,5,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.182,0.217,0.409,0.626,3,1.02,-0.14,0.35,-0.03%,-1.1,0.0,0.0,CF,,2022-07-28,146,113,663027
7,7,100,2022-07-29,MIA,,NYM,"L,4-6",CG,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.192,0.222,0.385,0.607,5,1.24,-0.054,0.46,-0.01%,-0.29,5.0,6.2,CF,,2022-07-29,146,121,661372
8,8,101,2022-07-30,MIA,,NYM,"L,0-4",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.179,0.233,0.357,0.59,5,1.4,-0.061,0.4,-0.01%,-0.69,2.0,3.0,CF,,2022-07-30,146,121,661371
9,9,102,2022-07-31,MIA,,NYM,"L,3-9",CG,4,4,0,1,1,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.188,0.235,0.375,0.61,5,0.33,0.021,0.08,0.00%,-0.21,5.0,6.0,CF,,2022-07-31,146,121,661370
10,10,103,2022-08-01,MIA,,CIN,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.167,0.211,0.333,0.544,5,1.84,-0.172,0.31,-0.02%,-1.33,0.0,0.0,CF,,2022-08-01,146,113,661369
11,11,104,2022-08-02,MIA,,CIN,"L,1-2",3-7,2,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.184,0.225,0.342,0.567,5,1.33,0.023,0.16,0.00%,0.03,3.0,3.0,CF,,2022-08-02,146,113,661368
12,12,105,2022-08-03,MIA,,CIN,"W,3-0",CG,4,4,0,2,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.214,0.25,0.357,0.607,5,0.35,-0.011,0.03,0.00%,-0.14,6.0,6.0,LF,,2022-08-03,146,113,661367
13,13,106,2022-08-05,MIA,@,CHC,"L,1-2",CG,4,3,0,1,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.222,0.271,0.356,0.626,6,1.09,0.056,0.12,0.00%,0.46,5.0,6.0,CF,,2022-08-05,146,112,661063
14,14,107,2022-08-06,MIA,@,CHC,"L,0-4",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.204,0.25,0.327,0.577,5,0.84,-0.086,0.07,-0.01%,-1.03,0.0,0.0,CF,,2022-08-06,146,112,661062
