Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,45,1,2021-04-01,PHI,,ATL,"W,3-2",CG(10),5,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0.0,0.2,0.0,0.2,5,1.87,-0.219,1.95,-0.14%,-0.81,,,3B,,2021-04-01,143,144,634622
2,46,2,2021-04-03,PHI,,ATL,"W,4-0",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0,0.222,0.0,0.222,5,0.79,-0.1,0.89,-0.07%,-1.0,,,3B,,2021-04-03,143,144,634580
3,47,3,2021-04-04,PHI,,ATL,"W,2-1",CG,4,4,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0.2,0.308,0.2,0.508,4,1.5,0.215,1.64,0.14%,0.98,,,3B,,2021-04-04,143,144,634617
4,48,4,2021-04-05,PHI,,NYM,"W,5-3",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.214,0.294,0.214,0.508,5,2.03,0.174,2.52,0.13%,1.56,,,3B,,2021-04-05,143,121,634606
5,49,5,2021-04-06,PHI,,NYM,"L,4-8",GS-8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.222,0.286,0.222,0.508,2,0.97,-0.11,1.21,-0.08%,-0.97,,,3B,,2021-04-06,143,121,634608
6,50,6,2021-04-07,PHI,,NYM,"W,8-2",CG,4,4,1,1,0,0,1,3,0,0,2,0,0,0,1,0,1,0,0.227,0.28,0.364,0.644,5,0.42,0.174,0.54,0.13%,2.49,,,3B,,2021-04-07,143,121,634626
7,51,7,2021-04-09,PHI,@,ATL,"L,1-8",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.192,0.241,0.308,0.549,5,1.07,-0.115,1.41,-0.09%,-1.25,,,3B,,2021-04-09,143,144,634534
8,52,8,2021-04-10,PHI,@,ATL,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.242,0.3,0.542,4,1.24,-0.021,1.57,-0.02%,0.13,,,3B,,2021-04-10,143,144,634524
9,53,9,2021-04-11,PHI,@,ATL,"W,7-6",CG,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.27,0.353,0.623,5,1.18,0.125,1.47,0.09%,0.1,,,3B,,2021-04-11,143,144,632207
10,54,10,2021-04-13,PHI,@,NYM,"L,3-4",CG(8),4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.243,0.293,0.378,0.671,4,2.62,-0.122,3.56,-0.10%,-0.17,,,3B,1.0,2021-04-13,143,121,632189
11,55,11,2021-04-13,PHI,@,NYM,"L,0-4",CG(7),3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.295,0.375,0.67,5,0.84,-0.055,1.12,-0.04%,-0.39,,,3B,2.0,2021-04-13,143,121,632226
12,56,12,2021-04-14,PHI,@,NYM,"L,1-5",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.233,0.277,0.349,0.625,5,1.78,-0.106,2.27,-0.08%,-0.87,,,3B,,2021-04-14,143,121,634528
13,57,13,2021-04-16,PHI,,STL,"W,9-2",CG,4,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.234,0.275,0.34,0.615,5,0.28,0.012,0.29,0.01%,-0.87,,,3B,,2021-04-16,143,138,634474
14,58,14,2021-04-17,PHI,,STL,"L,4-9",CG,5,4,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0.235,0.268,0.333,0.601,5,0.93,0.058,0.94,0.04%,-0.11,,,3B,,2021-04-17,143,138,634470
15,59,15,2021-04-18,PHI,,STL,"W,2-0",CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.222,0.25,0.315,0.565,5,1.02,-0.024,1.0,-0.01%,-0.69,,,3B,,2021-04-18,143,138,634498
16,60,16,2021-04-19,PHI,,SFG,"L,0-2",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.228,0.266,0.316,0.581,5,1.73,0.017,1.7,0.01%,-0.17,,,3B,,2021-04-19,143,137,634457
17,61,17,2021-04-20,PHI,,SFG,"L,7-10",CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.23,0.265,0.361,0.625,6,0.66,0.139,0.69,0.09%,1.16,,,3B,,2021-04-20,143,137,634439
18,62,18,2021-04-21,PHI,,SFG,"W,6-5",CG,5,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.219,0.274,0.344,0.618,4,1.08,-0.074,1.0,-0.04%,-0.31,,,3B,,2021-04-21,143,137,634428
19,63,19,2021-04-23,PHI,@,COL,"L,4-5",CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.235,0.286,0.353,0.639,6,0.94,0.021,0.92,0.01%,0.06,,,3B,,2021-04-23,143,115,634401
20,64,20,2021-04-24,PHI,@,COL,"W,7-5",CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.225,0.272,0.338,0.61,6,0.74,-0.031,0.71,-0.02%,-0.64,,,3B,,2021-04-24,143,115,634418
21,65,21,2021-04-25,PHI,@,COL,"L,2-12",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.213,0.259,0.32,0.579,6,0.37,-0.039,0.38,-0.02%,-1.19,,,3B,,2021-04-25,143,115,634388
22,66,22,2021-04-26,PHI,@,STL,"W,2-1",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.205,0.25,0.308,0.558,6,0.97,-0.059,0.94,-0.03%,-0.51,,,3B,,2021-04-26,143,138,634345
23,67,23,2021-04-27,PHI,@,STL,"L,2-5",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.242,0.296,0.538,6,0.99,-0.073,1.04,-0.05%,-0.53,,,3B,,2021-04-27,143,138,634318
24,68,24,2021-04-28,PHI,@,STL,"W,5-3",7-GF,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.247,0.313,0.561,9,0.62,0.061,0.61,0.04%,0.39,,,PH 3B,,2021-04-28,143,138,634314
25,69,25,2021-04-29,PHI,@,STL,"L,3-4",CG(10),5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.216,0.255,0.318,0.573,2,1.87,0.03,2.01,0.02%,0.16,,,3B,,2021-04-29,143,138,634352
26,70,26,2021-04-30,PHI,,NYM,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.207,0.245,0.304,0.549,5,0.92,-0.092,1.08,-0.07%,-1.16,,,3B,,2021-04-30,143,121,634336
27,71,27,2021-05-01,PHI,,NYM,"L,4-5",CG,4,4,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.229,0.264,0.354,0.618,5,1.19,0.307,1.46,0.23%,2.01,,,3B,,2021-05-01,143,121,634276
28,72,28,2021-05-02,PHI,,NYM,"L,7-8",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.23,0.264,0.35,0.614,5,1.27,-0.021,1.46,-0.02%,-0.76,,,3B,,2021-05-02,143,121,634257
29,73,29,2021-05-03,PHI,,MIL,"W,4-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.221,0.254,0.337,0.591,5,0.63,-0.085,0.61,-0.05%,-1.32,,,3B,,2021-05-03,143,158,634244
30,74,30,2021-05-04,PHI,,MIL,"W,6-5",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.222,0.254,0.333,0.588,4,0.41,0.001,0.43,0.00%,-0.16,,,3B,,2021-05-04,143,158,634324
31,75,31,2021-05-05,PHI,,MIL,"W,5-4",CG,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.216,0.248,0.324,0.572,6,0.31,-0.024,0.33,-0.02%,-0.58,,,3B,,2021-05-05,143,158,634294
32,76,32,2021-05-06,PHI,,MIL,"W,2-0",CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.219,0.25,0.351,0.601,5,1.18,0.16,1.34,0.11%,0.4,,,3B,,2021-05-06,143,158,634283
33,77,33,2021-05-07,PHI,@,ATL,"W,12-2",CG,5,5,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0.227,0.256,0.353,0.609,5,0.62,0.095,0.82,0.08%,1.15,,,3B,,2021-05-07,143,144,634219
34,78,34,2021-05-08,PHI,@,ATL,"L,7-8",GS-12,6,6,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0.216,0.244,0.336,0.58,5,1.25,-0.177,1.64,-0.14%,-2.41,,,1B 3B,,2021-05-08,143,144,634199
35,79,35,2021-05-09,PHI,@,ATL,"L,1-6",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.245,0.333,0.578,5,0.74,-0.091,0.97,-0.07%,-0.78,,,3B,,2021-05-09,143,144,634175
36,80,36,2021-05-11,PHI,@,WSN,"W,6-2",7-GF,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.221,0.248,0.344,0.592,9,0.57,0.088,0.69,0.06%,0.9,,,3B,,2021-05-11,143,120,634144
