Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,253,2 (1),2021-04-02,MIA,,TBR,"L,4-6",6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.57,-0.040,1.35,-0.02%,-0.24,,,PH,,2021-04-02,146,139,634602
2,254,3,2021-04-03,MIA,,TBR,"W,12-7",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,5,.86,-0.131,.70,-0.06%,-1.92,,,LF,,2021-04-03,146,139,634596
3,255,4,2021-04-05,MIA,,STL,"L,1-4",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.38,-0.010,.34,-0.01%,-0.11,,,PH,,2021-04-05,146,138,634562
4,256,6 (1),2021-04-07,MIA,,STL,"L,0-7",8-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.66,-0.017,.55,-0.01%,-0.16,,,PH,,2021-04-07,146,138,634585
5,257,17 (10),2021-04-20,MIA,,BAL,"L,5-7",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.091,.167,.091,.258,8,1.51,0.018,1.40,0.01%,-0.02,,,CF,,2021-04-20,146,110,634427
6,258,18,2021-04-21,MIA,,BAL,"W,3-0",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.133,.188,.133,.321,6,.76,-0.122,.62,-0.06%,-1.42,,,CF,,2021-04-21,146,110,634497
7,259,19,2021-04-22,MIA,@,SFG,"L,0-3",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.158,.111,.269,6,.78,-0.059,.71,-0.03%,-0.63,,,CF,,2021-04-22,146,137,634432
8,260,20,2021-04-23,MIA,@,SFG,"L,3-5",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.095,.136,.095,.232,7,.76,-0.055,.73,-0.03%,-0.63,,,CF,,2021-04-23,146,137,634369
9,261,21,2021-04-24,MIA,@,SFG,"W,5-2",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.130,.091,.221,9,.07,-0.002,.06,0.00%,-0.23,,,PH RF,,2021-04-24,146,137,634503
10,262,22,2021-04-25,MIA,@,SFG,"L,3-4",8-GF,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.125,.160,.125,.285,9,1.66,0.050,1.46,0.03%,0.70,,,PH CF,,2021-04-25,146,137,634342
11,263,24 (1),2021-04-27,MIA,@,MIL,"L,4-5",7-7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.160,.192,.160,.352,9,1.25,0.049,1.15,0.03%,0.26,,,PH,,2021-04-27,146,158,634320
12,264,25,2021-04-28,MIA,@,MIL,"W,6-2",4-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.148,.179,.148,.327,3,.16,-0.008,.14,0.00%,-0.40,,,LF,,2021-04-28,146,158,634317
