Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,87,3 (2),2021-04-03,TBR,@,MIA,"L,7-12",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,8,.59,0.017,.57,0.01%,-0.06,,,2B,,2021-04-03,139,146,634596
2,88,4,2021-04-05,TBR,@,BOS,"L,2-11",3-GF,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.143,.286,8,.80,-0.073,.84,-0.05%,-1.46,,,LF,,2021-04-05,139,111,634601
3,89,5,2021-04-06,TBR,@,BOS,"L,5-6",GS-7,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.300,.500,3,1.34,-0.082,1.40,-0.05%,-0.78,,,2B,,2021-04-06,139,111,634590
4,90,6,2021-04-07,TBR,@,BOS,"L,2-9",6-GF,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.250,.250,.333,.583,7,.13,-0.006,.14,0.00%,0.23,,,RF,,2021-04-07,139,111,634641
5,91,9 (2),2021-04-11,TBR,,NYY,"L,4-8",GS-8,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.286,.333,.357,.690,5,.96,0.037,1.04,0.02%,0.41,,,1B 2B,,2021-04-11,139,147,632232
6,92,11 (1),2021-04-13,TBR,,TEX,"L,3-8",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.313,.333,.646,3,.18,-0.005,.17,0.00%,-0.29,,,PH 3B,,2021-04-13,139,140,634489
7,93,13 (1),2021-04-15,TBR,,TEX,"L,4-6",CG(10),5,5,2,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.300,.333,.550,.883,7,2.04,0.114,1.78,0.06%,1.60,,,3B,,2021-04-15,139,140,634522
8,94,14,2021-04-16,TBR,@,NYY,"W,8-2",CG,5,5,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.280,.308,.520,.828,7,.82,0.004,.75,0.00%,-0.85,,,2B,,2021-04-16,139,147,634464
9,95,15,2021-04-17,TBR,@,NYY,"W,6-3",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.286,.333,.500,.833,4,.75,-0.013,.73,-0.01%,0.47,,,2B,,2021-04-17,139,147,634500
10,96,16,2021-04-18,TBR,@,NYY,"W,4-2",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.250,.294,.438,.732,5,.91,-0.093,.90,-0.06%,-0.83,,,1B 3B,,2021-04-18,139,147,634458
