Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,2458,2021-04-01,DET,,CLE,"W,3-2",GS-9,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.25,4,0.48,0.15,0.5,0.09%,0.96,0.0,0.0,1B,,2021-04-01,116,114,634645,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2459,2021-04-03,DET,,CLE,"W,5-2",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.375,0.714,1.089,4,0.87,0.031,0.92,0.02%,0.48,0.0,0.0,DH,,2021-04-03,116,114,634573,2021,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,0.0,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,0.0,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,0.0,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,0.0,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,0.0
3,2460,2021-04-05,DET,,MIN,"L,6-15",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.273,0.5,0.773,4,0.19,-0.015,0.22,-0.01%,-0.45,0.0,0.0,DH,,2021-04-05,116,142,634588,2021,0.286,0.375,0.857,1.232,0.0,0.0,1.0,5.0,1.0,0.286,0.375,0.857,1.232,0.0,0.0,1.0,5.0,1.0,0.286,0.375,0.857,1.232,0.0,0.0,1.0,5.0,1.0,0.286,0.375,0.857,1.232,0.0,0.0,1.0,5.0,1.0,0.286,0.375,0.857,1.232,0.0,0.0,1.0,5.0,1.0
4,2461,2021-04-06,DET,,MIN,"W,4-3",GS-10,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.154,0.313,0.385,0.697,3,1.67,-0.208,1.76,-0.13%,-0.93,0.0,0.0,1B,,2021-04-06,116,142,634603,2021,0.2,0.273,0.6,0.873,0.0,0.0,1.0,5.0,1.0,0.2,0.273,0.6,0.873,0.0,0.0,1.0,5.0,1.0,0.2,0.273,0.6,0.873,0.0,0.0,1.0,5.0,1.0,0.2,0.273,0.6,0.873,0.0,0.0,1.0,5.0,1.0,0.2,0.273,0.6,0.873,0.0,0.0,1.0,5.0,1.0
5,2462,2021-04-07,DET,,MIN,"L,2-3",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.176,0.3,0.412,0.712,3,1.86,-0.216,2.05,-0.14%,-1.14,0.0,0.0,1B,,2021-04-07,116,142,634598,2021,0.154,0.312,0.462,0.774,0.0,0.0,1.0,5.0,3.0,0.154,0.312,0.462,0.774,0.0,0.0,1.0,5.0,3.0,0.154,0.312,0.462,0.774,0.0,0.0,1.0,5.0,3.0,0.111,0.333,0.111,0.444,0.0,0.0,0.0,1.0,3.0,0.154,0.312,0.462,0.774,0.0,0.0,1.0,5.0,3.0
6,2463,2021-04-09,DET,@,CLE,"L,1-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.25,0.333,0.583,3,0.7,-0.07,0.7,-0.04%,-0.88,0.0,0.0,DH,,2021-04-09,116,114,634505,2021,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,4.0,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,4.0,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,4.0,0.1,0.25,0.3,0.55,0.0,0.0,1.0,2.0,3.0,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,4.0
7,2464,2021-04-10,DET,@,CLE,"L,3-11",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.222,0.292,0.514,4,0.43,-0.033,0.41,-0.02%,-0.6,0.0,0.0,1B,,2021-04-10,116,114,632218,2021,0.143,0.25,0.429,0.679,0.0,0.0,2.0,7.0,4.0,0.143,0.25,0.429,0.679,0.0,0.0,2.0,7.0,4.0,0.118,0.25,0.235,0.485,0.0,0.0,1.0,3.0,4.0,0.091,0.231,0.273,0.503,0.0,0.0,1.0,2.0,3.0,0.143,0.25,0.429,0.679,0.0,0.0,2.0,7.0,4.0
8,2465,2021-04-25,DET,,KCR,"L,0-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.194,0.25,0.444,3,0.73,-0.071,0.53,-0.03%,-0.74,0.0,0.0,1B,,2021-04-25,116,118,634448,2021,0.125,0.222,0.375,0.597,0.0,0.0,2.0,7.0,4.0,0.125,0.222,0.375,0.597,0.0,0.0,2.0,7.0,4.0,0.059,0.158,0.176,0.334,0.0,0.0,1.0,2.0,3.0,0.091,0.091,0.273,0.364,0.0,0.0,1.0,2.0,1.0,0.125,0.222,0.375,0.597,0.0,0.0,2.0,7.0,4.0
9,2466,2021-04-26,DET,,KCR,"L,2-3",GS-9,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.25,0.258,0.508,3,1.85,0.003,1.2,0.00%,0.2,0.0,0.0,DH,,2021-04-26,116,118,634451,2021,0.107,0.194,0.321,0.515,0.0,0.0,2.0,7.0,7.0,0.107,0.194,0.321,0.515,0.0,0.0,2.0,7.0,7.0,0.056,0.15,0.167,0.317,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.107,0.194,0.321,0.515,0.0,0.0,2.0,7.0,7.0
10,2467,2021-04-27,DET,@,CHW,"W,5-2",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.275,0.371,0.646,3,0.98,0.083,0.53,0.03%,0.69,0.0,0.0,DH,,2021-04-27,116,145,634332,2021,0.129,0.25,0.323,0.573,0.0,0.0,2.0,8.0,8.0,0.129,0.25,0.323,0.573,0.0,0.0,2.0,8.0,8.0,0.111,0.2,0.222,0.422,0.0,0.0,1.0,3.0,5.0,0.1,0.25,0.1,0.35,0.0,0.0,0.0,1.0,4.0,0.129,0.25,0.323,0.573,0.0,0.0,2.0,8.0,8.0
