Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1051,1,2021-04-01,MIL,,MIN,"W,6-5",CG(10),5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.200,.200,.400,6,2.63,-0.191,2.38,-0.10%,-1.26,,,CF,,2021-04-01,158,142,634638
2,1052,2,2021-04-03,MIL,,MIN,"L,0-2",CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.143,.250,.143,.393,6,1.05,0.005,1.04,0.00%,-0.14,,,CF,,2021-04-03,158,142,634575
3,1053,6 (3),2021-04-07,MIL,@,CHC,"W,4-2",CG(10),5,5,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,.250,.308,.750,1.058,1,1.92,0.436,1.94,0.27%,1.93,,,CF,,2021-04-07,158,112,634549
4,1054,7,2021-04-08,MIL,@,STL,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.235,.563,.798,6,1.67,-0.162,1.81,-0.11%,-1.55,,,CF,,2021-04-08,158,138,634568
5,1055,9 (1),2021-04-11,MIL,@,STL,"W,9-3",CG,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,.200,.273,.550,.823,1,.47,0.027,.50,0.02%,-0.06,,,CF,,2021-04-11,158,138,632196
6,1056,10,2021-04-12,MIL,,CHC,"W,6-3",CG,5,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.160,.222,.440,.662,1,1.09,-0.162,1.23,-0.11%,-1.87,,,CF,,2021-04-12,158,112,632221
7,1057,11,2021-04-13,MIL,,CHC,"L,2-3",GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.214,.423,.637,1,.87,-0.022,1.04,-0.02%,-0.24,,,CF,,2021-04-13,158,112,632194
8,1058,29 (17),2021-05-03,MIL,@,PHI,"L,3-4",CG,5,4,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,.167,.242,.500,.742,2,2.58,-0.093,3.23,-0.07%,0.44,,,CF,,2021-05-03,158,143,634244
9,1059,30,2021-05-04,MIL,@,PHI,"L,5-6",7-7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.161,.235,.484,.719,3,1.88,-0.035,2.31,-0.03%,-0.17,,,PH,,2021-05-04,158,143,634324
10,1060,31,2021-05-05,MIL,@,PHI,"L,4-5",CG,5,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,.182,.308,.485,.793,2,1.52,0.224,1.82,0.16%,1.03,,,CF,,2021-05-05,158,143,634294
11,1061,32,2021-05-06,MIL,@,PHI,"L,0-2",9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.325,.500,.825,8,.96,0.050,1.13,0.04%,0.26,,,PH,,2021-05-06,158,143,634283
12,1062,33,2021-05-07,MIL,@,MIA,"L,1-6",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.184,.295,.447,.743,2,.85,-0.080,.96,-0.05%,-0.96,,,CF,,2021-05-07,158,146,634195
13,1063,34,2021-05-08,MIL,@,MIA,"W,6-2",CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.190,.306,.429,.735,2,.66,0.031,.72,0.02%,-0.23,,,CF,,2021-05-08,158,146,634215
14,1064,35,2021-05-09,MIL,@,MIA,"W,2-1",7-7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.186,.300,.419,.719,9,1.39,-0.040,1.55,-0.03%,-0.32,,,PH,,2021-05-09,158,146,634207
15,1065,36,2021-05-11,MIL,,STL,"L,1-6",CG(11),5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.188,.291,.417,.708,2,1.60,-0.078,2.24,-0.07%,-0.64,,,CF,,2021-05-11,158,138,634159
16,1066,37,2021-05-12,MIL,,STL,"W,4-1",CG,4,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,.200,.322,.420,.742,2,.95,0.065,1.31,0.05%,0.70,,,CF,,2021-05-12,158,138,634198
17,1067,38,2021-05-13,MIL,,STL,"L,0-2",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.185,.302,.389,.690,2,1.45,-0.155,2.16,-0.14%,-0.96,,,CF,,2021-05-13,158,138,634158
18,1068,39,2021-05-14,MIL,,ATL,"L,3-6",CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.190,.309,.379,.688,2,.62,0.007,.66,0.01%,0.15,,,CF,,2021-05-14,158,144,634118
19,1069,40,2021-05-15,MIL,,ATL,"L,1-5",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.186,.304,.373,.677,9,2.34,-0.071,2.62,-0.05%,-0.61,,,PH,,2021-05-15,158,144,634106
20,1070,41,2021-05-16,MIL,,ATL,"W,10-9",CG,5,4,2,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.222,.338,.397,.735,3,1.09,0.163,1.16,0.11%,2.21,,,CF,,2021-05-16,158,144,634134
21,1071,42,2021-05-18,MIL,@,KCR,"L,0-2",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.224,.333,.388,.721,2,.99,-0.029,1.10,-0.02%,-0.40,,,CF,,2021-05-18,158,118,634043
22,1072,43,2021-05-19,MIL,@,KCR,"L,4-6",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.208,.313,.361,.674,2,1.34,-0.171,1.35,-0.10%,-1.45,,,CF,,2021-05-19,158,118,634037
23,1073,44,2021-05-21,MIL,@,CIN,"L,4-9",CG,5,5,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.221,.318,.377,.695,2,.91,0.138,.97,0.09%,1.38,,,CF,,2021-05-21,158,113,634027
