Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,161.0,2021-04-17,TEX,,BAL,"L,1-6",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,7.0,0.93,-0.039,0.79,-0.02%,-0.02,0.0,0.0,DH,,2021-04-17,140,110,634543,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,162.0,2021-04-18,TEX,,BAL,"W,1-0",8-GF(10),2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.667,0.6,1.267,9.0,2.49,0.073,1.96,0.04%,0.63,0.0,0.0,PH LF,,2021-04-18,140,110,634511,2021,0.5,0.5,0.5,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,2.0,0.0
3.0,163.0,2021-04-19,TEX,@,LAA,"W,6-4",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.5,0.444,0.944,6.0,0.87,0.028,0.85,0.02%,0.79,0.0,0.0,DH,,2021-04-19,140,108,634536,2021,0.6,0.667,0.6,1.267,0.0,0.0,0.0,3.0,0.0,0.6,0.667,0.6,1.267,0.0,0.0,0.0,3.0,0.0,0.6,0.667,0.6,1.267,0.0,0.0,0.0,3.0,0.0
4.0,164.0,2021-04-20,TEX,@,LAA,"L,2-6",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.357,0.308,0.665,6.0,1.59,-0.163,1.6,-0.10%,-1.67,0.0,0.0,DH,,2021-04-20,140,108,634398,2021,0.444,0.5,0.444,0.944,0.0,0.0,0.0,4.0,2.0,0.444,0.5,0.444,0.944,0.0,0.0,0.0,4.0,2.0,0.444,0.5,0.444,0.944,0.0,0.0,0.0,4.0,2.0
5.0,165.0,2021-04-23,TEX,@,CHW,"L,7-9",CG,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.368,0.294,0.663,1.0,1.41,-0.096,1.28,-0.05%,-0.65,0.0,0.0,DH,,2021-04-23,140,145,634435,2021,0.308,0.357,0.308,0.665,0.0,0.0,0.0,4.0,3.0,0.308,0.357,0.308,0.665,0.0,0.0,0.0,4.0,3.0,0.308,0.357,0.308,0.665,0.0,0.0,0.0,4.0,3.0
6.0,166.0,2021-04-24,TEX,@,CHW,"L,1-2",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.391,0.476,0.867,7.0,1.38,0.373,1.2,0.20%,1.03,0.0,0.0,DH,,2021-04-24,140,145,634384,2021,0.294,0.368,0.294,0.663,0.0,0.0,0.0,5.0,5.0,0.294,0.368,0.294,0.663,0.0,0.0,0.0,5.0,5.0,0.294,0.368,0.294,0.663,0.0,0.0,0.0,5.0,5.0
7.0,167.0,2021-04-25,TEX,@,CHW,"L,4-8",CG,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.429,0.458,0.887,1.0,0.4,-0.006,0.31,0.00%,0.37,0.0,0.0,DH,,2021-04-25,140,145,634393,2021,0.333,0.391,0.524,0.915,0.0,0.0,1.0,10.0,5.0,0.294,0.368,0.529,0.898,0.0,0.0,1.0,8.0,5.0,0.333,0.391,0.524,0.915,0.0,0.0,1.0,10.0,5.0
8.0,168.0,2021-04-26,TEX,,LAA,"L,4-9",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,0.406,0.429,0.835,1.0,0.61,-0.001,0.51,0.00%,-0.06,0.0,0.0,DH,,2021-04-26,140,108,634377,2021,0.333,0.429,0.5,0.929,0.0,0.0,1.0,11.0,6.0,0.263,0.364,0.474,0.837,0.0,0.0,1.0,8.0,6.0,0.333,0.429,0.5,0.929,0.0,0.0,1.0,11.0,6.0
9.0,169.0,2021-04-27,TEX,,LAA,"W,6-1",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.389,0.406,0.795,7.0,0.63,-0.016,0.47,-0.01%,-0.33,0.0,0.0,DH,,2021-04-27,140,108,634359,2021,0.321,0.406,0.464,0.871,0.0,0.0,1.0,12.0,6.0,0.263,0.364,0.474,0.837,0.0,0.0,1.0,8.0,4.0,0.321,0.406,0.464,0.871,0.0,0.0,1.0,12.0,6.0
10.0,170.0,2021-04-28,TEX,,LAA,"L,3-4",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.375,0.389,0.764,1.0,1.48,-0.031,1.2,-0.02%,0.13,0.0,0.0,DH,,2021-04-28,140,108,634350,2021,0.312,0.389,0.438,0.826,0.0,0.0,1.0,13.0,7.0,0.316,0.409,0.526,0.935,0.0,0.0,1.0,9.0,4.0,0.312,0.389,0.438,0.826,0.0,0.0,1.0,13.0,7.0
