Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,350,3 (2),2021-04-04,ATL,@,PHI,"L,1-2",8-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.98,-0.025,.97,-0.02%,-0.11,,,PH,,2021-04-04,144,143,634617
2,351,4,2021-04-06,ATL,@,WSN,"L,5-6",9-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.500,.000,.500,9,1.30,0.031,1.23,0.02%,0.12,,,PH,,2021-04-06,144,120,634624
3,352,5,2021-04-07,ATL,@,WSN,"W,7-6",3-3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.333,.000,.333,9,.46,-0.012,.42,-0.01%,-0.10,,,PH,1.0,2021-04-07,144,120,634527
4,353,14 (8),2021-04-16,ATL,@,CHC,"W,5-2",6-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.250,.000,.250,9,.67,-0.017,.53,-0.01%,-0.24,,,PH,,2021-04-16,144,112,634548
5,354,15,2021-04-17,ATL,@,CHC,"L,4-13",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,2,.00,0.000,.00,0.00%,-0.11,,,PH,,2021-04-17,144,112,634462
6,355,16,2021-04-18,ATL,@,CHC,"W,13-4",4-GF,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.125,.000,.125,1,.33,-0.025,.27,-0.01%,-1.12,,,2B,,2021-04-18,144,112,634506
7,356,17,2021-04-20,ATL,@,NYY,"L,1-3",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.111,.000,.111,6,1.54,-0.040,1.38,-0.02%,-0.25,,,PH DH,,2021-04-20,144,147,634422
8,357,24 (6),2021-04-28,ATL,,CHC,"W,10-0",7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.091,.000,.091,9,.00,0.000,.00,0.00%,-1.04,,,PH 1B,,2021-04-28,144,112,634414
9,358,25,2021-04-29,ATL,,CHC,"L,3-9",5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.083,.000,.083,9,.56,-0.015,.58,-0.01%,-0.25,,,PH,,2021-04-29,144,112,634347
10,359,35 (9),2021-05-11,ATL,,TOR,"L,3-5",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.077,.000,.077,9,1.13,-0.032,1.10,-0.02%,-0.34,,,PH,,2021-05-11,144,141,634163
11,360,37 (1),2021-05-13,ATL,,TOR,"L,4-8",7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.071,.000,.071,9,.59,-0.015,.52,-0.01%,-0.17,,,PH 3B,,2021-05-13,144,141,634114
12,361,50 (12),2021-05-29,ATL,@,NYM,"L,2-13",6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.067,.000,.067,9,1.05,-0.020,1.29,-0.02%,-0.18,,,PH,,2021-05-29,144,121,633959
13,362,52 (1),2021-06-01,ATL,,WSN,"L,6-11",5-6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.125,.000,.125,9,.36,0.016,.37,0.01%,0.27,,,PH,,2021-06-01,144,120,633863
14,363,53,2021-06-02,ATL,,WSN,"L,3-5",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.118,.000,.118,8,1.91,-0.050,1.88,-0.03%,-0.25,,,PH,,2021-06-02,144,120,633883
15,364,89 (35),2021-07-11,ATL,@,MIA,"L,4-7",5-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.111,.000,.111,9,1.07,-0.020,1.16,-0.01%,-0.18,,,PH,,2021-07-11,144,146,633324
1,365,2 (1),2022-04-09,PHI,,OAK,"W,4-2",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,,,0.00,0.00,3B,,2022-04-09,143,133,661130
2,366,3,2022-04-10,PHI,,OAK,"L,1-4",CG,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.500,.667,.500,1.167,7,.97,0.018,.94,0.01%,0.28,5.00,6.00,3B,,2022-04-10,143,133,661129
3,367,4,2022-04-11,PHI,,NYM,"W,5-4",8-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.750,.667,1.417,9,1.15,0.072,1.17,0.04%,0.96,3.00,3.00,PH 3B,,2022-04-11,143,121,661637
4,368,5,2022-04-12,PHI,,NYM,"L,0-2",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.571,.500,1.071,8,1.23,0.011,1.32,0.01%,-0.01,3.00,3.00,3B,,2022-04-12,143,121,661636
5,369,6,2022-04-13,PHI,,NYM,"L,6-9",CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.500,.545,.500,1.045,7,1.17,-0.041,1.18,-0.03%,0.11,6.00,6.00,1B 3B,,2022-04-13,143,121,661643
6,370,7,2022-04-14,PHI,@,MIA,"L,3-4",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.467,.500,.967,7,1.54,-0.035,1.49,-0.02%,0.00,5.00,6.00,3B,,2022-04-14,143,146,661418
7,371,8,2022-04-15,PHI,@,MIA,"L,1-7",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.368,.389,.757,6,.49,-0.044,.46,-0.03%,-0.90,0.00,0.00,3B,,2022-04-15,143,146,661417
8,372,9,2022-04-16,PHI,@,MIA,"W,10-3",CG,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.304,.333,.391,.725,6,.22,0.019,.20,0.01%,0.78,9.00,13.00,3B,,2022-04-16,143,146,661416
9,373,10,2022-04-17,PHI,@,MIA,"L,3-11",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.269,.321,.346,.668,8,.32,0.008,.31,0.01%,-0.49,2.00,3.00,3B SS,,2022-04-17,143,146,661415
10,374,12 (1),2022-04-19,PHI,@,COL,"L,5-6",4-GF,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.355,.379,.734,8,1.52,-0.030,1.20,-0.01%,0.23,6.00,6.00,PH SS,,2022-04-19,143,115,662925
11,375,13,2022-04-20,PHI,@,COL,"W,9-6",CG,5,5,1,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.382,.417,.529,.946,8,.86,0.240,.63,0.11%,3.27,27.00,34.70,SS,,2022-04-20,143,115,662924
