Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,350.0,2021-04-04,ATL,@,PHI,"L,1-2",8-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.98,-0.025,0.97,-0.02%,-0.11,0.0,0.0,PH,,2021-04-04,144,143,634617,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,351.0,2021-04-06,ATL,@,WSN,"L,5-6",9-9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,9.0,1.3,0.031,1.23,0.02%,0.12,0.0,0.0,PH,,2021-04-06,144,120,634624,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,352.0,2021-04-07,ATL,@,WSN,"W,7-6",3-3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,9.0,0.46,-0.012,0.42,-0.01%,-0.1,0.0,0.0,PH,1.0,2021-04-07,144,120,634527,2021,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
4.0,353.0,2021-04-16,ATL,@,CHC,"W,5-2",6-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,9.0,0.67,-0.017,0.53,-0.01%,-0.24,0.0,0.0,PH,,2021-04-16,144,112,634548,2021,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,2.0
5.0,354.0,2021-04-17,ATL,@,CHC,"L,4-13",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.0,0.0,0.0,0.0,0.00%,-0.11,0.0,0.0,PH,,2021-04-17,144,112,634462,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,3.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,3.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,3.0
6.0,355.0,2021-04-18,ATL,@,CHC,"W,13-4",4-GF,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,1.0,0.33,-0.025,0.27,-0.01%,-1.12,0.0,0.0,2B,,2021-04-18,144,112,634506,2021,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,3.0
7.0,356.0,2021-04-20,ATL,@,NYY,"L,1-3",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,6.0,1.54,-0.04,1.38,-0.02%,-0.25,0.0,0.0,PH DH,,2021-04-20,144,147,634422,2021,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,4.0,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,3.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,4.0
8.0,357.0,2021-04-28,ATL,,CHC,"W,10-0",7-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.091,9.0,0.0,0.0,0.0,0.00%,-1.04,0.0,0.0,PH 1B,,2021-04-28,144,112,634414,2021,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,5.0
9.0,358.0,2021-04-29,ATL,,CHC,"L,3-9",5-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.083,9.0,0.56,-0.015,0.58,-0.01%,-0.25,0.0,0.0,PH,,2021-04-29,144,112,634347,2021,0.0,0.091,0.0,0.091,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.091,0.0,0.091,0.0,0.0,0.0,0.0,5.0
10.0,359.0,2021-05-11,ATL,,TOR,"L,3-5",7-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.077,9.0,1.13,-0.032,1.1,-0.02%,-0.34,0.0,0.0,PH,,2021-05-11,144,141,634163,2021,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,5.0
11.0,360.0,2021-05-13,ATL,,TOR,"L,4-8",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.071,9.0,0.59,-0.015,0.52,-0.01%,-0.17,0.0,0.0,PH 3B,,2021-05-13,144,141,634114,2021,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,5.0
12.0,361.0,2021-05-29,ATL,@,NYM,"L,2-13",6-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.067,9.0,1.05,-0.02,1.29,-0.02%,-0.18,0.0,0.0,PH,,2021-05-29,144,121,633959,2021,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0.0,5.0
13.0,362.0,2021-06-01,ATL,,WSN,"L,6-11",5-6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,9.0,0.36,0.016,0.37,0.01%,0.27,0.0,0.0,PH,,2021-06-01,144,120,633863,2021,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0.0,5.0
14.0,363.0,2021-06-02,ATL,,WSN,"L,3-5",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.118,8.0,1.91,-0.05,1.88,-0.03%,-0.25,0.0,0.0,PH,,2021-06-02,144,120,633883,2021,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,5.0
15.0,364.0,2021-07-11,ATL,@,MIA,"L,4-7",5-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,9.0,1.07,-0.02,1.16,-0.01%,-0.18,0.0,0.0,PH,,2021-07-11,144,146,633324,2021,0.0,0.118,0.0,0.118,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.118,0.0,0.118,0.0,0.0,0.0,0.0,6.0
1.0,365.0,2022-04-09,PHI,,OAK,"W,4-2",7-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,,,,,,0.0,0.0,3B,,2022-04-09,143,133,661130,2022,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,366.0,2022-04-10,PHI,,OAK,"L,1-4",CG,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,0.5,1.167,7.0,0.97,0.018,0.94,0.01%,0.28,5.0,6.0,3B,,2022-04-10,143,133,661129,2022,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,6.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,367.0,2022-04-11,PHI,,NYM,"W,5-4",8-GF,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.75,0.667,1.417,9.0,1.15,0.072,1.17,0.04%,0.96,3.0,3.0,PH 3B,,2022-04-11,143,121,661637,2022,0.056,0.19,0.056,0.246,0.0,0.0,0.0,1.0,7.0,0.25,0.5,0.25,0.75,0.0,0.0,0.0,1.0,2.0,0.5,0.667,0.5,1.167,0.0,0.0,0.0,1.0,1.0
4.0,368.0,2022-04-12,PHI,,NYM,"L,0-2",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.571,0.5,1.071,8.0,1.23,0.011,1.32,0.01%,-0.01,3.0,3.0,3B,,2022-04-12,143,121,661636,2022,0.105,0.227,0.105,0.333,0.0,0.0,0.0,2.0,7.0,0.4,0.5,0.4,0.9,0.0,0.0,0.0,2.0,2.0,0.667,0.75,0.667,1.417,0.0,0.0,0.0,2.0,1.0
5.0,369.0,2022-04-13,PHI,,NYM,"L,6-9",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.545,0.5,1.045,7.0,1.17,-0.041,1.18,-0.03%,0.11,6.0,6.0,1B 3B,,2022-04-13,143,121,661643,2022,0.136,0.24,0.136,0.376,0.0,0.0,0.0,3.0,7.0,0.429,0.5,0.429,0.929,0.0,0.0,0.0,3.0,1.0,0.5,0.571,0.5,1.071,0.0,0.0,0.0,3.0,1.0
6.0,370.0,2022-04-14,PHI,@,MIA,"L,3-4",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.467,0.5,0.967,7.0,1.54,-0.035,1.49,-0.02%,0.0,5.0,6.0,3B,,2022-04-14,143,146,661418,2022,0.192,0.276,0.192,0.468,0.0,0.0,0.0,5.0,9.0,0.5,0.545,0.5,1.045,0.0,0.0,0.0,5.0,3.0,0.5,0.545,0.5,1.045,0.0,0.0,0.0,5.0,3.0
7.0,371.0,2022-04-15,PHI,@,MIA,"L,1-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.368,0.389,0.757,6.0,0.49,-0.044,0.46,-0.03%,-0.9,0.0,0.0,3B,,2022-04-15,143,146,661417,2022,0.207,0.281,0.276,0.557,0.0,0.0,1.0,7.0,8.0,0.429,0.467,0.571,1.038,0.0,0.0,1.0,7.0,3.0,0.429,0.467,0.571,1.038,0.0,0.0,1.0,7.0,3.0
8.0,372.0,2022-04-16,PHI,@,MIA,"W,10-3",CG,5.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.333,0.391,0.725,6.0,0.22,0.019,0.2,0.01%,0.78,9.0,13.0,3B,,2022-04-16,143,146,661416,2022,0.182,0.229,0.242,0.471,0.0,0.0,1.0,7.0,8.0,0.312,0.312,0.438,0.75,0.0,0.0,1.0,6.0,2.0,0.333,0.368,0.444,0.813,0.0,0.0,1.0,7.0,3.0
9.0,373.0,2022-04-17,PHI,@,MIA,"L,3-11",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,0.321,0.346,0.668,8.0,0.32,0.008,0.31,0.01%,-0.49,2.0,3.0,3B SS,,2022-04-17,143,146,661415,2022,0.189,0.231,0.297,0.528,0.0,0.0,2.0,9.0,7.0,0.25,0.25,0.45,0.7,0.0,0.0,2.0,7.0,2.0,0.304,0.333,0.478,0.812,0.0,0.0,2.0,9.0,3.0
