Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,18.0,2021-06-10,DET,,SEA,"W,8-3",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,6.0,0.44,-0.074,0.1,-0.01%,-0.57,0.0,0.0,CF,,2021-06-10,116,136,633754,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,19.0,2021-06-11,DET,,CHW,"L,4-5",7-GF(10),2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.333,0.8,1.133,6.0,2.08,0.435,0.63,0.08%,1.5,0.0,0.0,PH RF,,2021-06-11,116,145,633789,2021,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0
3.0,20.0,2021-06-12,DET,,CHW,"L,2-15",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.444,0.644,8.0,0.05,-0.005,0.01,0.00%,-1.06,0.0,0.0,CF RF,,2021-06-12,116,145,633721,2021,0.2,0.333,1.0,1.333,1.0,0.0,1.0,4.0,1.0,0.2,0.333,1.0,1.333,1.0,0.0,1.0,4.0,1.0,0.2,0.333,1.0,1.333,1.0,0.0,1.0,4.0,1.0
4.0,21.0,2021-06-13,DET,,CHW,"L,1-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.143,0.308,0.451,2.0,0.72,-0.075,0.13,-0.01%,-0.79,0.0,0.0,CF,,2021-06-13,116,145,633688,2021,0.111,0.2,0.556,0.756,1.0,0.0,1.0,4.0,2.0,0.111,0.2,0.556,0.756,1.0,0.0,1.0,4.0,2.0,0.111,0.2,0.556,0.756,1.0,0.0,1.0,4.0,2.0
5.0,22.0,2021-06-15,DET,@,KCR,"W,4-3",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.167,0.294,0.461,6.0,1.12,0.047,0.18,0.00%,0.27,0.0,0.0,CF,,2021-06-15,116,118,633755,2021,0.077,0.143,0.385,0.527,1.0,0.0,1.0,4.0,3.0,0.077,0.143,0.385,0.527,1.0,0.0,1.0,4.0,3.0,0.077,0.143,0.385,0.527,1.0,0.0,1.0,4.0,3.0
6.0,23.0,2021-06-17,DET,@,LAA,"L,5-7",CG,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.143,0.182,0.333,0.515,9.0,1.04,-0.122,0.18,-0.01%,-0.37,0.0,0.0,CF,,2021-06-17,116,108,633624,2021,0.118,0.167,0.353,0.52,1.0,0.0,1.0,5.0,5.0,0.118,0.167,0.353,0.52,1.0,0.0,1.0,5.0,5.0,0.118,0.167,0.353,0.52,1.0,0.0,1.0,5.0,5.0
7.0,24.0,2021-06-19,DET,@,LAA,"L,3-8",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.231,0.48,0.711,6.0,0.75,0.109,0.09,0.01%,1.64,0.0,0.0,CF,,2021-06-19,116,108,633650,2021,0.143,0.182,0.429,0.61,1.0,0.0,2.0,7.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,2.0,7.0,5.0,0.143,0.182,0.429,0.61,1.0,0.0,2.0,7.0,5.0
8.0,25.0,2021-06-20,DET,@,LAA,"W,5-3",CG(10),5.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.233,0.258,0.467,0.725,6.0,2.21,0.104,0.25,0.01%,0.63,0.0,0.0,CF,,2021-06-20,116,108,633563,2021,0.2,0.231,0.6,0.831,1.0,0.0,3.0,12.0,7.0,0.2,0.2,0.5,0.7,0.0,0.0,2.0,8.0,6.0,0.2,0.231,0.6,0.831,1.0,0.0,3.0,12.0,7.0
9.0,26.0,2021-06-23,DET,,STL,"W,6-2",CG,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.242,0.286,0.545,0.831,6.0,0.85,0.05,0.12,0.00%,0.51,0.0,0.0,CF,,2021-06-23,116,138,633541,2021,0.233,0.258,0.567,0.825,2.0,0.0,3.0,14.0,10.0,0.286,0.286,0.571,0.857,1.0,0.0,2.0,10.0,8.0,0.233,0.258,0.567,0.825,2.0,0.0,3.0,14.0,10.0
10.0,27.0,2021-06-24,DET,,HOU,"L,3-12",CG,4.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.333,0.583,0.917,6.0,0.44,0.048,0.08,0.01%,1.98,0.0,0.0,RF,,2021-06-24,116,117,633564,2021,0.242,0.286,0.667,0.952,3.0,0.0,4.0,18.0,10.0,0.35,0.381,0.85,1.231,2.0,0.0,3.0,14.0,7.0,0.242,0.286,0.667,0.952,3.0,0.0,4.0,18.0,10.0
11.0,28.0,2021-06-26,DET,,HOU,"W,3-1",CG(7),3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.31,0.538,0.848,5.0,1.01,-0.072,0.15,-0.01%,-0.82,0.0,0.0,CF,1.0,2021-06-26,116,117,633530,2021,0.278,0.333,0.722,1.056,3.0,0.0,5.0,21.0,11.0,0.421,0.476,1.053,1.529,2.0,0.0,4.0,16.0,6.0,0.278,0.333,0.722,1.056,3.0,0.0,5.0,21.0,11.0
12.0,29.0,2021-06-26,DET,,HOU,"L,2-3",6-GF(7),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.31,0.538,0.848,5.0,,,,,,0.0,0.0,PR RF,2.0,2021-06-26,116,117,633509,2021,0.256,0.31,0.667,0.976,3.0,0.0,5.0,21.0,12.0,0.389,0.45,0.944,1.394,2.0,0.0,3.0,14.0,7.0,0.256,0.31,0.667,0.976,3.0,0.0,5.0,21.0,12.0
13.0,30.0,2021-06-27,DET,,HOU,"W,2-1",CG(10),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.304,0.512,0.816,6.0,2.02,-0.087,0.32,-0.01%,-0.57,0.0,0.0,RF,,2021-06-27,116,117,633494,2021,0.256,0.31,0.667,0.976,3.0,0.0,5.0,21.0,12.0,0.357,0.438,0.786,1.223,2.0,0.0,2.0,9.0,5.0,0.256,0.31,0.667,0.976,3.0,0.0,5.0,21.0,12.0
