Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2023-09-23,TBR,,TOR,"W,7-6",CG,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.25,0.65,5.0,1.19,-0.065,1.36,-0.04%,-0.47,7.0,9.2,DH,,2023-09-23,139,141,716463,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2023-09-24,TBR,,TOR,"L,5-9",CG,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.3,0.222,0.522,5.0,1.01,-0.037,1.07,-0.02%,-0.2,5.0,6.5,DH,,2023-09-24,139,141,716452,2023,0.25,0.4,0.25,0.65,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,0.65,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,0.65,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,0.65,0.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,0.65,0.0,0.0,0.0,1.0,1.0
3.0,3.0,2023-09-26,TBR,@,BOS,"W,9-7",CG,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.267,0.286,0.552,2.0,0.58,0.073,0.19,0.01%,0.16,9.0,12.7,3B,,2023-09-26,139,111,716428,2023,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,3.0,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,3.0,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,3.0,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,3.0,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,3.0
4.0,4.0,2023-09-27,TBR,@,BOS,"W,5-0",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.158,0.2,0.211,0.411,2.0,0.54,-0.09,0.13,-0.01%,-1.4,0.0,0.0,3B,,2023-09-27,139,111,716419,2023,0.214,0.267,0.357,0.624,0.0,0.0,1.0,4.0,4.0,0.214,0.267,0.357,0.624,0.0,0.0,1.0,4.0,4.0,0.214,0.267,0.357,0.624,0.0,0.0,1.0,4.0,4.0,0.214,0.267,0.357,0.624,0.0,0.0,1.0,4.0,4.0,0.214,0.267,0.357,0.624,0.0,0.0,1.0,4.0,4.0
5.0,5.0,2023-09-29,TBR,@,TOR,"L,4-11",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.174,0.208,0.217,0.426,6.0,0.66,-0.01,0.02,0.00%,0.34,7.0,10.0,SS,,2023-09-29,139,141,716392,2023,0.158,0.2,0.263,0.463,0.0,0.0,1.0,4.0,6.0,0.158,0.2,0.263,0.463,0.0,0.0,1.0,4.0,6.0,0.158,0.2,0.263,0.463,0.0,0.0,1.0,4.0,6.0,0.133,0.133,0.267,0.4,0.0,0.0,1.0,3.0,5.0,0.158,0.2,0.263,0.463,0.0,0.0,1.0,4.0,6.0
6.0,6.0,2023-09-30,TBR,@,TOR,"W,7-5",CG(10),6.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.267,0.25,0.517,1.0,1.18,0.14,0.01,0.00%,0.99,10.0,12.5,3B,,2023-09-30,139,141,716383,2023,0.174,0.208,0.261,0.469,0.0,0.0,1.0,5.0,6.0,0.174,0.208,0.261,0.469,0.0,0.0,1.0,5.0,6.0,0.174,0.208,0.261,0.469,0.0,0.0,1.0,5.0,6.0,0.143,0.143,0.286,0.429,0.0,0.0,1.0,3.0,3.0,0.174,0.208,0.261,0.469,0.0,0.0,1.0,5.0,6.0
7.0,7.0,2023-10-01,TBR,@,TOR,"W,12-8",CG,6.0,6.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.278,0.353,0.631,1.0,0.5,0.086,0.01,0.00%,1.17,21.0,28.4,2B SS,,2023-10-01,139,141,716357,2023,0.214,0.267,0.286,0.552,0.0,0.0,1.0,7.0,6.0,0.214,0.267,0.286,0.552,0.0,0.0,1.0,7.0,6.0,0.208,0.24,0.292,0.532,0.0,0.0,1.0,6.0,5.0,0.214,0.267,0.214,0.481,0.0,0.0,0.0,3.0,2.0,0.214,0.267,0.286,0.552,0.0,0.0,1.0,7.0,6.0
1.0,8.0,2024-08-13 00:00:00,TBR,,HOU,"L,2-3",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,5.0,1.52,-0.124,0.57,-0.03%,-0.48,3.0,3.0,3B,,2024-08-13,139,117,745055,2024,0.235,0.278,0.412,0.69,0.0,0.0,2.0,12.0,8.0,0.235,0.278,0.412,0.69,0.0,0.0,2.0,12.0,8.0,0.24,0.269,0.48,0.749,0.0,0.0,2.0,10.0,5.0,0.333,0.375,0.6,0.975,0.0,0.0,1.0,8.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,9.0,2024-08-14 00:00:00,TBR,,HOU,"L,1-2",CG(10),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.143,0.25,0.143,0.393,5.0,2.02,0.038,0.58,0.01%,0.12,7.0,9.0,3B,,2024-08-14,139,117,745053,2024,0.237,0.275,0.395,0.67,0.0,0.0,2.0,13.0,11.0,0.237,0.275,0.395,0.67,0.0,0.0,2.0,13.0,11.0,0.25,0.28,0.417,0.697,0.0,0.0,1.0,9.0,7.0,0.333,0.375,0.6,0.975,0.0,0.0,1.0,8.0,5.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,3.0
3.0,10.0,2024-08-16 00:00:00,TBR,,ARI,"W,5-4",GS-8,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.417,0.3,0.717,5.0,1.22,0.071,0.26,0.01%,0.45,8.0,9.0,3B,,2024-08-16,139,109,745054,2024,0.22,0.273,0.366,0.639,1.0,0.0,2.0,13.0,11.0,0.22,0.273,0.366,0.639,1.0,0.0,2.0,13.0,11.0,0.273,0.333,0.455,0.788,1.0,0.0,1.0,9.0,5.0,0.231,0.286,0.538,0.824,1.0,0.0,1.0,6.0,5.0,0.143,0.25,0.143,0.393,1.0,0.0,0.0,1.0,3.0
4.0,11.0,2024-08-17 00:00:00,TBR,,ARI,"W,6-1",CG,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.385,0.5,0.385,0.885,5.0,0.49,-0.011,0.11,0.00%,-0.25,13.0,15.0,3B,,2024-08-17,139,109,745049,2024,0.25,0.312,0.386,0.699,1.0,0.0,2.0,15.0,11.0,0.25,0.312,0.386,0.699,1.0,0.0,2.0,15.0,11.0,0.333,0.417,0.524,0.94,1.0,0.0,1.0,10.0,5.0,0.3,0.417,0.3,0.717,1.0,0.0,0.0,3.0,3.0,0.3,0.417,0.3,0.717,1.0,0.0,0.0,3.0,3.0
