Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,247,1,2021-04-01,SDP,,ARI,"W,8-7",CG,4,4,0,2,0,0,0,3,0,0.0,1,0,0,0.0,0,0.0,0,0,0.5,0.5,0.5,1.0,8,1.2,0.196,1.28,0.13%,2.28,,,C,,2021-04-01,135,109,634618
2,248,3 (1),2021-04-03,SDP,,ARI,"W,7-0",CG,4,4,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.25,0.25,0.25,0.5,8,0.6,-0.059,0.68,-0.04%,-1.33,,,C,,2021-04-03,135,109,634623
3,249,5 (1),2021-04-05,SDP,,SFG,"L,2-3",CG,4,2,0,1,0,0,0,2,1,0.0,1,0,0,1.0,0,0.0,0,0,0.3,0.333,0.3,0.633,8,2.38,0.115,2.79,0.08%,1.14,,,C,,2021-04-05,135,137,634591
4,250,6,2021-04-06,SDP,,SFG,"W,3-1",CG,3,3,1,1,0,0,1,2,0,0.0,0,0,0,0.0,0,1.0,0,0,0.308,0.333,0.538,0.872,8,1.51,0.163,1.69,0.11%,0.5,,,C,,2021-04-06,135,137,634529
5,251,8 (1),2021-04-09,SDP,@,TEX,"W,3-0",CG,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.313,0.333,0.5,0.833,9,0.44,-0.026,0.41,-0.02%,-0.36,,,C,,2021-04-09,135,140,634478
6,252,9,2021-04-10,SDP,@,TEX,"W,7-4",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.313,0.333,0.5,0.833,8,,,,,,,,C,,2021-04-10,135,140,632193
7,253,10,2021-04-11,SDP,@,TEX,"W,2-0",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.273,0.4,0.673,8,0.94,-0.1,0.97,-0.06%,-1.34,,,C,,2021-04-11,135,140,632233
8,254,11,2021-04-12,SDP,@,PIT,"W,6-2",CG,4,4,0,1,1,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.269,0.417,0.686,7,0.8,0.029,0.87,0.02%,0.36,,,C,,2021-04-12,135,134,632198
9,255,12,2021-04-13,SDP,@,PIT,"L,4-8",9-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.24,0.259,0.4,0.659,9,0.17,-0.004,0.19,0.00%,-0.16,,,PH,,2021-04-13,135,134,634535
10,256,13,2021-04-14,SDP,@,PIT,"L,1-5",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.222,0.267,0.37,0.637,8,1.69,-0.044,1.77,-0.03%,-0.54,,,C,,2021-04-14,135,134,634523
11,257,15 (1),2021-04-16,SDP,,LAD,"L,6-11",8-GF(12),3,2,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.207,0.273,0.345,0.618,9,2.37,-0.202,3.07,-0.16%,-0.99,,,PH C,,2021-04-16,135,119,634531
12,258,16,2021-04-17,SDP,,LAD,"L,0-2",CG,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.188,0.25,0.313,0.563,8,1.54,-0.122,1.95,-0.09%,-0.68,,,C,,2021-04-17,135,119,634449
13,259,17,2021-04-18,SDP,,LAD,"W,5-2",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.176,0.256,0.294,0.551,8,1.57,-0.035,1.94,-0.03%,-0.24,,,C,,2021-04-18,135,119,634488
14,260,18,2021-04-19,SDP,,MIL,"L,1-3",CG,3,2,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.194,0.286,0.306,0.591,8,1.12,0.054,1.15,0.03%,0.27,,,C,,2021-04-19,135,158,634399
15,261,20 (1),2021-04-21,SDP,,MIL,"L,2-4",CG,4,4,1,1,1,0,0,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.2,0.283,0.325,0.608,8,2.6,-0.1,2.53,-0.06%,-0.38,,,C,,2021-04-21,135,158,634476
16,262,21,2021-04-22,SDP,@,LAD,"W,3-2",7-GF,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.22,0.298,0.341,0.639,9,2.8,0.178,3.02,0.12%,0.96,,,C,,2021-04-22,135,119,634420
17,263,22,2021-04-23,SDP,@,LAD,"W,6-1",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.205,0.294,0.318,0.612,8,0.54,-0.039,0.6,-0.03%,0.14,,,C,,2021-04-23,135,119,634370
18,264,23,2021-04-24,SDP,@,LAD,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.208,0.291,0.313,0.603,8,1.62,-0.06,1.94,-0.04%,-0.33,,,C,,2021-04-24,135,119,634361
19,265,24,2021-04-25,SDP,@,LAD,"W,8-7",CG(11),5,4,1,2,0,0,0,2,1,0.0,2,0,0,0.0,0,0.0,1,0,0.231,0.317,0.327,0.644,8,2.76,0.102,3.17,0.07%,1.58,,,C,,2021-04-25,135,119,634356
20,266,25,2021-04-27,SDP,@,ARI,"L,1-5",CG,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.236,0.317,0.327,0.645,8,1.03,-0.06,1.13,-0.04%,-0.51,,,C,,2021-04-27,135,109,634364
21,267,26,2021-04-28,SDP,@,ARI,"W,12-3",CG,5,3,2,1,0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.241,0.338,0.328,0.666,7,0.62,0.09,0.66,0.06%,0.99,,,C,,2021-04-28,135,109,634322
22,268,27,2021-04-30,SDP,,SFG,"W,3-2",CG,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.23,0.333,0.311,0.645,8,1.06,-0.037,1.26,-0.03%,-0.75,,,C,,2021-04-30,135,137,634303
23,269,29 (1),2021-05-02,SDP,,SFG,"L,1-7",CG,4,4,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.215,0.316,0.292,0.608,8,0.77,-0.077,1.04,-0.06%,-1.02,,,C,,2021-05-02,135,137,634301
24,270,32 (2),2021-05-05,SDP,,PIT,"W,4-2",CG,4,4,2,1,0,0,1,1,0,0.0,0,0,0,0.0,1,0.0,0,0,0.217,0.313,0.333,0.646,8,0.89,0.2,0.94,0.13%,1.61,,,C,,2021-05-05,135,134,634227
25,271,33,2021-05-07,SDP,@,SFG,"L,4-5",6-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.214,0.309,0.329,0.637,7,4.61,-0.106,6.42,-0.09%,-0.36,,,C,,2021-05-07,135,137,634240
26,272,35 (1),2021-05-09,SDP,@,SFG,"W,11-1",CG,5,5,2,2,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.227,0.314,0.347,0.661,8,0.27,0.01,0.36,0.01%,-0.95,,,C,,2021-05-09,135,137,634185
27,273,37 (1),2021-05-12,SDP,@,COL,"W,5-3",CG(7),3,2,1,1,0,0,1,4,1,1.0,0,0,0,0.0,0,0.0,0,0,0.234,0.326,0.39,0.715,8,2.99,0.406,3.6,0.29%,3.15,,,C,1.0,2021-05-12,135,115,634208
28,274,38,2021-05-12,SDP,@,COL,"L,2-3",7-7,1,1,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.244,0.333,0.397,0.731,9,4.36,0.171,5.37,0.13%,0.59,,,PH,2.0,2021-05-12,135,115,634155
29,275,40 (1),2021-05-15,SDP,,STL,"W,13-3",CG,5,3,0,1,0,0,0,0,1,0.0,0,1,0,0.0,0,0.0,0,0,0.247,0.347,0.395,0.742,8,0.1,0.015,0.13,0.01%,0.56,,,C,,2021-05-15,135,138,634143
30,276,42 (1),2021-05-17,SDP,,COL,"W,7-0",CG,4,4,0,1,1,0,0,2,0,0.0,1,0,0,0.0,0,2.0,0,0,0.247,0.343,0.4,0.743,8,0.32,0.057,0.41,0.04%,0.1,,,C,,2021-05-17,135,115,634057
31,277,44 (1),2021-05-19,SDP,,COL,"W,3-0",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.241,0.343,0.391,0.734,8,0.64,-0.028,0.85,-0.02%,-0.45,,,C,,2021-05-19,135,115,634031
32,278,45,2021-05-21,SDP,,SEA,"W,16-1",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.241,0.343,0.391,0.734,4,,,,,,,,1B,,2021-05-21,135,136,634019
33,279,47 (1),2021-05-23,SDP,,SEA,"W,9-2",CG,4,3,1,0,0,0,0,1,0,0.0,1,1,0,0.0,0,0.0,0,0,0.233,0.34,0.378,0.717,7,0.84,-0.031,1.03,-0.02%,0.09,,,C,,2021-05-23,135,136,633996
34,280,49 (1),2021-05-25,SDP,@,MIL,"W,7-1",CG,4,3,1,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,1,0,0.226,0.336,0.366,0.702,7,0.78,0.119,1.01,0.09%,0.67,,,C,,2021-05-25,135,158,633962
35,281,50,2021-05-26,SDP,@,MIL,"W,2-1",CG(10),4,4,0,2,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.237,0.342,0.371,0.713,7,1.55,0.162,1.89,0.12%,0.76,,,C,,2021-05-26,135,158,633927
36,282,51,2021-05-27,SDP,@,MIL,"L,5-6",CG(10),4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.228,0.331,0.356,0.687,7,1.4,-0.15,1.74,-0.11%,-0.96,,,C,,2021-05-27,135,158,633937
37,283,52,2021-05-28,SDP,@,HOU,"W,10-3",10-GF(11),2,2,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.233,0.333,0.359,0.693,8,1.97,0.136,2.53,0.10%,0.48,,,C,,2021-05-28,135,117,633918
38,284,53,2021-05-29,SDP,@,HOU,"W,11-8",CG(12),6,6,1,1,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.229,0.325,0.349,0.674,9,1.21,-0.159,1.5,-0.12%,-1.42,,,C,,2021-05-29,135,117,633874
39,285,55 (1),2021-05-31,SDP,@,CHC,"L,2-7",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.223,0.318,0.339,0.657,8,1.07,-0.146,1.34,-0.11%,-1.59,,,C,,2021-05-31,135,112,633870
40,286,56,2021-06-01,SDP,@,CHC,"L,3-4",CG,4,4,1,1,0,0,1,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.224,0.316,0.362,0.678,8,1.07,0.01,1.4,0.01%,0.49,,,C,,2021-06-01,135,112,633880
41,287,57,2021-06-02,SDP,@,CHC,"L,1-6",9-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.222,0.313,0.359,0.672,6,0.78,-0.029,1.05,-0.02%,-1.14,,,PH,,2021-06-02,135,112,633855
42,288,58,2021-06-03,SDP,,NYM,"W,4-3",CG,4,3,1,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.217,0.312,0.35,0.662,8,0.62,-0.035,0.79,-0.03%,-0.76,,,C,,2021-06-03,135,121,633841
