Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1200,2021-04-01,STL,@,CIN,"W,11-6",8-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.06,-0.002,0.06,0.00%,-0.18,0.0,0.0,PH,,2021-04-01,138,113,634636,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,1201,2021-04-03,STL,@,CIN,"L,6-9",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.18,-0.005,0.2,0.00%,-0.26,0.0,0.0,PH,,2021-04-03,138,113,634654,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1202,2021-04-04,STL,@,CIN,"L,1-12",6-6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,9,0.97,0.042,1.05,0.03%,0.4,0.0,0.0,PH,,2021-04-04,138,113,634560,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1203,2021-04-05,STL,@,MIA,"W,4-1",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,9,0.36,-0.009,0.34,-0.01%,-0.24,0.0,0.0,PH,,2021-04-05,138,146,634562,2021,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0
5,1204,2021-04-06,STL,@,MIA,"W,4-2",GS-8,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,5,1.35,-0.058,1.35,-0.04%,-0.52,0.0,0.0,2B,,2021-04-06,138,146,634594,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0
6,1205,2021-04-07,STL,@,MIA,"W,7-0",GS-7,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.273,5,1.32,-0.06,1.37,-0.04%,-0.6,0.0,0.0,2B,,2021-04-07,138,146,634585,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0
7,1206,2021-04-08,STL,,MIL,"W,3-1",GS-7,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.286,2,1.0,-0.014,1.15,-0.01%,-0.19,0.0,0.0,1B,,2021-04-08,138,158,634568,2021,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,2.0,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,3.0
8,1207,2021-04-10,STL,,MIL,"L,5-9",5-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.267,9,0.66,-0.016,0.79,-0.01%,-0.15,0.0,0.0,PH,,2021-04-10,138,158,632222,2021,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,4.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,3.0,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,4.0
9,1208,2021-04-11,STL,,MIL,"L,3-9",6-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,9,0.79,-0.022,0.93,-0.02%,-0.35,0.0,0.0,PH,,2021-04-11,138,158,632196,2021,0.0,0.267,0.0,0.267,0.0,0.0,0.0,0.0,5.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.267,0.0,0.267,0.0,0.0,0.0,0.0,5.0
10,1209,2021-04-12,STL,,WSN,"L,2-5",GS-9,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.316,0.071,0.387,7,1.53,0.017,1.52,0.01%,0.28,0.0,0.0,2B,,2021-04-12,138,120,632230,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,5.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,3.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,5.0
11,1210,2021-04-13,STL,,WSN,"W,14-3",CG,5.0,4.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.111,0.292,0.278,0.569,5,0.35,0.11,0.33,0.06%,1.8,0.0,0.0,2B,,2021-04-13,138,120,634502,2021,0.071,0.316,0.071,0.387,0.0,0.0,0.0,1.0,5.0,0.125,0.364,0.125,0.489,0.0,0.0,0.0,1.0,3.0,0.071,0.316,0.071,0.387,0.0,0.0,0.0,1.0,5.0
12,1211,2021-04-14,STL,,WSN,"L,0-6",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.25,0.227,0.477,5,0.72,-0.073,0.71,-0.04%,-1.03,0.0,0.0,2B,,2021-04-14,138,120,634541,2021,0.111,0.292,0.333,0.625,0.0,0.0,1.0,5.0,6.0,0.2,0.308,0.6,0.908,0.0,0.0,1.0,5.0,3.0,0.111,0.292,0.333,0.625,0.0,0.0,1.0,5.0,6.0
13,1212,2021-04-16,STL,@,PHI,"L,2-9",GS-7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.226,0.2,0.426,5,0.35,-0.027,0.34,-0.02%,-0.56,0.0,0.0,2B,,2021-04-16,138,143,634474,2021,0.091,0.25,0.273,0.523,0.0,0.0,1.0,5.0,8.0,0.167,0.214,0.5,0.714,0.0,0.0,1.0,5.0,4.0,0.091,0.25,0.273,0.523,0.0,0.0,1.0,5.0,8.0
14,1213,2021-04-17,STL,@,PHI,"W,9-4",4-4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.219,0.192,0.411,9,0.31,-0.009,0.3,-0.01%,-0.5,0.0,0.0,PH,,2021-04-17,138,143,634470,2021,0.08,0.226,0.24,0.466,0.0,0.0,1.0,5.0,8.0,0.143,0.188,0.429,0.616,0.0,0.0,1.0,5.0,3.0,0.08,0.226,0.24,0.466,0.0,0.0,1.0,5.0,8.0
15,1214,2021-04-18,STL,@,PHI,"L,0-2",GS-7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.2,0.172,0.372,5,0.88,-0.064,0.86,-0.04%,-0.57,0.0,0.0,2B,,2021-04-18,138,143,634498,2021,0.077,0.219,0.231,0.45,0.0,0.0,1.0,5.0,9.0,0.143,0.188,0.429,0.616,0.0,0.0,1.0,5.0,4.0,0.077,0.219,0.231,0.45,0.0,0.0,1.0,5.0,9.0
16,1215,2021-04-19,STL,@,WSN,"W,12-5",GS-8,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.231,0.188,0.418,7,0.27,0.015,0.26,0.01%,0.58,0.0,0.0,2B,,2021-04-19,138,120,634431,2021,0.069,0.2,0.207,0.407,0.0,0.0,1.0,5.0,12.0,0.067,0.062,0.333,0.396,0.0,0.0,1.0,4.0,7.0,0.069,0.2,0.207,0.407,0.0,0.0,1.0,5.0,12.0
