Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,11,103 (102),2021-07-30,NYM,,CIN,"L,2-6",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.43,-0.011,.72,-0.01%,-0.10,,,P,,2021-07-30,121,113,633100
2,12,108 (4),2021-08-04,NYM,@,MIA,"W,5-3",GS-5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,9,.95,0.067,1.67,0.07%,1.00,,,P,,2021-08-04,121,146,633021
3,13,113 (4),2021-08-10,NYM,,WSN,"W,8-7",GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-10,121,120,632966
4,14,118 (4),2021-08-15,NYM,,LAD,"L,4-14",GS-3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,9,1.04,-0.016,1.49,-0.01%,-0.31,,,P,,2021-08-15,121,119,632895
5,15,123 (4),2021-08-20,NYM,@,LAD,"L,2-3",GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.92,-0.047,.81,-0.03%,-0.42,,,P,,2021-08-20,121,119,632811
6,16,128 (4),2021-08-26,NYM,,SFG,"L,2-3",GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.53,-0.086,.72,-0.02%,-0.75,,,P,,2021-08-26,121,137,632745
7,17,133 (4),2021-09-02,NYM,,MIA,"W,4-3",GS-6,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.000,.000,.000,.000,9,.98,-0.047,.66,-0.02%,-0.47,,,P,,2021-09-02,121,146,632650
8,18,139 (5),2021-09-07,NYM,@,MIA,"W,9-4",GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.89,-0.045,.82,-0.03%,-0.40,,,P,,2021-09-07,121,146,632572
9,19,144 (4),2021-09-12,NYM,,NYY,"W,7-6",GS-5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,9,1.39,-0.021,1.03,-0.01%,-0.32,,,P,,2021-09-12,121,147,632522
10,20,149 (4),2021-09-18,NYM,,PHI,"L,3-5",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.79,-0.040,.21,-0.01%,-0.33,,,P,,2021-09-18,121,143,632447
11,21,155 (5),2021-09-26,NYM,@,MIL,"L,4-8",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.67,-0.017,.00,0.00%,-0.24,,,P,,2021-09-26,121,158,632328
12,22,161 (5),2021-10-02,NYM,@,ATL,"L,5-6",GS-6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,9,.82,-0.036,.00,0.00%,-0.39,,,P,,2021-10-02,121,144,632262
