Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2022-09-04,BOS,,TEX,"W,5-2",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,6.0,0.4,-0.02,0.04,0.00%,-0.27,3.0,3.0,1B,,2022-09-04,111,140,663213,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2022-09-05,BOS,@,TBR,"L,3-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.25,6.0,1.38,-0.142,0.2,-0.01%,-1.22,0.0,0.0,1B,,2022-09-05,111,139,661852,2022,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.0
3.0,3.0,2022-09-06,BOS,@,TBR,"L,4-8",CG,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.417,0.583,7.0,0.37,0.143,0.03,0.01%,1.49,16.0,22.2,1B,,2022-09-06,111,139,662043,2022,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,2.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,2.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,2.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,2.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,2.0
4.0,4.0,2022-09-07,BOS,@,TBR,"L,0-1",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.188,0.333,0.521,8.0,1.34,-0.003,0.06,0.00%,-0.28,2.0,3.0,1B,,2022-09-07,111,139,662065,2022,0.167,0.167,0.5,0.667,0.0,0.0,1.0,5.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,5.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,5.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,5.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,5.0,5.0
5.0,5.0,2022-09-09,BOS,@,BAL,"L,2-3",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.278,0.478,7.0,1.42,-0.08,0.03,0.00%,-0.56,2.0,3.0,1B,,2022-09-09,111,110,663456,2022,0.133,0.188,0.4,0.588,0.0,0.0,1.0,5.0,6.0,0.133,0.188,0.4,0.588,0.0,0.0,1.0,5.0,6.0,0.133,0.188,0.4,0.588,0.0,0.0,1.0,5.0,6.0,0.091,0.167,0.455,0.621,0.0,0.0,1.0,4.0,6.0,0.133,0.188,0.4,0.588,0.0,0.0,1.0,5.0,6.0
6.0,6.0,2022-09-10,BOS,@,BAL,"W,17-4",9-GF,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.238,0.278,0.516,3.0,0.0,0.0,0.0,0.00%,0.17,4.0,6.2,PH 1B,,2022-09-10,111,110,663455,2022,0.111,0.2,0.333,0.533,0.0,0.0,1.0,5.0,7.0,0.111,0.2,0.333,0.533,0.0,0.0,1.0,5.0,7.0,0.111,0.2,0.333,0.533,0.0,0.0,1.0,5.0,7.0,0.1,0.25,0.5,0.75,0.0,0.0,1.0,4.0,5.0,0.111,0.2,0.333,0.533,0.0,0.0,1.0,5.0,7.0
7.0,7.0,2022-09-11,BOS,@,BAL,"W,1-0",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.095,0.208,0.238,0.446,7.0,0.84,-0.101,0.01,0.00%,-0.99,0.0,0.0,1B,,2022-09-11,111,110,663264,2022,0.111,0.238,0.333,0.571,0.0,0.0,1.0,5.0,7.0,0.111,0.238,0.333,0.571,0.0,0.0,1.0,5.0,7.0,0.071,0.235,0.357,0.592,0.0,0.0,1.0,4.0,7.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,2.0,0.111,0.238,0.333,0.571,0.0,0.0,1.0,5.0,7.0
8.0,8.0,2022-09-13,BOS,,NYY,"L,6-7",CG(10),4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.25,0.375,0.625,7.0,1.19,0.167,0.02,0.00%,1.88,23.0,31.2,1B,,2022-09-13,111,147,663160,2022,0.095,0.208,0.286,0.494,0.0,0.0,1.0,5.0,8.0,0.095,0.208,0.286,0.494,0.0,0.0,1.0,5.0,8.0,0.077,0.25,0.385,0.635,0.0,0.0,1.0,4.0,6.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.095,0.208,0.286,0.494,0.0,0.0,1.0,5.0,8.0
9.0,9.0,2022-09-14,BOS,,NYY,"L,3-5",7-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.233,0.346,0.579,7.0,1.26,-0.064,0.02,0.00%,-0.35,0.0,0.0,PH 1B,,2022-09-14,111,147,663159,2022,0.125,0.25,0.458,0.708,1.0,0.0,2.0,9.0,8.0,0.125,0.25,0.458,0.708,1.0,0.0,2.0,9.0,8.0,0.083,0.312,0.417,0.729,1.0,0.0,1.0,4.0,3.0,0.167,0.375,0.833,1.208,1.0,0.0,1.0,4.0,1.0,0.125,0.25,0.458,0.708,1.0,0.0,2.0,9.0,8.0
10.0,10.0,2022-09-16,BOS,,KCR,"W,2-1",CG,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.265,0.321,0.586,6.0,1.36,0.035,0.0,0.00%,-0.29,4.0,6.0,1B,,2022-09-16,111,118,663209,2022,0.115,0.233,0.423,0.656,1.0,0.0,2.0,9.0,8.0,0.115,0.233,0.423,0.656,1.0,0.0,2.0,9.0,8.0,0.091,0.286,0.455,0.74,1.0,0.0,1.0,4.0,2.0,0.125,0.222,0.625,0.847,1.0,0.0,1.0,4.0,1.0,0.115,0.233,0.423,0.656,1.0,0.0,2.0,9.0,8.0
