Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,949,2021-04-01,CIN,,STL,"L,6-11",CG,5.0,5.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.4,2.0,2,0.59,-0.01,0.64,-0.01%,1.38,0.0,0.0,RF,,2021-04-01,113,138,634636,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,950,2021-04-03,CIN,,STL,"W,9-6",GS-5,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.625,1.143,1.768,2,0.7,0.051,0.71,0.03%,1.18,0.0,0.0,RF,,2021-04-03,113,138,634654,2021,0.6,0.6,1.8,2.4,0.0,0.0,2.0,7.0,0.0,0.6,0.6,1.8,2.4,0.0,0.0,2.0,7.0,0.0,0.6,0.6,1.8,2.4,0.0,0.0,2.0,7.0,0.0
3,951,2021-04-04,CIN,,STL,"W,12-1",GS-8,4.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.583,1.364,1.947,2,1.0,0.344,1.05,0.22%,2.8,0.0,0.0,RF,,2021-04-04,113,138,634560,2021,0.571,0.625,1.429,2.054,0.0,0.0,2.0,8.0,0.0,0.571,0.625,1.429,2.054,0.0,0.0,2.0,8.0,0.0,0.571,0.625,1.429,2.054,0.0,0.0,2.0,8.0,0.0
4,952,2021-04-05,CIN,,PIT,"W,5-3",CG,5.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.588,1.333,1.922,2,1.07,0.209,1.22,0.14%,0.56,0.0,0.0,RF,,2021-04-05,113,134,634558,2021,0.545,0.583,1.727,2.311,0.0,0.0,4.0,15.0,0.0,0.545,0.583,1.727,2.311,0.0,0.0,4.0,15.0,0.0,0.545,0.583,1.727,2.311,0.0,0.0,4.0,15.0,0.0
5,953,2021-04-06,CIN,,PIT,"W,14-1",GS-6,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.524,1.158,1.682,2,0.25,-0.026,0.29,-0.02%,-0.24,0.0,0.0,RF,,2021-04-06,113,134,634530,2021,0.533,0.588,1.667,2.255,0.0,0.0,5.0,20.0,0.0,0.533,0.588,1.667,2.255,0.0,0.0,5.0,20.0,0.0,0.533,0.588,1.667,2.255,0.0,0.0,5.0,20.0,0.0
6,954,2021-04-07,CIN,,PIT,"W,11-4",GS-8,4.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.435,0.48,1.13,1.61,2,0.26,0.065,0.31,0.05%,1.25,0.0,0.0,RF,,2021-04-07,113,134,634570,2021,0.474,0.524,1.474,1.997,0.0,0.0,6.0,22.0,1.0,0.474,0.524,1.474,1.997,0.0,0.0,6.0,22.0,1.0,0.474,0.524,1.474,1.997,0.0,0.0,6.0,22.0,1.0
7,955,2021-04-09,CIN,@,ARI,"W,6-5",CG(10),5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.467,1.0,1.467,2,1.29,0.049,1.41,0.03%,-0.13,0.0,0.0,RF,,2021-04-09,113,109,634540,2021,0.435,0.48,1.435,1.915,0.0,0.0,7.0,26.0,2.0,0.389,0.45,1.333,1.783,0.0,0.0,5.0,19.0,2.0,0.435,0.48,1.435,1.915,0.0,0.0,7.0,26.0,2.0
8,956,2021-04-10,CIN,@,ARI,"L,3-8",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.4,0.848,1.248,2,0.47,-0.063,0.54,-0.04%,-1.25,0.0,0.0,RF,,2021-04-10,113,109,634484,2021,0.429,0.467,1.25,1.717,0.0,0.0,7.0,28.0,4.0,0.381,0.409,1.19,1.6,0.0,0.0,5.0,20.0,4.0,0.429,0.467,1.25,1.717,0.0,0.0,7.0,28.0,4.0
9,957,2021-04-11,CIN,@,ARI,"L,0-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.359,0.757,1.116,2,0.32,-0.032,0.36,-0.02%,-1.07,0.0,0.0,RF,,2021-04-11,113,109,632209,2021,0.364,0.4,1.061,1.461,0.0,0.0,7.0,28.0,4.0,0.273,0.304,0.727,1.032,0.0,0.0,3.0,13.0,4.0,0.364,0.4,1.061,1.461,0.0,0.0,7.0,28.0,4.0
10,958,2021-04-12,CIN,@,SFG,"W,3-0",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.349,0.707,1.056,2,0.45,-0.029,0.49,-0.02%,-0.37,0.0,0.0,RF,,2021-04-12,113,137,634648,2021,0.324,0.359,0.946,1.305,0.0,0.0,7.0,28.0,5.0,0.182,0.182,0.455,0.636,0.0,0.0,2.0,8.0,5.0,0.324,0.359,0.946,1.305,0.0,0.0,7.0,28.0,5.0
