Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2021-04-21,PIT,@,DET,"L,2-5",CG(7),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.79,-0.06,0.69,-0.03%,-0.51,0.0,0.0,3B,2.0,2021-04-21,134,116,634423,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2021-07-06,PIT,,ATL,"W,2-1",9-GF,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,9,2.27,0.074,0.02,0.00%,0.39,0.0,0.0,PH,,2021-07-06,134,144,633384,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,3,2021-07-07,PIT,,ATL,"L,3-14",5-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,9,1.6,-0.041,0.01,0.00%,-0.44,0.0,0.0,PH,,2021-07-07,134,144,633330,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0
4,4,2021-07-09,PIT,@,NYM,"L,4-13",7-GF,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.286,0.667,0.952,9,0.01,0.0,0.0,0.00%,0.57,0.0,0.0,PH 2B,,2021-07-09,134,121,633308,2021,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0
5,5,2021-07-10,PIT,@,NYM,"L,2-4",CG(7),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.444,0.644,6,1.35,-0.1,0.0,0.00%,-0.75,0.0,0.0,2B,2.0,2021-07-10,134,121,633326,2021,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,2.0,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,2.0,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,2.0,0.333,0.5,1.667,2.167,0.0,0.0,1.0,4.0,1.0,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,2.0
6,6,2021-07-11,PIT,@,NYM,"W,6-5",CG,5.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.231,0.333,0.923,1.256,7,1.59,0.187,0.0,0.00%,1.93,0.0,0.0,3B,,2021-07-11,134,121,633325,2021,0.111,0.2,0.556,0.756,0.0,0.0,1.0,4.0,4.0,0.111,0.2,0.556,0.756,0.0,0.0,1.0,4.0,4.0,0.111,0.2,0.556,0.756,0.0,0.0,1.0,4.0,4.0,0.167,0.167,0.833,1.0,0.0,0.0,1.0,4.0,3.0,0.111,0.2,0.556,0.756,0.0,0.0,1.0,4.0,4.0
7,7,2021-07-16,PIT,,NYM,"W,4-1",6-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.313,0.857,1.17,9,0.69,-0.016,0.0,0.00%,-0.3,0.0,0.0,PH,,2021-07-16,134,121,633346,2021,0.231,0.333,1.154,1.487,0.0,0.0,3.0,12.0,4.0,0.231,0.333,1.154,1.487,0.0,0.0,3.0,12.0,4.0,0.3,0.417,1.5,1.917,0.0,0.0,3.0,12.0,3.0,0.333,0.4,1.667,2.067,0.0,0.0,3.0,12.0,2.0,0.231,0.333,1.154,1.487,0.0,0.0,3.0,12.0,4.0
8,8,2021-07-27,PIT,,MIL,"L,0-9",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.263,0.706,0.969,8,0.2,-0.014,0.0,0.00%,-0.95,0.0,0.0,2B,,2021-07-27,134,158,633161,2021,0.214,0.312,1.071,1.384,0.0,0.0,3.0,12.0,5.0,0.214,0.312,1.071,1.384,0.0,0.0,3.0,12.0,5.0,0.273,0.333,1.364,1.697,0.0,0.0,3.0,12.0,4.0,0.25,0.333,1.25,1.583,0.0,0.0,2.0,8.0,3.0,0.214,0.312,1.071,1.384,0.0,0.0,3.0,12.0,5.0
9,9,2021-07-28,PIT,,MIL,"L,3-7",CG,4.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.304,0.952,1.257,7,0.46,-0.03,0.0,0.00%,2.34,0.0,0.0,2B,,2021-07-28,134,158,633113,2021,0.176,0.263,0.882,1.146,0.0,0.0,3.0,12.0,5.0,0.176,0.263,0.882,1.146,0.0,0.0,3.0,12.0,5.0,0.231,0.286,1.154,1.44,0.0,0.0,3.0,12.0,3.0,0.25,0.333,1.25,1.583,0.0,0.0,2.0,8.0,1.0,0.176,0.263,0.882,1.146,0.0,0.0,3.0,12.0,5.0
10,10,2021-07-29,PIT,,MIL,"L,0-12",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.208,0.269,0.833,1.103,5,1.08,-0.079,0.0,0.00%,-1.13,0.0,0.0,2B,,2021-07-29,134,158,633093,2021,0.238,0.304,1.19,1.495,0.0,0.0,5.0,20.0,5.0,0.238,0.304,1.19,1.495,0.0,0.0,5.0,20.0,5.0,0.267,0.312,1.333,1.646,0.0,0.0,4.0,16.0,3.0,0.25,0.25,1.25,1.5,0.0,0.0,2.0,8.0,1.0,0.238,0.304,1.19,1.495,0.0,0.0,5.0,20.0,5.0
11,11,2021-07-30,PIT,,PHI,"W,7-0",CG,5.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.258,0.759,1.017,7,0.32,0.074,0.0,0.00%,-0.38,0.0,0.0,2B,,2021-07-30,134,143,633108,2021,0.208,0.269,1.042,1.311,0.0,0.0,5.0,20.0,5.0,0.208,0.269,1.042,1.311,0.0,0.0,5.0,20.0,5.0,0.267,0.312,1.333,1.646,0.0,0.0,4.0,16.0,1.0,0.2,0.2,1.0,1.2,0.0,0.0,2.0,8.0,0.0,0.208,0.269,1.042,1.311,0.0,0.0,5.0,20.0,5.0
12,12,2021-07-31,PIT,,PHI,"W,3-2",CG,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.265,0.719,0.983,7,0.65,0.013,0.0,0.00%,0.05,0.0,0.0,2B,,2021-07-31,134,143,633076,2021,0.207,0.258,0.966,1.224,0.0,0.0,6.0,22.0,6.0,0.231,0.286,1.077,1.363,0.0,0.0,6.0,22.0,5.0,0.188,0.188,0.812,1.0,0.0,0.0,3.0,10.0,2.0,0.25,0.25,1.083,1.333,0.0,0.0,3.0,10.0,1.0,0.207,0.258,0.966,1.224,0.0,0.0,6.0,22.0,6.0
