Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,138,8 (7),2021-04-10,BOS,@,BAL,"W,6-4",10-10,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,6.09,0.112,7.05,0.08%,0.32,,,PR,,2021-04-10,111,110,634491
2,139,34 (25),2021-05-08,BOS,@,BAL,"W,11-6",CG,6,6,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.167,.167,.667,.833,1,.33,0.141,.45,0.11%,0.60,,,2B,,2021-05-08,111,110,634196
3,140,37 (2),2021-05-11,BOS,,OAK,"L,2-3",CG,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,.97,0.058,1.25,0.05%,0.23,,,1B,,2021-05-11,111,133,634202
4,141,38,2021-05-12,BOS,,OAK,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.231,.231,.462,.692,9,.86,-0.095,1.16,-0.08%,-0.91,,,1B,,2021-05-12,111,133,634154
5,142,39,2021-05-13,BOS,,OAK,"W,8-1",CG,5,5,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,.278,.278,.556,.833,1,.29,0.044,.38,0.03%,-0.55,,,2B,,2021-05-13,111,133,634150
6,143,40,2021-05-14,BOS,,LAA,"W,4-3",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.227,.227,.455,.682,1,.74,-0.080,.94,-0.06%,-1.05,,,2B,,2021-05-14,111,108,634138
7,144,42 (1),2021-05-16,BOS,,LAA,"L,5-6",CG,5,5,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.259,.259,.481,.741,1,2.30,-0.189,2.97,-0.15%,-0.69,,,2B,,2021-05-16,111,108,634100
8,145,45 (2),2021-05-20,BOS,@,TOR,"W,8-7",GS-9,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.290,.516,.806,9,1.26,0.098,1.90,0.09%,0.42,,,2B,,2021-05-20,111,141,634018
9,146,46,2021-05-21,BOS,@,PHI,"W,11-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.290,.290,.516,.806,4,,,,,,,,2B,,2021-05-21,111,143,634054
10,147,47,2021-05-22,BOS,@,PHI,"W,4-3",8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.290,.290,.516,.806,8,,,,,,,,PR,,2021-05-22,111,143,633984
11,148,48,2021-05-23,BOS,@,PHI,"L,2-6",6-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.273,.485,.758,9,.65,-0.033,.85,-0.03%,-0.40,,,PH 2B,,2021-05-23,111,143,634004
12,149,75 (26),2021-06-24,BOS,@,TBR,"L,0-1",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.270,.444,.715,1,1.08,-0.024,2.05,-0.03%,-0.36,,,1B 2B,,2021-06-24,111,139,633517
