Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,62 (61),2021-06-13,CLE,,SEA,"L,2-6",9-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.21,-0.005,0.28,0.00%,-0.25,,,PH,,2021-06-13,114,136,633690
2,2,64 (1),2021-06-15,CLE,,BAL,"W,7-2",CG,4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.2,0.2,0.2,0.4,7,0.64,0.111,0.77,0.08%,0.72,,,2B,,2021-06-15,114,110,633769
3,3,66 (1),2021-06-17,CLE,,BAL,"W,10-3",CG,4,3,1,1,1,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.333,0.375,0.708,9,0.39,0.097,0.5,0.08%,0.95,,,2B,,2021-06-17,114,110,633641
4,4,67,2021-06-18,CLE,@,PIT,"L,10-11",8-GF,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.4,0.444,0.844,3,3.88,0.11,5.17,0.09%,0.39,,,PR 3B,,2021-06-18,114,134,633584
5,5,69 (1),2021-06-20,CLE,@,PIT,"W,2-1",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.308,0.333,0.641,8,1.15,-0.091,1.52,-0.07%,-0.83,,,3B,,2021-06-20,114,134,633550
6,6,71 (1),2021-06-22,CLE,@,CHC,"L,1-7",8-8,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.308,0.357,0.385,0.742,9,0.54,0.025,0.74,0.02%,0.61,,,PH,,2021-06-22,114,112,633537
7,7,74 (2),2021-06-27,CLE,@,MIN,"L,2-8",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.235,0.278,0.294,0.572,9,0.41,-0.042,0.6,-0.04%,-0.94,,,2B,,2021-06-27,114,142,633473
8,8,75,2021-06-28,CLE,,DET,"W,13-5",CG,5,4,3,2,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.286,0.348,0.333,0.681,8,0.28,-0.009,0.4,-0.01%,0.44,,,3B,,2021-06-28,114,116,633466
9,9,77 (1),2021-06-30,CLE,,DET,"L,1-7",CG(7),3,3,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.292,0.346,0.333,0.679,6,0.74,-0.02,1.09,-0.02%,-0.51,,,2B,2.0,2021-06-30,114,116,633506
10,10,78,2021-07-01,CLE,,HOU,"L,2-7",CG,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.259,0.333,0.296,0.63,7,1.2,-0.129,1.69,-0.11%,-2.0,,,SS LF,,2021-07-01,114,117,633469
