Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,31 (30),2022-05-11,MIN,,HOU,"L,3-11",4-GF,3,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,.000,.000,.000,.000,1,.71,-0.046,.87,-0.03%,-0.46,4.00,6.70,LF,,2022-05-11,142,117,661702
2,2,34 (2),2022-05-14,MIN,,CLE,"L,2-3",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,5,,,,,,0.00,0.00,PR,,2022-05-14,142,114,661695
3,3,55 (20),2022-06-04,MIN,@,TOR,"L,3-12",CG,4,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,7,.37,-0.048,.45,-0.03%,-0.50,2.00,3.50,CF,,2022-06-04,142,141,661749
4,4,74 (18),2022-06-26,MIN,,COL,"W,6-3",GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.52,-0.025,.56,-0.02%,-0.38,0.00,0.00,CF,,2022-06-26,142,115,661692
5,5,75,2022-06-27,MIN,@,CLE,"W,11-1",8-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.100,.111,.211,3,.00,0.000,.00,0.00%,1.09,5.00,6.20,LF,,2022-06-27,142,114,663016
6,6,76,2022-06-28,MIN,@,CLE,"L,2-3",7-7,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.100,.111,.211,8,,0.000,,0.00%,0.00,2.00,3.20,PR,1.0,2022-06-28,142,114,663045
7,7,100 (23),2022-07-30,MIN,@,SDP,"W,7-4",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.100,.111,.211,5,,,,,,0.00,0.00,RF,,2022-07-30,142,135,662196
8,8,102 (1),2022-08-01,MIN,,DET,"W,5-3",CG(10),4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.077,.071,.077,.148,9,1.85,-0.207,1.81,-0.12%,-1.23,0.00,0.00,RF,,2022-08-01,142,116,661671
9,9,103,2022-08-02,MIN,,DET,"L,3-5",GS-9,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,.125,.118,.313,.430,9,1.17,0.024,1.12,0.01%,-0.19,14.00,18.70,RF,,2022-08-02,142,116,661661
10,10,104,2022-08-03,MIN,,DET,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.105,.100,.263,.363,9,.68,-0.070,.67,-0.04%,-1.29,0.00,0.00,RF,,2022-08-03,142,116,661664
11,11,105,2022-08-04,MIN,,TOR,"L,3-9",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.095,.091,.238,.329,8,.77,-0.038,.83,-0.03%,-0.38,0.00,0.00,CF,,2022-08-04,142,141,661660
12,12,106,2022-08-05,MIN,,TOR,"W,6-5",CG(10),4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.120,.115,.360,.475,8,.52,0.089,.53,0.06%,0.31,14.00,18.70,CF,,2022-08-05,142,141,661659
13,13,143 (36),2022-09-16,MIN,@,CLE,"L,3-4",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.138,.357,.495,9,.35,-0.019,.27,-0.01%,-0.12,3.00,3.00,RF,,2022-09-16,142,114,662959
14,14,144,2022-09-17,MIN,@,CLE,"L,1-5",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.129,.125,.323,.448,8,.54,-0.042,.26,-0.01%,-0.60,0.00,0.00,CF,1.0,2022-09-17,142,114,663141
15,15,145,2022-09-17,MIN,@,CLE,"L,6-7",8-GF(15),2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.121,.118,.303,.421,5,4.56,-0.246,1.16,-0.04%,-1.19,0.00,0.00,CF,2.0,2022-09-17,142,114,662958
16,16,146,2022-09-18,MIN,@,CLE,"W,3-0",8-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.147,.143,.324,.466,8,.59,0.013,.05,0.00%,0.20,5.00,6.20,RF,,2022-09-18,142,114,662968
17,17,147,2022-09-19,MIN,@,CLE,"L,4-11",6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.139,.314,.453,9,4.39,-0.244,.72,-0.02%,-1.53,0.00,0.00,PH,,2022-09-19,142,114,663044
18,18,148,2022-09-20,MIN,@,KCR,"L,4-5",4-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.135,.132,.297,.429,8,3.48,-0.194,.16,-0.01%,-0.91,0.00,0.00,CF,,2022-09-20,142,118,662634
19,19,149,2022-09-21,MIN,@,KCR,"L,2-5",7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.135,.132,.297,.429,9,,,,,,0.00,0.00,PR,,2022-09-21,142,118,662633
20,20,150,2022-09-22,MIN,@,KCR,"L,1-4",7-GF,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.135,.154,.297,.451,7,.52,0.019,.00,0.00%,0.12,2.00,3.00,PH CF,,2022-09-22,142,118,662632
21,21,151,2022-09-23,MIN,,LAA,"L,2-4",GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.128,.146,.282,.428,8,1.29,-0.063,.00,0.00%,-0.51,0.00,0.00,CF,,2022-09-23,142,108,661668
22,22,154 (2),2022-09-27,MIN,,CHW,"W,4-0",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.119,.136,.262,.398,9,.81,-0.061,.00,0.00%,-0.95,0.00,0.00,CF,,2022-09-27,142,145,661666
23,23,155,2022-09-28,MIN,,CHW,"W,8-4",GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.114,.130,.250,.380,9,.64,-0.035,.00,0.00%,-0.44,0.00,0.00,CF,,2022-09-28,142,145,661133
24,24,156,2022-09-29,MIN,,CHW,"L,3-4",7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.128,.244,.372,5,1.47,-0.041,.00,0.00%,-0.22,0.00,0.00,PH LF,,2022-09-29,142,145,661132
25,25,157,2022-09-30,MIN,@,DET,"W,7-0",CG,5,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.122,.154,.265,.419,9,.44,0.162,.00,0.00%,1.09,18.00,24.90,RF,,2022-09-30,142,116,662771
26,26,158,2022-10-01,MIN,@,DET,"L,2-3",CG,4,4,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.132,.161,.321,.481,9,1.60,-0.016,.00,0.00%,0.26,14.00,18.70,CF RF,,2022-10-01,142,116,662770
27,27,159,2022-10-02,MIN,@,DET,"L,2-5",7-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.130,.158,.315,.473,9,1.73,-0.043,.00,0.00%,-0.22,0.00,0.00,PH CF,,2022-10-02,142,116,662769
28,28,160,2022-10-03,MIN,@,CHW,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.121,.148,.293,.441,9,3.23,-0.323,.00,0.00%,-1.32,0.00,0.00,RF,,2022-10-03,142,145,661464
