Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,2,52 (51),2021-05-30,PIT,,COL,"L,3-4",GS-6,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.000,.000,.000,.000,9,1.62,-0.074,.44,-0.01%,-0.97,,,P,,2021-05-30,134,115,633978
2,3,56 (3),2021-06-04,PIT,,MIA,"W,9-2",2-3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.43,-0.011,.09,0.00%,-0.11,,,PH,,2021-06-04,134,146,633858
3,4,57,2021-06-05,PIT,,MIA,"W,8-7",GS-5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000,.000,9,2.00,-0.029,.46,0.00%,-0.31,,,P,,2021-06-05,134,146,633787
4,5,62 (4),2021-06-11,PIT,@,MIL,"L,4-7",GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.45,-0.078,.22,-0.01%,-0.60,,,P,,2021-06-11,134,158,633768
5,6,67 (4),2021-06-16,PIT,@,WSN,"L,1-3",GS-5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,.600,9,.46,0.025,.01,0.00%,0.22,,,P,,2021-06-16,134,120,633628
6,7,72 (4),2021-06-23,PIT,,CHW,"L,3-4",GS-5,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.286,.429,9,1.38,0.096,.06,0.00%,0.87,,,P,,2021-06-23,134,145,633569
7,8,78 (5),2021-06-29,PIT,@,COL,"L,0-8",GS-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.250,.375,9,.70,-0.018,.02,0.00%,-0.19,,,P,,2021-06-29,134,115,633455
8,9,84 (5),2021-07-05,PIT,,ATL,"W,11-1",GS-5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.125,.125,.250,.375,9,1.78,-0.022,.00,0.00%,-0.21,,,P,,2021-07-05,134,144,633411
9,10,90 (5),2021-07-11,PIT,@,NYM,"W,6-5",GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.100,.200,.300,9,.46,-0.023,.00,0.00%,-0.31,,,P,,2021-07-11,134,121,633325
10,11,94 (3),2021-07-19,PIT,@,ARI,"L,2-4",GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.083,.167,.250,9,2.30,-0.127,.00,0.00%,-1.25,,,P,,2021-07-19,134,109,633243
