Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,21 (20),2021-04-24,MIA,@,SFG,"W,5-2",GS-9,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,7,1.45,-0.104,1.24,-0.05%,-0.82,,,2B,,2021-04-24,146,137,634503
2,2,23 (1),2021-04-26,MIA,@,MIL,"W,8-0",8-GF,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,9,.00,0.001,.00,0.00%,-0.14,,,PH 2B,,2021-04-26,146,158,634461
3,3,24,2021-04-27,MIA,@,MIL,"L,4-5",1-GF,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,1,1.79,-0.135,1.64,-0.07%,-0.95,,,2B,,2021-04-27,146,158,634320
4,4,26 (1),2021-04-30,MIA,@,WSN,"L,1-2",10-GF(10),0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,8,,0.000,,0.00%,0.00,,,PR 2B,,2021-04-30,146,120,634274
5,5,28 (1),2021-05-02,MIA,@,WSN,"L,1-3",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.100,.111,.211,7,.94,-0.028,.89,-0.02%,-0.29,,,SS,,2021-05-02,146,120,634259
6,6,29,2021-05-04,MIA,,ARI,"W,9-3",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.091,.100,.191,9,.39,-0.010,.31,-0.01%,-0.11,,,PH,,2021-05-04,146,109,634245
7,7,30,2021-05-05,MIA,,ARI,"W,8-0",2-3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.167,.182,.348,9,.45,0.017,.39,0.01%,0.26,,,PH,,2021-05-05,146,109,634249
8,8,32 (1),2021-05-07,MIA,,MIL,"W,6-1",6-7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.154,.167,.321,9,.05,-0.001,.05,0.00%,-0.11,,,PH,,2021-05-07,146,158,634195
9,9,48 (15),2021-05-24,MIA,,PHI,"W,9-6",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.143,.154,.297,2,.02,0.000,.02,0.00%,-0.95,,,PH 2B,,2021-05-24,146,143,633976
10,10,50 (1),2021-05-26,MIA,,PHI,"W,4-2",CG,4,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250,.278,.250,.528,8,1.25,0.105,1.39,0.07%,0.99,,,2B SS,,2021-05-26,146,143,633901
11,11,51,2021-05-27,MIA,,PHI,"L,2-3",6-GF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.316,.250,.566,1,1.86,0.070,2.21,0.05%,0.26,,,2B SS,,2021-05-27,146,143,633957
12,12,52,2021-05-28,MIA,@,BOS,"L,2-5",CG(6),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.286,.222,.508,9,.91,-0.046,.85,-0.03%,-0.50,,,SS,,2021-05-28,146,111,634040
13,13,53,2021-05-29,MIA,@,BOS,"L,1-3",CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.227,.280,.273,.553,9,1.58,-0.098,1.32,-0.05%,-0.65,,,SS,,2021-05-29,146,111,633903
14,14,54,2021-06-01,MIA,@,TOR,"L,1-5",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.269,.261,.530,9,1.39,-0.038,1.05,-0.02%,-0.80,,,PH,,2021-06-01,146,141,633857
15,15,55,2021-06-02,MIA,@,TOR,"L,5-6",CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.231,.300,.269,.569,9,.82,0.051,.65,0.02%,0.59,,,2B,,2021-06-02,146,141,633844
16,16,56,2021-06-03,MIA,@,PIT,"L,3-5",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.290,.259,.550,9,1.24,-0.036,.85,-0.02%,-0.23,,,PH,,2021-06-03,146,134,633835
17,17,57,2021-06-04,MIA,@,PIT,"L,2-9",CG,4,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.258,.314,.355,.669,1,1.50,0.127,.99,0.05%,1.31,,,2B,,2021-06-04,146,134,633858
18,18,58,2021-06-05,MIA,@,PIT,"L,7-8",CG(12),6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.216,.268,.297,.566,1,2.12,-0.353,1.42,-0.14%,-1.69,,,2B,,2021-06-05,146,134,633787
19,19,62 (3),2021-06-09,MIA,,COL,"L,3-4",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.216,.268,.297,.566,6,,,,,,,,PR 2B,,2021-06-09,146,115,633738
20,20,63,2021-06-10,MIA,,COL,"W,11-4",CG,4,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.250,.311,.325,.636,7,.19,0.030,.10,0.01%,1.15,,,2B,,2021-06-10,146,115,633748
21,21,66 (2),2021-06-13,MIA,,ATL,"L,4-6",GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.304,.317,.621,7,1.03,-0.029,.68,-0.01%,-0.32,,,2B,,2021-06-13,146,144,633805
