Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,48,30 (29),2021-05-03,SDP,,PIT,"W,2-0",GS-3,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-05-03,135,134,634243
2,49,36 (5),2021-05-11,SDP,@,COL,"W,8-1",3-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.26,-0.033,1.50,-0.02%,-0.27,,,P,,2021-05-11,135,115,634149
3,50,40 (3),2021-05-15,SDP,,STL,"W,13-3",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,4,,,,,,,,P,,2021-05-15,135,138,634143
4,51,45 (4),2021-05-21,SDP,,SEA,"W,16-1",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,5,,,,,,,,P,,2021-05-21,135,136,634019
5,52,48 (2),2021-05-24,SDP,@,MIL,"L,3-5",5-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-05-24,135,158,633992
6,53,51 (2),2021-05-27,SDP,@,MIL,"L,5-6",9-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,6,,,,,,,,P,,2021-05-27,135,158,633937
7,54,57 (5),2021-06-02,SDP,@,CHC,"L,1-6",6-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,6,.92,-0.023,1.24,-0.02%,-0.16,,,P,,2021-06-02,135,112,633855
8,55,62 (4),2021-06-07,SDP,,CHC,"W,9-4",6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-06-07,135,112,633779
9,56,63,2021-06-08,SDP,,CHC,"L,1-7",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,7,,,,,,,,P,,2021-06-08,135,112,633777
10,57,68 (4),2021-06-14,SDP,@,COL,"L,2-3",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-06-14,135,115,633703
11,58,73 (4),2021-06-19,SDP,,CIN,"W,7-5",GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-06-19,135,113,633597
12,59,78 (4),2021-06-25,SDP,,ARI,"W,11-5",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-06-25,135,109,633492
13,60,79,2021-06-26,SDP,,ARI,"L,1-10",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,5,,,,,,,,P,,2021-06-26,135,109,633512
14,61,91 (11),2021-07-09,SDP,,COL,"W,4-2",4-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,9,2.27,-0.113,2.67,-0.08%,-0.75,,,P,,2021-07-09,135,115,633367
15,62,94 (2),2021-07-16,SDP,@,WSN,"W,24-8",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,6,,,,,,,,P,,2021-07-16,135,120,633305
16,63,95,2021-07-17,SDP,@,WSN,"W,10-4",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-07-17,135,120,633267
17,64,109 (13),2021-08-01,SDP,,COL,"W,8-1",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,1,,,,,,,,P,,2021-08-01,135,115,633084
18,65,116 (6),2021-08-10,SDP,,MIA,"W,6-5",3-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-10,135,146,632976
19,66,117,2021-08-11,SDP,,MIA,"L,0-7",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-11,135,146,632959
20,67,120 (2),2021-08-14,SDP,@,ARI,"L,0-7",7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-14,135,109,632877
21,68,122 (1),2021-08-16,SDP,@,COL,"L,5-6",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-16,135,115,632813
22,69,123,2021-08-17,SDP,@,COL,"L,3-7",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-17,135,115,632851
23,70,127 (3),2021-08-22,SDP,,PHI,"L,4-7",5-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-08-22,135,143,632830
