Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2023-04-24,COL,@,CLE,"W,6-0",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,8,0.8,0.028,0.34,0.01%,-0.08,4.0,6.2,CF,,2023-04-24,115,114,718448,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2023-04-25,COL,@,CLE,"W,5-1",CG,4.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.429,0.5,0.571,1.071,8,0.42,0.059,0.19,0.02%,1.4,25.0,30.7,CF,,2023-04-25,115,114,718440,2023,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0
3,3,2023-04-26,COL,@,CLE,"L,1-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.333,0.364,0.697,7,0.76,-0.078,0.39,-0.02%,-0.8,0.0,0.0,CF,,2023-04-26,115,114,718421,2023,0.429,0.5,0.714,1.214,2.0,0.0,1.0,4.0,2.0,0.429,0.5,0.714,1.214,2.0,0.0,1.0,4.0,2.0,0.429,0.5,0.714,1.214,2.0,0.0,1.0,4.0,2.0
4,4,2023-04-28,COL,,ARI,"L,1-9",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.267,0.286,0.552,8,0.93,-0.078,0.44,-0.02%,-0.75,0.0,0.0,CF,,2023-04-28,115,109,718390,2023,0.273,0.333,0.455,0.788,2.0,0.0,1.0,4.0,4.0,0.273,0.333,0.455,0.788,2.0,0.0,1.0,4.0,4.0,0.273,0.333,0.455,0.788,2.0,0.0,1.0,4.0,4.0
5,5,2023-04-29,COL,,ARI,"L,4-11",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.176,0.263,0.235,0.498,7,0.39,-0.014,0.17,0.00%,-0.33,9.0,12.5,CF,,2023-04-29,115,109,718366,2023,0.214,0.267,0.357,0.624,2.0,0.0,1.0,4.0,6.0,0.214,0.267,0.357,0.624,2.0,0.0,1.0,4.0,6.0,0.214,0.267,0.357,0.624,2.0,0.0,1.0,4.0,6.0
6,6,2023-04-30,COL,,ARI,"W,12-4",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.263,0.235,0.498,7,,,,,,0.0,0.0,CF,,2023-04-30,115,109,718358,2023,0.176,0.263,0.294,0.557,3.0,0.0,1.0,4.0,6.0,0.176,0.263,0.294,0.557,3.0,0.0,1.0,4.0,6.0,0.176,0.263,0.294,0.557,3.0,0.0,1.0,4.0,6.0
7,7,2023-05-02,COL,,MIL,"W,3-2",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.227,0.2,0.427,8,0.84,-0.079,0.31,-0.02%,-1.0,0.0,0.0,CF,,2023-05-02,115,158,718334,2023,0.176,0.263,0.294,0.557,3.0,0.0,1.0,4.0,6.0,0.214,0.267,0.357,0.624,3.0,0.0,1.0,4.0,5.0,0.176,0.263,0.294,0.557,3.0,0.0,1.0,4.0,6.0
8,8,2023-05-04,COL,,MIL,"W,9-6",CG,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.174,0.269,0.217,0.487,8,1.56,0.117,0.72,0.03%,1.07,14.0,18.4,CF,,2023-05-04,115,158,718313,2023,0.15,0.227,0.25,0.477,3.0,0.0,1.0,4.0,8.0,0.0,0.071,0.0,0.071,1.0,0.0,0.0,0.0,6.0,0.15,0.227,0.25,0.477,3.0,0.0,1.0,4.0,8.0
9,9,2023-05-05,COL,@,NYM,"L,0-1",8-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.269,0.217,0.487,5,,,,,,0.0,0.0,PR,,2023-05-05,115,121,718302,2023,0.174,0.269,0.261,0.53,4.0,0.0,1.0,5.0,8.0,0.083,0.214,0.083,0.298,2.0,0.0,0.0,1.0,4.0,0.174,0.269,0.261,0.53,4.0,0.0,1.0,5.0,8.0
10,10,2023-05-06,COL,@,NYM,"W,5-2",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.267,0.222,0.489,9,0.89,-0.009,0.44,0.00%,-0.72,3.0,3.0,CF,,2023-05-06,115,121,718290,2023,0.174,0.269,0.261,0.53,4.0,0.0,1.0,5.0,8.0,0.111,0.273,0.111,0.384,2.0,0.0,0.0,1.0,2.0,0.174,0.269,0.261,0.53,4.0,0.0,1.0,5.0,8.0
