Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,30 (29),2023-05-02,MIA,,ATL,"L,0-6",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.11,-0.003,.13,0.00%,-0.37,0.00,0.00,PH,,2023-05-02,146,144,718346
2,2,31,2023-05-03,MIA,,ATL,"L,6-14",7-GF,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,4,.02,0.001,.02,0.00%,0.16,5.00,6.20,2B,,2023-05-03,146,144,718321
3,3,34 (2),2023-05-06,MIA,@,CHC,"L,2-4",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.167,.333,9,.84,-0.066,.74,-0.04%,-0.75,0.00,0.00,2B,,2023-05-06,146,112,718289
4,4,44 (9),2023-05-18,MIA,,WSN,"W,5-3",GS-8,3,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.333,.333,.444,.778,9,1.06,0.136,1.05,0.08%,1.31,17.00,21.70,CF,,2023-05-18,146,120,718130
5,5,46 (1),2023-05-20,MIA,@,SFG,"W,1-0",GS-8,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.273,.273,.364,.636,9,1.82,-0.091,1.83,-0.06%,-0.77,0.00,0.00,CF,,2023-05-20,146,137,718103
6,6,47,2023-05-21,MIA,@,SFG,"L,5-7",CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.400,.733,9,.99,0.053,1.09,0.04%,0.19,8.00,9.20,2B CF,,2023-05-21,146,137,718078
7,7,50 (2),2023-05-24,MIA,@,COL,"W,10-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.400,.733,2,,,,,,0.00,0.00,2B,,2023-05-24,146,115,718036
8,8,51,2023-05-25,MIA,@,COL,"L,6-7",CG,4,4,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.368,.368,.421,.789,9,1.44,-0.024,1.47,-0.02%,-0.04,10.00,12.70,2B,,2023-05-25,146,115,718033
9,9,53 (1),2023-05-27,MIA,@,LAA,"W,8-5",GS-5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.381,.381,.429,.810,9,1.50,0.021,1.47,0.01%,0.07,3.00,3.00,CF,,2023-05-27,146,108,717998
10,10,135 (81),2023-09-01,MIA,@,WSN,"W,8-5",10-10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.364,.409,.773,9,3.94,0.133,2.67,0.05%,0.72,2.00,3.20,PH,,2023-09-01,146,120,716771
