Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,135 (134),2021-09-02,CHC,,PIT,"W,6-5",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9.0,,,,,,,,P,,2021-09-02,112,134,632646
2.0,2.0,137 (1),2021-09-04,CHC,,PIT,"W,7-6",9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9.0,,,,,,,,P,,2021-09-04,112,134,632624
3.0,3.0,139 (1),2021-09-06,CHC,,CIN,"W,4-3",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9.0,,,,,,,,P,,2021-09-06,112,113,632597
4.0,4.0,143 (3),2021-09-11,CHC,,SFG,"L,4-15",8-GF,1,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,,0.0,,,9.0,0.0,0.0,0.0,0.00%,-0.05,,,P,,2021-09-11,112,137,632547
5.0,5.0,145 (1),2021-09-14,CHC,@,PHI,"W,6-3",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-14,112,143,632495
6.0,6.0,146,2021-09-15,CHC,@,PHI,"L,5-6",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-15,112,143,632486
7.0,7.0,149 (2),2021-09-18,CHC,@,MIL,"L,4-6",8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-18,112,158,632425
8.0,8.0,151 (1),2021-09-21,CHC,,MIN,"L,5-9",5-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-21,112,142,632404
9.0,9.0,154 (2),2021-09-24,CHC,,STL,"L,4-12",4-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,2.0,2021-09-24,112,138,633337
10.0,10.0,155,2021-09-25,CHC,,STL,"L,5-8",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-25,112,138,632351
11.0,11.0,156,2021-09-26,CHC,,STL,"L,2-4",7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-26,112,138,632332
12.0,12.0,158 (1),2021-09-29,CHC,@,PIT,"W,3-2",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-09-29,112,134,632287
13.0,13.0,160 (1),2021-10-01,CHC,@,STL,"L,3-4",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0.0,,,9.0,,,,,,,,P,,2021-10-01,112,138,632266
