Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2021-07-30,ARI,,LAD,"W,6-5",6-7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,9,0.83,0.032,0.0,0.00%,0.39,0.0,0.0,PH,,2021-07-30,109,119,633102,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2021-07-31,ARI,,LAD,"L,3-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2,0.4,5,0.87,-0.122,0.0,0.00%,-1.03,0.0,0.0,3B,,2021-07-31,109,119,633099,2021,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
3,3,2021-08-01,ARI,,LAD,"L,0-13",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.111,0.222,3,0.45,-0.044,0.0,0.00%,-0.86,0.0,0.0,3B,,2021-08-01,109,119,633101,2021,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0
4,4,2021-08-02,ARI,,SFG,"L,8-11",7-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5,4.2,-0.028,0.0,0.00%,0.03,0.0,0.0,PH,,2021-08-02,109,137,633077,2021,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,5.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,5.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,5.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,5.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,5.0
5,5,2021-08-04,ARI,,SFG,"L,1-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.143,4,1.18,-0.113,0.0,0.00%,-1.05,0.0,0.0,3B,,2021-08-04,109,137,633046,2021,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,5.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,5.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,5.0
6,6,2021-08-05,ARI,,SFG,"L,4-5",CG(10),5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.105,0.105,0.211,6,1.67,-0.185,0.0,0.00%,-0.55,0.0,0.0,3B,,2021-08-05,109,137,633042,2021,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,6.0
7,7,2021-08-07,ARI,@,SDP,"L,2-6",9-GF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.15,0.105,0.255,2,0.32,0.017,0.0,0.00%,0.38,0.0,0.0,PH,,2021-08-07,109,135,632988,2021,0.105,0.105,0.105,0.211,0.0,0.0,0.0,2.0,8.0,0.105,0.105,0.105,0.211,0.0,0.0,0.0,2.0,8.0,0.056,0.056,0.056,0.111,0.0,0.0,0.0,1.0,8.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0,0.105,0.105,0.105,0.211,0.0,0.0,0.0,2.0,8.0
8,8,2021-08-08,ARI,@,SDP,"L,0-2",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.167,0.091,0.258,6,0.92,-0.035,0.0,0.00%,-0.38,0.0,0.0,3B,,2021-08-08,109,135,633051,2021,0.105,0.15,0.105,0.255,0.0,0.0,0.0,2.0,8.0,0.105,0.15,0.105,0.255,0.0,0.0,0.0,2.0,8.0,0.071,0.133,0.071,0.205,0.0,0.0,0.0,1.0,6.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.105,0.15,0.105,0.255,0.0,0.0,0.0,2.0,8.0
9,9,2021-08-11,ARI,@,SFG,"L,2-7",2-7,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.185,0.083,0.269,4,1.51,-0.076,0.0,0.00%,-0.86,0.0,0.0,PR 3B,,2021-08-11,109,137,632951,2021,0.091,0.167,0.091,0.258,0.0,0.0,0.0,2.0,10.0,0.091,0.167,0.091,0.258,0.0,0.0,0.0,2.0,10.0,0.077,0.2,0.077,0.277,0.0,0.0,0.0,1.0,5.0,0.125,0.3,0.125,0.425,0.0,0.0,0.0,1.0,4.0,0.091,0.167,0.091,0.258,0.0,0.0,0.0,2.0,10.0
10,10,2021-08-12,ARI,,SDP,"W,12-3",CG,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.25,0.111,0.361,8,0.18,0.004,0.0,0.00%,0.57,0.0,0.0,3B,,2021-08-12,109,135,632914,2021,0.083,0.185,0.083,0.269,0.0,0.0,0.0,2.0,11.0,0.083,0.185,0.083,0.269,0.0,0.0,0.0,2.0,11.0,0.071,0.235,0.071,0.307,0.0,0.0,0.0,1.0,6.0,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.0,3.0,0.083,0.185,0.083,0.269,0.0,0.0,0.0,2.0,11.0
