Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,366,59 (58),2021-06-06,CHW,,DET,"W,3-0",CG,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.333,.000,.333,8,.61,-0.020,.89,-0.02%,0.02,,,CF,,2021-06-06,145,116,633774
2,367,60,2021-06-08,CHW,,TOR,"W,6-1",GS-8,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.000,.333,.000,.333,8,1.01,-0.010,1.42,-0.01%,-0.15,,,CF,,2021-06-08,145,141,633788
3,368,61,2021-06-09,CHW,,TOR,"L,2-6",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.286,.000,.286,6,.98,-0.023,1.33,-0.02%,-0.37,,,PH,,2021-06-09,145,141,633783
4,369,62,2021-06-10,CHW,,TOR,"W,5-2",CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.125,.300,.500,.800,8,.39,0.093,.54,0.08%,0.59,,,CF,,2021-06-10,145,141,633733
5,370,63,2021-06-11,CHW,@,DET,"W,5-4",CG(10),4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,.250,.357,.750,1.107,6,1.09,0.068,1.46,0.06%,0.40,,,CF,,2021-06-11,145,116,633789
6,371,65 (1),2021-06-13,CHW,@,DET,"W,4-1",CG,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.368,.625,.993,7,.63,0.010,.78,0.01%,0.27,,,CF,,2021-06-13,145,116,633688
7,372,67 (1),2021-06-15,CHW,,TBR,"W,3-0",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.250,.348,.700,1.048,2,.98,0.009,1.19,0.01%,0.04,,,CF,,2021-06-15,145,139,633676
8,373,69 (1),2021-06-17,CHW,@,HOU,"L,2-10",CG,4,4,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.250,.333,.625,.958,2,.43,-0.031,.51,-0.02%,0.34,,,CF,,2021-06-17,145,117,633687
9,374,70,2021-06-18,CHW,@,HOU,"L,1-2",8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.240,.321,.600,.921,7,2.35,-0.061,2.92,-0.05%,-0.25,,,LF,,2021-06-18,145,117,633702
10,375,71,2021-06-19,CHW,@,HOU,"L,3-7",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.313,.552,.864,2,.40,-0.014,.51,-0.01%,-0.26,,,CF,,2021-06-19,145,117,633576
