Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1438,81 (80),2021-07-03,WSN,,LAD,"L,3-5",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.250,.500,7,2.18,-0.083,2.26,-0.05%,-0.55,,,SS,,2021-07-03,120,119,633430
2,1439,82,2021-07-04,WSN,,LAD,"L,1-5",CG,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.625,1.125,6,.70,0.064,.66,0.04%,0.62,,,SS,,2021-07-04,120,119,633398
3,1440,83,2021-07-05,WSN,@,SDP,"W,7-5",CG,5,4,1,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,.583,.583,.750,1.333,1,1.10,0.204,.94,0.10%,2.01,,,2B,,2021-07-05,120,135,633378
4,1441,84,2021-07-06,WSN,@,SDP,"L,4-7",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.438,.471,.563,1.033,1,.80,0.004,.80,0.00%,-0.19,,,2B,,2021-07-06,120,135,633396
5,1442,85,2021-07-07,WSN,@,SDP,"W,15-5",CG,6,5,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.381,.435,.476,.911,1,.19,0.043,.16,0.02%,-0.41,,,2B SS,,2021-07-07,120,135,633362
6,1443,86,2021-07-08,WSN,@,SDP,"L,8-9",CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.346,.393,.423,.816,1,.95,-0.111,.95,-0.07%,-0.57,,,2B,,2021-07-08,120,135,633343
7,1444,87,2021-07-09,WSN,@,SFG,"L,3-5",CG,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.300,.344,.367,.710,1,1.32,-0.161,1.12,-0.08%,-1.24,,,2B,,2021-07-09,120,137,633322
8,1445,88,2021-07-10,WSN,@,SFG,"L,4-10",CG,5,5,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,.314,.351,.457,.808,1,.29,-0.033,.21,-0.01%,2.32,,,2B,,2021-07-10,120,137,633294
9,1446,89,2021-07-11,WSN,@,SFG,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.282,.317,.410,.727,1,.70,-0.070,.44,-0.03%,-0.66,,,2B,,2021-07-11,120,137,633279
10,1447,90,2021-07-16,WSN,,SDP,"L,8-24",CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.304,.386,.691,1,.19,0.031,.11,0.01%,-0.87,,,2B SS,,2021-07-16,120,135,633305
11,1448,91,2021-07-17,WSN,,SDP,"L,4-10",CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.314,.388,.701,1,.89,-0.022,.49,-0.01%,0.15,,,2B,,2021-07-17,120,135,633267
12,1449,92,2021-07-18,WSN,,SDP,"W,8-7",CG,6,5,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.296,.333,.444,.778,1,1.49,0.379,.74,0.11%,1.69,,,2B,,2021-07-18,120,135,633267
