Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,983,2021-04-01,ARI,@,SDP,"L,7-8",CG,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.93,-0.065,1.01,-0.04%,-0.67,0.0,0.0,2B,,2021-04-01,109,135,634618,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,984,2021-04-02,ARI,@,SDP,"L,2-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.32,-0.135,1.37,-0.08%,-1.17,0.0,0.0,2B,,2021-04-02,109,135,634576,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,985,2021-04-03,ARI,@,SDP,"L,0-7",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.48,-0.034,0.46,-0.02%,-0.6,0.0,0.0,2B 3B,,2021-04-03,109,135,634623,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,986,2021-04-06,ARI,@,COL,"W,10-8",CG(13),6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.059,0.059,0.118,6,1.61,-0.259,1.49,-0.14%,-1.86,0.0,0.0,2B,,2021-04-06,109,115,634619,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5,987,2021-04-07,ARI,@,COL,"L,0-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.048,0.048,0.095,6,0.56,-0.064,0.54,-0.04%,-1.45,0.0,0.0,2B,,2021-04-07,109,115,634542,2021,0.059,0.059,0.059,0.118,0.0,0.0,0.0,1.0,8.0,0.059,0.059,0.059,0.118,0.0,0.0,0.0,1.0,8.0,0.059,0.059,0.059,0.118,0.0,0.0,0.0,1.0,8.0
6,988,2021-04-08,ARI,@,COL,"L,3-7",CG,4.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.087,0.16,0.217,0.377,6,0.5,0.043,0.5,0.03%,1.87,0.0,0.0,3B,,2021-04-08,109,115,634564,2021,0.048,0.048,0.048,0.095,0.0,0.0,0.0,1.0,8.0,0.048,0.048,0.048,0.095,0.0,0.0,0.0,1.0,8.0,0.048,0.048,0.048,0.095,0.0,0.0,0.0,1.0,8.0
7,989,2021-04-09,ARI,,CIN,"L,5-6",CG(10),5.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.2,0.393,0.593,6,2.16,0.193,1.83,0.10%,1.34,0.0,0.0,2B,,2021-04-09,109,113,634540,2021,0.087,0.16,0.261,0.421,1.0,0.0,1.0,5.0,8.0,0.105,0.19,0.316,0.506,1.0,0.0,1.0,5.0,6.0,0.087,0.16,0.261,0.421,1.0,0.0,1.0,5.0,8.0
8,990,2021-04-10,ARI,,CIN,"W,8-3",CG,4.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.235,0.5,0.735,6,1.43,0.054,1.1,0.03%,1.47,0.0,0.0,2B,,2021-04-10,109,113,634484,2021,0.143,0.2,0.5,0.7,1.0,0.0,3.0,11.0,10.0,0.2,0.273,0.7,0.973,1.0,0.0,3.0,11.0,6.0,0.143,0.2,0.5,0.7,1.0,0.0,3.0,11.0,10.0
9,991,2021-04-11,ARI,,CIN,"W,7-0",CG,5.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.256,0.595,0.851,5,0.28,0.077,0.22,0.04%,0.81,0.0,0.0,3B,,2021-04-11,109,113,632209,2021,0.188,0.235,0.625,0.86,1.0,0.0,4.0,16.0,10.0,0.286,0.348,0.952,1.3,1.0,0.0,4.0,16.0,5.0,0.188,0.235,0.625,0.86,1.0,0.0,4.0,16.0,10.0
10,992,2021-04-12,ARI,,OAK,"L,5-9",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.233,0.537,0.769,6,1.12,-0.123,0.87,-0.06%,-1.05,0.0,0.0,2B 3B,,2021-04-12,109,133,632231,2021,0.216,0.256,0.757,1.013,1.0,0.0,6.0,22.0,11.0,0.35,0.409,1.35,1.759,1.0,0.0,6.0,21.0,3.0,0.216,0.256,0.757,1.013,1.0,0.0,6.0,22.0,11.0
