Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,2,50 (49),2021-05-27,NYY,,TOR,"W,5-3",CG(7),3,3,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.333,0.333,0.667,1.0,8,0.37,-0.029,0.51,-0.02%,-0.46,,,CF,2.0,2021-05-27,147,141,633910
2,3,93 (42),2021-07-20,NYY,,PHI,"W,6-4",CG,4,3,1,1,0,0,1,2,1,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.429,1.0,1.429,8,1.12,0.032,0.79,0.01%,1.31,,,CF,,2021-07-20,147,143,633216
3,4,94,2021-07-21,NYY,,PHI,"W,6-5",CG(10),4,3,1,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,1,0,0.333,0.455,0.778,1.232,9,1.66,-0.042,1.37,-0.02%,-0.31,,,CF,,2021-07-21,147,143,633213
4,5,95,2021-07-22,NYY,@,BOS,"L,4-5",CG(10),4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.4,0.583,0.983,8,0.64,-0.072,0.68,-0.05%,-0.8,,,CF,,2021-07-22,147,111,633193
5,6,96,2021-07-23,NYY,@,BOS,"L,2-6",7-GF,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.214,0.353,0.5,0.853,8,0.89,-0.048,0.79,-0.03%,-0.73,,,PH CF,,2021-07-23,147,111,633181
6,7,97,2021-07-24,NYY,@,BOS,"W,4-3",CG,4,3,1,2,1,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.294,0.429,0.588,1.017,8,0.76,0.113,0.56,0.05%,1.31,,,CF,,2021-07-24,147,111,633154
7,8,100 (2),2021-07-28,NYY,@,TBR,"W,3-1",GS-5,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.278,0.409,0.556,0.965,9,0.72,-0.018,0.64,-0.01%,-0.16,,,CF,,2021-07-28,147,139,633122
8,9,101,2021-07-29,NYY,@,TBR,"L,0-14",CG,3,2,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.3,0.44,0.55,0.99,9,0.47,-0.022,0.48,-0.01%,0.07,,,CF,,2021-07-29,147,139,633104
9,10,124 (22),2021-08-21,NYY,,MIN,"W,7-1",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.3,0.44,0.55,0.99,4,,,,,,,,PR CF,,2021-08-21,147,142,632821
10,11,150 (25),2021-09-19,NYY,,CLE,"L,1-11",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.3,0.44,0.55,0.99,3,,,,,,,,CF,,2021-09-19,147,114,632380
