Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,51,6 (5),2021-04-07,SFG,@,SDP,"W,3-2",GS-8,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.26,-0.094,1.33,-0.06%,-1.19,,,P,,2021-04-07,137,135,634563
2,52,11 (4),2021-04-13,SFG,,CIN,"W,7-6",GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.04,-0.052,1.07,-0.03%,-0.40,,,P,,2021-04-13,137,113,634510
3,53,16 (4),2021-04-19,SFG,@,PHI,"W,2-0",GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.21,-0.070,1.24,-0.04%,-0.71,,,P,,2021-04-19,137,143,634457
4,54,21 (4),2021-04-24,SFG,,MIA,"L,2-5",GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.78,-0.039,.90,-0.03%,-0.40,,,P,,2021-04-24,137,146,634503
5,55,28 (6),2021-05-02,SFG,@,SDP,"W,7-1",GS-7,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.100,.100,.100,.200,9,1.11,0.086,1.53,0.07%,0.98,,,P,,2021-05-02,137,135,634301
6,56,33 (4),2021-05-08,SFG,,SDP,"W,7-1",GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.083,.083,.083,.167,9,.58,-0.028,.87,-0.03%,-0.59,,,P,,2021-05-08,137,135,634178
7,57,38 (4),2021-05-14,SFG,@,PIT,"L,2-3",GS-9,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.133,.133,.133,.267,9,.64,-0.023,.82,-0.02%,-0.14,,,P,,2021-05-14,137,134,634108
8,58,43 (4),2021-05-19,SFG,@,CIN,"W,4-0",GS-7,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.176,.176,.176,.353,9,.73,0.008,.97,0.01%,0.09,,,P,,2021-05-19,137,113,634061
9,59,48 (4),2021-05-25,SFG,@,ARI,"W,8-0",GS-6,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.167,.167,.167,.333,9,.31,-0.012,.39,-0.01%,-0.37,,,P,,2021-05-25,137,109,633979
10,60,53 (4),2021-05-30,SFG,@,LAD,"W,5-4",GS-7,3,3,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.190,.190,.190,.381,9,.47,0.026,.71,0.02%,0.33,,,P,,2021-05-30,137,119,633923
11,61,58 (4),2021-06-05,SFG,,CHC,"W,4-3",GS-8,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.174,.174,.174,.348,9,1.38,-0.079,1.81,-0.06%,-0.91,,,P,,2021-06-05,137,112,633886
12,62,63 (4),2021-06-12,SFG,@,WSN,"L,0-2",GS-5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.208,.208,.417,9,1.27,0.053,1.57,0.04%,0.38,,,P,1.0,2021-06-12,137,120,633745
13,63,69 (5),2021-06-17,SFG,,ARI,"W,10-3",GS-8,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.192,.192,.192,.385,9,.29,-0.017,.33,-0.01%,-0.71,,,P,,2021-06-17,137,109,633622
