Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,50,1,2021-04-01,CLE,@,DET,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9,1.44,-0.138,1.55,-0.09%,-1.05,,,SS,,2021-04-01,114,116,634645
2,51,2,2021-04-03,CLE,@,DET,"L,2-5",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.125,0.125,0.125,0.25,9,0.9,0.019,0.92,0.01%,0.24,,,SS,,2021-04-03,114,116,634573
3,52,3,2021-04-04,CLE,@,DET,"W,9-3",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.125,0.125,0.125,0.25,6,,,,,,,,SS,,2021-04-04,114,116,634611
4,53,5 (1),2021-04-07,CLE,,KCR,"W,4-2",CG,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.182,0.182,0.182,0.364,9,2.01,-0.095,1.87,-0.05%,-0.86,,,SS,,2021-04-07,114,118,634589
5,54,6,2021-04-09,CLE,,DET,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.143,0.143,0.143,0.286,9,0.31,-0.023,0.31,-0.01%,-0.58,,,SS,,2021-04-09,114,116,634505
6,55,7,2021-04-10,CLE,,DET,"W,11-3",CG,4,3,2,1,0,0,1,2,1,0.0,1,0,0,0.0,0,0.0,0,0,0.176,0.222,0.353,0.575,9,0.34,-0.031,0.36,-0.02%,1.17,,,SS,,2021-04-10,114,116,632218
7,56,8,2021-04-11,CLE,,DET,"W,5-2",CG,4,4,1,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.19,0.227,0.381,0.608,1,0.84,0.007,0.92,0.01%,-0.03,,,SS,,2021-04-11,114,116,632228
8,57,10 (1),2021-04-13,CLE,@,CHW,"W,2-0",GS-10,3,2,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0,0.0,0,0,0.174,0.208,0.348,0.556,9,1.62,-0.079,1.89,-0.06%,-0.64,,,SS,,2021-04-13,114,145,632199
9,58,12 (1),2021-04-15,CLE,@,CHW,"W,4-2",CG,4,4,1,1,1,0,0,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.185,0.214,0.37,0.585,9,1.16,0.074,1.4,0.05%,0.02,,,SS,,2021-04-15,114,145,634501
10,59,13,2021-04-16,CLE,@,CIN,"L,3-10",CG,5,4,1,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,1,0,0.194,0.242,0.355,0.597,1,0.76,0.009,0.82,0.01%,-0.27,,,SS,,2021-04-16,114,113,634482
11,60,14,2021-04-17,CLE,@,CIN,"L,2-3",CG(10),4,3,1,2,1,0,1,1,0,0.0,1,1,0,0.0,0,0.0,1,0,0.235,0.297,0.5,0.797,7,0.82,0.174,0.82,0.10%,1.7,,,SS,,2021-04-17,114,113,634460
12,61,15,2021-04-18,CLE,@,CIN,"W,6-3",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.235,0.297,0.5,0.797,4,,,,,,,,SS,,2021-04-18,114,113,634487
13,62,17 (1),2021-04-22,CLE,,NYY,"L,3-6",GS-9,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,0.243,0.3,0.486,0.786,9,0.67,-0.005,0.68,0.00%,0.35,,,SS,,2021-04-22,114,147,634436
14,63,18,2021-04-23,CLE,,NYY,"L,3-5",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.225,0.279,0.45,0.729,9,1.16,-0.089,1.14,-0.05%,-0.66,,,SS,,2021-04-23,114,147,634437
15,64,19,2021-04-24,CLE,,NYY,"L,1-2",GS-8,2,2,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.214,0.267,0.429,0.695,9,1.0,-0.055,0.93,-0.03%,-0.48,,,SS,,2021-04-24,114,147,634486
16,65,20,2021-04-25,CLE,,NYY,"W,7-3",CG,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.2,0.25,0.4,0.65,8,0.62,-0.049,0.53,-0.03%,-0.72,,,SS,,2021-04-25,114,147,634372
17,66,21,2021-04-26,CLE,,MIN,"W,5-3",CG(10),4,4,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.204,0.25,0.408,0.658,8,2.23,0.055,2.12,0.03%,-0.32,,,SS,,2021-04-26,114,142,634394
18,67,22,2021-04-27,CLE,,MIN,"W,7-4",CG,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.192,0.25,0.385,0.635,9,0.91,-0.052,0.94,-0.03%,-0.4,,,SS,,2021-04-27,114,142,634339
19,68,24 (1),2021-04-30,CLE,@,CHW,"W,5-3",CG,3,3,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.254,0.382,0.636,9,0.64,-0.002,0.69,0.00%,-0.01,,,SS,,2021-04-30,114,145,634288
20,69,25,2021-05-01,CLE,@,CHW,"L,3-7",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.19,0.242,0.362,0.604,8,0.47,-0.036,0.54,-0.03%,-0.67,,,SS,,2021-05-01,114,145,634326
21,70,26,2021-05-02,CLE,@,CHW,"W,5-0",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.177,0.227,0.339,0.566,8,0.8,-0.077,0.89,-0.05%,-1.15,,,SS,,2021-05-02,114,145,634302
22,71,27,2021-05-03,CLE,@,KCR,"W,8-6",7-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.175,0.224,0.333,0.557,5,0.38,-0.016,0.49,-0.01%,-0.46,,,SS,,2021-05-03,114,118,634258
23,72,28,2021-05-04,CLE,@,KCR,"W,7-3",8-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.172,0.221,0.328,0.549,2,0.07,-0.002,0.09,0.00%,-0.25,,,SS,,2021-05-04,114,118,634277
24,73,29,2021-05-05,CLE,@,KCR,"W,5-4",CG,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.176,0.222,0.324,0.546,8,1.14,-0.073,1.54,-0.06%,-0.53,,,SS,,2021-05-05,114,118,634226
25,74,32 (2),2021-05-08,CLE,,CIN,"W,9-2",CG,4,3,1,1,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,0.183,0.224,0.324,0.548,9,0.67,0.046,0.77,0.03%,0.79,,,SS,,2021-05-08,114,113,634187
26,75,33,2021-05-11,CLE,,CHC,"W,3-2",CG,3,2,1,0,0,0,0,0,0,0.0,1,1,0,0.0,0,0.0,1,0,0.178,0.228,0.315,0.543,8,1.12,-0.006,1.31,0.00%,-0.2,,,SS,,2021-05-11,114,112,634189
27,76,34,2021-05-12,CLE,,CHC,"W,2-1",GS-10,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.171,0.22,0.303,0.522,9,1.07,-0.083,1.33,-0.06%,-0.65,,,SS,,2021-05-12,114,112,634129
28,77,36 (1),2021-05-14,CLE,@,SEA,"L,3-7",9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.171,0.22,0.303,0.522,4,,0.0,,0.00%,0.0,,,PR,,2021-05-14,114,136,634110
29,78,38 (1),2021-05-16,CLE,@,SEA,"L,2-3",GS-7,2,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.179,0.226,0.308,0.534,9,0.74,0.003,0.99,0.00%,0.05,,,SS,,2021-05-16,114,136,634087
30,79,109 (70),2021-08-08,CLE,,DET,"W,7-5",CG,4,3,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,0.173,0.216,0.296,0.512,7,1.03,-0.08,0.34,-0.02%,-0.76,,,SS,,2021-08-08,114,116,632991
31,80,110,2021-08-09,CLE,,CIN,"W,9-3",CG,4,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.176,0.217,0.294,0.512,9,0.2,-0.017,0.07,0.00%,-0.26,,,2B,,2021-08-09,114,113,634173
32,81,111,2021-08-10,CLE,,OAK,"L,3-4",9-GF(10),1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.174,0.215,0.291,0.506,9,3.17,-0.072,1.24,-0.02%,-0.33,,,PH 2B,,2021-08-10,114,133,632978
33,82,112,2021-08-11,CLE,,OAK,"L,3-6",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,1,0,0.17,0.219,0.284,0.503,7,0.85,-0.028,0.27,-0.01%,-0.42,,,2B,,2021-08-11,114,133,632937
34,83,113,2021-08-12,CLE,,OAK,"L,0-17",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.165,0.212,0.275,0.487,9,0.32,-0.025,0.08,0.00%,-0.78,,,2B,,2021-08-12,114,133,632900
