Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,76 (75),2022-06-29,PHI,,ATL,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.84,-0.087,.86,-0.05%,-0.81,0.00,0.00,DH,,2022-06-29,143,144,661584
2,2,77,2022-06-30,PHI,,ATL,"W,14-4",CG,5,5,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.222,.222,.889,1.111,4,.18,-0.024,.18,-0.01%,2.21,30.00,40.90,DH,,2022-06-30,143,144,661579
3,3,78,2022-07-01,PHI,,STL,"W,5-3",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.231,.231,.923,1.154,4,1.23,0.101,1.24,0.06%,0.11,14.00,18.70,DH,,2022-07-01,143,138,661582
4,4,79,2022-07-02,PHI,,STL,"L,6-7",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.214,.857,1.071,8,2.01,-0.048,2.11,-0.03%,-0.29,0.00,0.00,PH,,2022-07-02,143,138,661581
5,5,80,2022-07-03,PHI,,STL,"W,4-0",GS-8,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.222,.722,.944,4,.58,-0.055,.57,-0.03%,-0.49,3.00,3.00,DH,,2022-07-03,143,138,661630
6,6,81,2022-07-05,PHI,,WSN,"W,11-0",CG,5,5,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.304,.304,.739,1.043,4,.25,0.043,.23,0.02%,1.47,19.00,25.10,1B DH,,2022-07-05,143,120,661578
7,7,82,2022-07-06,PHI,,WSN,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.259,.259,.630,.889,4,1.72,-0.170,1.64,-0.10%,-1.04,0.00,0.00,DH,,2022-07-06,143,120,661564
8,8,83,2022-07-07,PHI,,WSN,"W,5-3",CG,4,4,2,2,1,0,1,2,0,0,2,0,0,0,0,0,0,0,.290,.290,.742,1.032,4,1.23,0.143,1.12,0.08%,1.50,23.00,31.40,DH,,2022-07-07,143,120,661566
9,9,84,2022-07-08,PHI,@,STL,"W,2-0",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.257,.657,.914,4,.60,-0.061,.63,-0.04%,-0.70,0.00,0.00,DH,,2022-07-08,143,138,661136
10,10,85,2022-07-09,PHI,@,STL,"W,1-0",GS-9,4,3,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.289,.308,.684,.992,4,1.32,0.187,1.46,0.12%,0.89,10.00,12.00,DH,,2022-07-09,143,138,661137
11,11,86,2022-07-10,PHI,@,STL,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.286,.302,.643,.945,4,1.27,-0.109,1.43,-0.07%,-1.32,3.00,3.00,1B,,2022-07-10,143,138,661135
12,12,87,2022-07-11,PHI,@,STL,"L,1-6",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.298,.609,.907,4,.43,-0.039,.47,-0.03%,-0.15,3.00,3.00,DH,,2022-07-11,143,138,661120
13,13,88,2022-07-12,PHI,@,TOR,"L,3-4",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.260,.275,.560,.835,4,1.05,-0.107,1.02,-0.06%,-0.76,0.00,0.00,DH,,2022-07-12,143,141,661722
14,14,89,2022-07-13,PHI,@,TOR,"L,2-8",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.245,.259,.528,.788,4,.87,-0.070,.80,-0.04%,-0.81,0.00,0.00,DH,,2022-07-13,143,141,661721
15,15,90,2022-07-15,PHI,@,MIA,"W,2-1",GS-9,4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.250,.276,.536,.812,4,1.59,0.050,1.64,0.03%,0.07,11.00,15.70,DH,,2022-07-15,143,146,661374
16,16,91,2022-07-16,PHI,@,MIA,"W,10-0",CG,5,5,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.262,.286,.541,.827,4,.47,-0.027,.48,-0.02%,-0.36,12.00,15.40,1B DH,,2022-07-16,143,146,661359
