Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,75 (74),2023-06-21,BOS,@,MIN,"L,4-5",8-10,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,1,0,,,,,5,2.9,0.039,2.17,0.02%,0.16,7.0,9.2,PR SS,,2023-06-21,111,142,717665
2,2,76,2023-06-22,BOS,@,MIN,"L,0-6",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.333,0.333,0.667,8,0.25,-0.017,0.18,-0.01%,-0.28,3.0,3.0,SS,,2023-06-22,111,142,717658
3,3,77,2023-06-23,BOS,@,CHW,"W,3-1",CG,3,2,1,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,1,0,0.2,0.333,0.2,0.533,9,0.97,0.079,0.62,0.03%,0.52,9.0,12.2,SS,,2023-06-23,111,145,717645
4,4,78,2023-06-24,BOS,@,CHW,"L,4-5",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.111,0.2,0.111,0.311,8,1.56,-0.167,1.2,-0.08%,-1.07,0.0,0.0,SS,,2023-06-24,111,145,717629
5,5,80 (1),2023-06-27,BOS,,MIA,"L,1-10",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.083,0.214,0.083,0.298,8,0.51,-0.034,0.31,-0.01%,-0.8,2.0,3.0,SS,,2023-06-27,111,146,717605
6,6,81,2023-06-28,BOS,,MIA,"L,2-6",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,1,0.133,0.235,0.133,0.369,9,0.86,-0.053,0.5,-0.02%,-0.54,3.0,3.0,SS,,2023-06-28,111,146,717583
7,7,82,2023-06-29,BOS,,MIA,"L,0-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.133,0.235,0.133,0.369,8,,,,,,0.0,0.0,PR SS,,2023-06-29,111,146,717569
8,8,83,2023-06-30,BOS,@,TOR,"W,5-0",CG,4,3,0,1,1,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.167,0.286,0.222,0.508,8,0.44,-0.029,0.23,-0.01%,0.46,7.0,9.0,SS,,2023-06-30,111,141,717555
9,9,84,2023-07-01,BOS,@,TOR,"W,7-6",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.167,0.286,0.222,0.508,7,,,,,,0.0,0.0,SS,,2023-07-01,111,141,717547
10,10,85,2023-07-02,BOS,@,TOR,"W,5-4",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.143,0.28,0.19,0.47,8,1.53,-0.05,1.04,-0.02%,-0.28,2.0,3.0,SS,,2023-07-02,111,141,717530
11,11,86,2023-07-04,BOS,,TEX,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.12,0.241,0.16,0.401,8,1.03,-0.149,0.69,-0.06%,-1.63,0.0,0.0,SS,,2023-07-04,111,140,717501
