Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,33,2021-04-30,MIA,@,WSN,"L,1-2",10-GF(10),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,9,3.94,-0.018,4.08,-0.01%,-0.17,0.0,0.0,PH CF,,2021-04-30,146,120,634274,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,34,2021-05-01,MIA,@,WSN,"L,2-7",4-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.17,-0.009,0.18,-0.01%,-0.42,0.0,0.0,CF,,2021-05-01,146,120,634304,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3,35,2021-05-02,MIA,@,WSN,"L,1-3",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.2,0.4,8,1.01,-0.077,0.96,-0.04%,-0.8,0.0,0.0,CF,,2021-05-02,146,120,634259,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,36,2021-07-11,MIA,,ATL,"W,7-4",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,9,,,,,,0.0,0.0,RF,,2021-07-11,146,144,633324,2021,0.2,0.2,0.2,0.4,0.0,1.0,0.0,1.0,1.0,0.2,0.2,0.2,0.4,0.0,1.0,0.0,1.0,1.0,0.2,0.2,0.2,0.4,0.0,1.0,0.0,1.0,1.0
5,37,2021-07-16,MIA,@,PHI,"L,2-5",7-GF(7),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,8,0.41,-0.01,0.13,0.00%,-0.16,0.0,0.0,PH,1.0,2021-07-16,146,143,633283,2021,0.2,0.2,0.2,0.4,0.0,1.0,0.0,1.0,1.0,0.2,0.2,0.2,0.4,0.0,1.0,0.0,1.0,1.0,0.2,0.2,0.2,0.4,0.0,1.0,0.0,1.0,1.0
6,38,2021-07-16,MIA,@,PHI,"W,7-0",7-GF(7),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,9,,,,,,0.0,0.0,RF,2.0,2021-07-16,146,143,633447,2021,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0
7,39,2021-07-17,MIA,@,PHI,"L,2-4",9-GF(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,4,,,,,,0.0,0.0,PR RF,,2021-07-17,146,143,633299,2021,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0
8,40,2021-07-18,MIA,@,PHI,"L,4-7",8-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,9,5.16,-0.132,1.46,-0.02%,-0.78,0.0,0.0,PH,,2021-07-18,146,143,633299,2021,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,1.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,1.0,0.0,1.0,2.0
9,41,2021-07-19,MIA,@,WSN,"L,1-18",CG,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,8,0.03,-0.001,0.0,0.00%,-0.44,0.0,0.0,CF,,2021-07-19,146,120,633233,2021,0.143,0.143,0.143,0.286,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.143,0.143,0.143,0.286,0.0,1.0,0.0,1.0,3.0
1,42,2022-06-25,LAA,,SEA,"L,3-5",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7,,,,,,0.0,0.0,LF,,2022-06-25,108,136,663441,2022,0.2,0.2,0.4,0.6,0.0,1.0,1.0,3.0,3.0,0.2,0.2,0.6,0.8,0.0,0.0,1.0,2.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0
