Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2021-09-17,MIA,,PIT,"L,1-2",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.75,7.0,3.01,-0.205,0.0,0.00%,-0.52,0.0,0.0,C,,2021-09-17,146,134,632460,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2021-09-20,MIA,,WSN,"W,8-7",GS-5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.333,0.5,7.0,0.63,-0.035,0.0,0.00%,-0.34,0.0,0.0,C,,2021-09-20,146,120,632408,2021,0.25,0.25,0.75,1.0,0.0,0.0,1.0,2.0,3.0,0.25,0.25,0.75,1.0,0.0,0.0,1.0,2.0,3.0,0.25,0.25,0.75,1.0,0.0,0.0,1.0,2.0,3.0
3.0,3.0,2021-09-24,MIA,@,TBR,"L,0-8",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.111,0.111,0.222,0.333,9.0,0.54,-0.075,0.0,0.00%,-1.23,0.0,0.0,C,,2021-09-24,146,139,632358,2021,0.167,0.167,0.5,0.667,0.0,0.0,1.0,2.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,2.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,2.0,5.0
4.0,4.0,2021-09-28,MIA,@,NYM,"L,1-2",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.25,0.417,8.0,1.2,-0.031,0.0,0.00%,0.0,0.0,0.0,C,2.0,2021-09-28,146,121,632666,2021,0.111,0.111,0.333,0.444,0.0,0.0,1.0,2.0,5.0,0.111,0.111,0.333,0.444,0.0,0.0,1.0,2.0,5.0,0.111,0.111,0.333,0.444,0.0,0.0,1.0,2.0,5.0
5.0,5.0,2021-10-01,MIA,,PHI,"L,0-5",CG,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.313,0.333,0.646,6.0,0.62,0.137,0.0,0.00%,1.6,0.0,0.0,C,,2021-10-01,146,143,632271,2021,0.167,0.167,0.333,0.5,0.0,0.0,1.0,3.0,5.0,0.167,0.167,0.333,0.5,0.0,0.0,1.0,3.0,5.0,0.167,0.167,0.333,0.5,0.0,0.0,1.0,3.0,5.0
1.0,6.0,2022-04-08,MIA,@,SFG,"L,5-6",9-GF(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,,,,,,0.0,0.0,C,,2022-04-08,146,137,662124,2022,0.267,0.312,0.4,0.712,0.0,0.0,1.0,5.0,5.0,0.267,0.312,0.4,0.712,0.0,0.0,1.0,5.0,5.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,7.0,2022-04-10,MIA,@,SFG,"L,2-3",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.26,-0.133,1.18,-0.08%,-1.18,0.0,0.0,C,,2022-04-10,146,137,662122,2022,0.267,0.312,0.4,0.712,0.0,0.0,1.0,5.0,5.0,0.273,0.333,0.273,0.606,0.0,0.0,0.0,3.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,8.0,2022-04-16,MIA,,PHI,"L,3-10",7-GF,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,8.0,0.06,0.0,0.06,0.00%,0.15,2.0,3.0,PH C,,2022-04-16,146,143,661416,2022,0.222,0.263,0.333,0.596,0.0,0.0,1.0,5.0,7.0,0.25,0.308,0.25,0.558,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4.0,9.0,2022-04-17,MIA,,PHI,"W,11-3",CG,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,9.0,0.19,-0.033,0.17,-0.02%,-0.86,6.0,9.7,C,,2022-04-17,146,143,661415,2022,0.211,0.286,0.316,0.602,0.0,0.0,1.0,5.0,7.0,0.3,0.417,0.3,0.717,0.0,0.0,0.0,3.0,2.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0
5.0,10.0,2022-04-22,MIA,@,ATL,"L,0-3",7-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,,,,,,0.0,0.0,C,,2022-04-22,146,144,661569,2022,0.174,0.269,0.261,0.53,0.0,0.0,1.0,5.0,7.0,0.182,0.357,0.182,0.539,0.0,0.0,0.0,2.0,2.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0
