Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,128 (127),2022-08-27,HOU,,BAL,"L,1-3",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,8,0.91,-0.072,0.08,0.00%,-0.52,0.0,0.0,SS,,2022-08-27,117,110,661090
2,2,129,2022-08-28,HOU,,BAL,"W,3-1",CG,3,3,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.167,0.167,0.333,0.5,7,0.79,0.037,0.06,0.00%,0.18,5.0,6.0,DH,,2022-08-28,117,110,661089
3,3,131 (1),2022-08-31,HOU,@,TEX,"W,5-3",CG,5,4,1,3,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.4,0.455,0.5,0.955,8,0.74,0.059,0.05,0.00%,0.76,13.0,15.2,DH,,2022-08-31,117,140,661831
4,4,133 (1),2022-09-03,HOU,@,LAA,"L,1-2",10-GF(12),2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.333,0.385,0.417,0.801,7,4.25,-0.421,0.27,-0.02%,-1.91,0.0,0.0,PH DH,,2022-09-03,117,108,663436
5,5,134,2022-09-04,HOU,@,LAA,"W,9-1",CG,4,4,2,2,1,0,0,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.375,0.412,0.5,0.912,9,0.41,0.122,0.03,0.01%,1.85,16.0,22.4,3B,,2022-09-04,117,108,663435
6,6,138 (3),2022-09-09,HOU,,LAA,"W,4-3",GS-7,2,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.353,0.421,0.471,0.892,8,2.01,-0.083,0.13,0.00%,-0.58,2.0,3.0,DH,,2022-09-09,117,108,661085
7,7,143 (4),2022-09-14,HOU,@,DET,"W,2-1",CG,4,2,1,0,0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.316,0.435,0.421,0.856,9,0.88,0.018,0.02,0.00%,0.33,6.0,9.2,DH,,2022-09-14,117,116,662792
8,8,146 (2),2022-09-17,HOU,,OAK,"L,5-8",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.273,0.385,0.364,0.748,9,0.88,-0.088,0.02,0.00%,-1.02,0.0,0.0,SS,,2022-09-17,117,133,662823
9,9,147,2022-09-18,HOU,,OAK,"W,11-2",8-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.261,0.37,0.348,0.718,4,0.0,0.0,0.0,0.00%,-0.15,0.0,0.0,3B,,2022-09-18,117,133,662822
10,10,149 (1),2022-09-20,HOU,@,TBR,"W,5-0",9-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.357,0.333,0.69,1,0.03,-0.001,0.0,0.00%,-0.27,0.0,0.0,PH 2B,,2022-09-20,117,139,662012
11,11,150,2022-09-21,HOU,@,TBR,"W,5-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.25,0.357,0.333,0.69,7,,,,,,0.0,0.0,2B,,2022-09-21,117,139,662011
12,12,155 (4),2022-09-27,HOU,,ARI,"W,10-2",5-GF,3,3,2,2,0,0,1,3,0,0.0,0,0,0,0.0,0,0.0,0,0,0.296,0.387,0.481,0.869,3,0.56,0.091,0.0,0.00%,2.23,23.0,31.9,PH DH,,2022-09-27,117,109,662821
13,13,156,2022-09-28,HOU,,ARI,"L,2-5",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.296,0.387,0.481,0.869,8,,,,,,0.0,0.0,2B,,2022-09-28,117,109,662820
14,14,160 (3),2022-10-03,HOU,,PHI,"L,0-3",7-GF,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.321,0.406,0.5,0.906,4,1.83,0.042,0.0,0.00%,0.2,3.0,3.0,2B 3B,,2022-10-03,117,143,662777
15,15,161,2022-10-04,HOU,,PHI,"W,10-0",6-GF,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.321,0.424,0.5,0.924,2,0.0,0.0,0.0,0.00%,0.38,4.0,6.2,2B,,2022-10-04,117,143,662768
16,16,162,2022-10-05,HOU,,PHI,"W,3-2",7-GF,1,1,0,1,0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.345,0.441,0.586,1.027,3,0.51,0.06,0.0,0.00%,0.92,8.0,9.0,LF,,2022-10-05,117,143,662789
1,17,2 (1),2023-03-31,HOU,,CHW,"W,6-3",CG,4,3,0,2,0,0,0,1,1,0.0,1,0,0,0.0,0,0.0,1,0,0.667,0.75,0.667,1.417,7,0.9,0.165,0.82,0.09%,2.21,15.0,18.5,2B,,2023-03-31,117,145,718764
2,18,3,2023-04-01,HOU,,CHW,"W,6-4",CG,4,4,1,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.286,0.375,0.286,0.661,7,1.7,-0.061,1.59,-0.03%,-1.02,2.0,3.2,2B,,2023-04-01,117,145,718760
3,19,4,2023-04-02,HOU,,CHW,"L,3-6",CG,5,5,0,1,0,0,0,1,0,0.0,3,0,0,0.0,0,0.0,0,0,0.25,0.308,0.25,0.558,5,1.33,-0.132,1.33,-0.08%,-0.42,5.0,6.5,DH,,2023-04-02,117,145,718740
4,20,5,2023-04-03,HOU,,DET,"L,6-7",CG(11),5,4,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.333,0.25,0.583,7,1.69,-0.125,1.57,-0.07%,-0.2,5.0,6.0,DH,,2023-04-03,117,116,718723
5,21,7 (1),2023-04-05,HOU,,DET,"W,8-2",CG,4,3,2,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.263,0.364,0.263,0.627,6,0.38,0.032,0.32,0.02%,-0.04,9.0,12.4,2B,,2023-04-05,117,116,718696
6,22,8,2023-04-07,HOU,@,MIN,"L,2-3",CG(10),4,4,1,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.217,0.308,0.217,0.525,6,1.45,-0.158,1.29,-0.09%,-1.01,2.0,3.2,1B,,2023-04-07,117,142,718684
7,23,9,2023-04-08,HOU,@,MIN,"L,6-9",CG,4,4,0,1,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.222,0.3,0.222,0.522,7,0.7,-0.066,0.6,-0.03%,-0.35,3.0,3.0,2B,,2023-04-08,117,142,718666
8,24,12 (2),2023-04-11,HOU,@,PIT,"L,4-7",9-9,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.323,0.25,0.573,9,2.13,0.078,1.86,0.04%,0.39,5.0,6.2,PH,,2023-04-11,117,134,718623
9,25,13,2023-04-12,HOU,@,PIT,"W,7-0",CG,5,5,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.212,0.278,0.212,0.49,5,0.76,-0.109,0.63,-0.05%,-1.79,0.0,0.0,DH,,2023-04-12,117,134,718608
10,26,14,2023-04-14,HOU,,TEX,"L,2-6",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.194,0.275,0.194,0.469,6,0.93,-0.023,0.91,-0.01%,-0.22,2.0,3.0,DH,,2023-04-14,117,140,718581
11,27,16 (1),2023-04-16,HOU,,TEX,"L,1-9",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.179,0.273,0.179,0.452,7,0.85,-0.059,0.83,-0.03%,-0.53,2.0,3.0,DH,,2023-04-16,117,140,718552
12,28,17,2023-04-17,HOU,,TOR,"W,9-2",8-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.175,0.267,0.175,0.442,1,0.01,0.0,0.01,0.00%,-0.3,0.0,0.0,PH 2B,,2023-04-17,117,141,718537
13,29,18,2023-04-18,HOU,,TOR,"L,2-4",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.175,0.267,0.175,0.442,3,,,,,,0.0,0.0,PR LF,,2023-04-18,117,141,718520
14,30,19,2023-04-19,HOU,,TOR,"W,8-1",GS-8,3,2,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.167,0.271,0.167,0.438,7,0.73,-0.016,0.62,-0.01%,-0.36,4.0,6.2,LF,,2023-04-19,117,141,718501
15,31,22 (2),2023-04-23,HOU,@,ATL,"W,5-2",CG,4,3,1,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.156,0.269,0.156,0.425,7,1.64,-0.013,1.53,-0.01%,-0.36,4.0,6.2,1B,,2023-04-23,117,144,718462
