Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2021-05-19,CHC,,WSN,"L,3-4",4-GF,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.75,-0.128,1.83,-0.08%,-0.83,0.0,0.0,PH 1B,,2021-05-19,112,120,634053,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2021-05-20,CHC,,WSN,"W,5-2",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.71,-0.05,0.72,-0.03%,-0.45,0.0,0.0,C,,2021-05-20,112,120,634112,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,3,2021-05-25,CHC,@,PIT,"W,4-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.05,-0.175,1.29,-0.13%,-1.77,0.0,0.0,C,,2021-05-25,112,134,633941,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,4,2021-05-29,CHC,,CIN,"W,10-2",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.02,-0.001,0.03,0.00%,-0.24,0.0,0.0,PH C,,2021-05-29,112,113,633875,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
5,5,2021-05-30,CHC,,CIN,"L,1-5",8-9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.077,9,0.1,0.003,0.14,0.00%,0.13,0.0,0.0,PH,,2021-05-30,112,113,633931,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6,6,2021-06-02,CHC,,SDP,"W,6-1",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.063,0.118,0.063,0.18,8,1.1,-0.214,1.52,-0.18%,-1.75,0.0,0.0,C,,2021-06-02,112,135,633855,2021,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,5.0,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,5.0,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,5.0
7,7,2021-06-06,CHC,@,SFG,"W,4-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.095,0.05,0.145,8,0.7,-0.074,0.94,-0.06%,-0.73,0.0,0.0,C,,2021-06-06,112,137,633869,2021,0.062,0.118,0.062,0.18,0.0,0.0,0.0,1.0,6.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,4.0,0.062,0.118,0.062,0.18,0.0,0.0,0.0,1.0,6.0
8,8,2021-06-07,CHC,@,SDP,"L,4-9",5-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.091,0.048,0.139,9,1.28,-0.032,1.86,-0.03%,-0.22,0.0,0.0,PH,,2021-06-07,112,135,633779,2021,0.05,0.095,0.05,0.145,0.0,0.0,0.0,1.0,8.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,5.0,0.05,0.095,0.05,0.145,0.0,0.0,0.0,1.0,8.0
9,9,2021-06-09,CHC,@,SDP,"W,3-1",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.12,0.043,0.163,8,0.8,0.027,1.16,0.02%,0.08,0.0,0.0,C,,2021-06-09,112,135,633739,2021,0.048,0.091,0.048,0.139,0.0,0.0,0.0,1.0,8.0,0.1,0.182,0.1,0.282,0.0,0.0,0.0,1.0,3.0,0.048,0.091,0.048,0.139,0.0,0.0,0.0,1.0,8.0
1,10,2022-05-22,CHC,,ARI,"W,5-4",CG,4.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,1.0,1.5,9,1.55,0.232,0.68,0.06%,2.27,16.0,22.5,C,,2022-05-22,112,109,663150,2022,0.043,0.12,0.043,0.163,0.0,0.0,0.0,1.0,8.0,0.091,0.231,0.091,0.322,0.0,0.0,0.0,1.0,3.0,,,,,0.0,0.0,0.0,0.0,0.0
2,11,2022-05-24,CHC,@,CIN,"W,11-4",CG,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.556,0.714,1.27,8,0.56,-0.045,0.28,-0.01%,0.54,12.0,15.4,C,,2022-05-24,112,113,663103,2022,0.077,0.172,0.192,0.365,0.0,0.0,1.0,4.0,9.0,0.143,0.25,0.357,0.607,0.0,0.0,1.0,4.0,4.0,0.333,0.5,1.333,1.833,0.0,0.0,1.0,3.0,1.0
3,12,2022-05-25,CHC,@,CIN,"L,3-4",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.417,0.5,0.917,8,1.14,-0.097,0.62,-0.03%,-0.95,0.0,0.0,C,,2022-05-25,112,113,663082,2022,0.133,0.235,0.233,0.469,0.0,0.0,1.0,6.0,10.0,0.214,0.353,0.429,0.782,0.0,0.0,1.0,5.0,4.0,0.429,0.556,0.857,1.413,0.0,0.0,1.0,5.0,2.0
4,13,2022-05-26,CHC,@,CIN,"L,5-20",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.385,0.455,0.839,2,0.0,0.0,0.0,0.00%,-0.11,0.0,0.0,C,,2022-05-26,112,113,663081,2022,0.121,0.216,0.212,0.428,0.0,0.0,1.0,6.0,11.0,0.231,0.375,0.462,0.837,0.0,0.0,1.0,5.0,3.0,0.3,0.417,0.6,1.017,0.0,0.0,1.0,5.0,3.0
5,14,2022-05-29,CHC,@,CHW,"L,4-5",CG(12),5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.214,0.353,0.357,0.71,8,2.58,0.405,1.35,0.13%,1.65,4.0,6.2,C,,2022-05-29,112,145,661461,2022,0.118,0.211,0.206,0.416,0.0,0.0,1.0,6.0,11.0,0.231,0.375,0.462,0.837,0.0,0.0,1.0,5.0,3.0,0.273,0.385,0.545,0.93,0.0,0.0,1.0,5.0,3.0
6,15,2022-05-30,CHC,,MIL,"L,6-7",CG,5.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.318,0.474,0.792,8,2.15,-0.139,1.07,-0.04%,-0.04,14.0,18.7,C,1.0,2022-05-30,112,158,663149,2022,0.108,0.214,0.189,0.403,0.0,0.0,1.0,6.0,12.0,0.214,0.353,0.429,0.782,0.0,0.0,1.0,5.0,4.0,0.214,0.353,0.429,0.782,0.0,0.0,1.0,5.0,4.0
7,16,2022-05-31,CHC,,MIL,"W,8-7",6-GF,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.333,0.619,0.952,9,2.0,0.127,0.73,0.03%,1.25,16.0,22.2,1B,,2022-05-31,112,158,663154,2022,0.119,0.213,0.286,0.498,0.0,0.0,2.0,10.0,14.0,0.188,0.278,0.438,0.715,0.0,0.0,1.0,6.0,5.0,0.211,0.318,0.579,0.897,0.0,0.0,2.0,9.0,6.0
8,17,2022-06-02,CHC,,STL,"W,7-5",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.357,0.6,0.957,8,0.7,0.004,0.32,0.00%,0.27,6.0,6.0,C,,2022-06-02,112,138,663139,2022,0.136,0.224,0.386,0.611,0.0,0.0,3.0,14.0,14.0,0.143,0.2,0.714,0.914,0.0,0.0,2.0,8.0,4.0,0.238,0.333,0.762,1.095,0.0,0.0,3.0,13.0,6.0
9,18,2022-06-03,CHC,,STL,"L,5-14",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.375,0.571,0.946,7,0.35,0.044,0.19,0.01%,0.29,5.0,6.0,C,,2022-06-03,112,138,663153,2022,0.167,0.245,0.396,0.641,0.0,0.0,3.0,16.0,14.0,0.267,0.312,0.8,1.112,0.0,0.0,2.0,10.0,3.0,0.28,0.357,0.72,1.077,0.0,0.0,3.0,15.0,6.0
10,19,2022-06-04,CHC,,STL,"L,4-7",CG(10),5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.378,0.545,0.924,7,1.31,0.026,0.64,0.01%,0.08,8.0,9.2,C,2.0,2022-06-04,112,138,663152,2022,0.176,0.263,0.392,0.655,0.0,0.0,3.0,17.0,14.0,0.294,0.368,0.765,1.133,0.0,0.0,2.0,11.0,3.0,0.286,0.375,0.679,1.054,0.0,0.0,3.0,16.0,6.0
11,20,2022-06-05,CHC,,STL,"L,3-5",8-GF(11),2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.385,0.571,0.956,6,3.59,0.092,1.6,0.03%,0.39,7.0,9.5,PH DH,,2022-06-05,112,138,663138,2022,0.196,0.274,0.393,0.667,0.0,0.0,3.0,19.0,16.0,0.368,0.4,0.789,1.189,0.0,0.0,2.0,13.0,4.0,0.303,0.378,0.636,1.015,0.0,0.0,3.0,18.0,8.0
12,21,2022-06-07,CHC,@,BAL,"L,3-9",7-GF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.4,0.571,0.971,2,0.04,0.001,0.01,0.00%,0.25,2.0,3.0,C,,2022-06-07,112,110,661170,2022,0.207,0.281,0.431,0.712,0.0,0.0,4.0,21.0,16.0,0.438,0.471,0.812,1.283,0.0,0.0,2.0,11.0,2.0,0.314,0.385,0.686,1.07,0.0,0.0,4.0,20.0,8.0
13,22,2022-06-10,CHC,@,NYY,"L,1-2",11-GF(13),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.39,0.556,0.946,4,6.35,-0.167,2.08,-0.03%,-0.59,0.0,0.0,1B,,2022-06-10,112,147,661284,2022,0.218,0.306,0.455,0.761,0.0,0.0,4.0,21.0,14.0,0.429,0.5,0.571,1.071,0.0,0.0,1.0,7.0,2.0,0.314,0.4,0.686,1.086,0.0,0.0,4.0,20.0,8.0
14,23,2022-06-11,CHC,@,NYY,"L,0-8",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.381,0.541,0.921,7,0.0,0.0,0.0,0.00%,-0.16,0.0,0.0,3B,,2022-06-11,112,147,661276,2022,0.231,0.322,0.481,0.803,0.0,0.0,4.0,21.0,14.0,0.364,0.462,0.545,1.007,0.0,0.0,1.0,5.0,3.0,0.306,0.39,0.667,1.057,0.0,0.0,4.0,20.0,9.0
15,24,2022-06-12,CHC,@,NYY,"L,4-18",4-GF,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.4,0.575,0.975,2,0.05,0.007,0.01,0.00%,1.32,10.0,12.5,C,,2022-06-12,112,147,661270,2022,0.245,0.339,0.51,0.849,0.0,0.0,4.0,21.0,12.0,0.333,0.4,0.556,0.956,0.0,0.0,1.0,4.0,3.0,0.297,0.381,0.649,1.03,0.0,0.0,4.0,20.0,9.0
16,25,2022-06-14,CHC,,SDP,"L,5-12",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317,0.391,0.561,0.952,9,0.0,0.0,0.0,0.00%,-0.11,0.0,0.0,PH,,2022-06-14,112,135,663182,2022,0.275,0.362,0.569,0.931,0.0,0.0,5.0,24.0,12.0,0.429,0.5,1.0,1.5,0.0,0.0,2.0,5.0,1.0,0.325,0.4,0.7,1.1,0.0,0.0,5.0,23.0,9.0
17,26,2022-06-15,CHC,,SDP,"L,5-19",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.38,0.523,0.903,9,1.12,0.058,0.14,0.00%,0.02,4.0,6.5,1B 3B,,2022-06-15,112,135,663155,2022,0.269,0.345,0.558,0.903,0.0,0.0,5.0,24.0,12.0,0.333,0.429,0.667,1.095,0.0,0.0,1.0,3.0,1.0,0.317,0.391,0.683,1.074,0.0,0.0,5.0,23.0,9.0
