Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,289,89 (88),2021-07-08,ARI,,COL,"L,3-9",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.13,-0.060,.00,0.00%,-0.47,,,C,,2021-07-08,109,115,633392
2,290,91 (1),2021-07-10,ARI,@,LAD,"L,1-22",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.10,-0.008,.00,0.00%,-0.47,,,C,,2021-07-10,109,119,633311
3,291,93 (1),2021-07-16,ARI,,CHC,"L,1-5",GS-9,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.125,.125,.125,.250,8,1.78,-0.086,.00,0.00%,-0.75,,,C,,2021-07-16,109,112,633296
4,292,96 (2),2021-07-19,ARI,,PIT,"W,4-2",CG,4,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.273,.333,.364,.697,8,.30,0.029,.00,0.00%,0.78,,,C,,2021-07-19,109,134,633243
5,293,98 (1),2021-07-21,ARI,,PIT,"W,6-4",CG,4,3,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,.286,.375,.357,.732,8,1.24,0.040,.00,0.00%,0.07,,,C,,2021-07-21,109,134,633260
6,294,101 (2),2021-07-25,ARI,@,CHC,"L,1-5",GS-9,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.368,.412,.780,8,.54,-0.033,.00,0.00%,-0.63,,,C,,2021-07-25,109,112,633204
7,295,103 (1),2021-07-28,ARI,@,TEX,"W,3-2",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.318,.350,.668,9,.87,-0.066,.00,0.00%,-0.58,,,C,,2021-07-28,109,140,633097
8,296,106 (2),2021-08-01,ARI,,LAD,"L,0-13",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.217,.280,.304,.584,8,.20,-0.017,.00,0.00%,-0.63,,,P C,,2021-08-01,109,119,633101
9,297,109 (2),2021-08-04,ARI,,SFG,"L,1-7",CG,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.200,.286,.280,.566,8,1.15,-0.085,.00,0.00%,-0.56,,,C,,2021-08-04,109,137,633046
10,298,122 (12),2021-08-19,ARI,,PHI,"W,6-2",CG,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.214,.290,.286,.576,8,.48,-0.015,.00,0.00%,-0.40,,,C,,2021-08-19,109,143,632841
11,299,129 (6),2021-08-26,ARI,@,PHI,"W,8-7",9-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.207,.281,.276,.557,8,.02,0.000,.00,0.00%,-0.30,,,PH,,2021-08-26,109,143,632746
12,300,130,2021-08-27,ARI,@,PHI,"L,6-7",6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.273,.267,.539,9,2.13,-0.049,.00,0.00%,-0.36,,,PH,,2021-08-27,109,143,632808
13,301,131,2021-08-28,ARI,@,PHI,"L,0-7",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.265,.258,.523,4,.00,0.000,.00,0.00%,-0.32,,,PH,,2021-08-28,109,143,632712
