Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,42,2021-04-04,MIL,,MIN,"L,2-8",GS-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.99,-0.025,0.9,-0.01%,-0.24,0.0,0.0,P,,2021-04-04,158,142,634597,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,43,2021-04-10,MIL,@,STL,"W,9-5",GS-6,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,9,0.5,0.012,0.49,0.01%,0.15,0.0,0.0,P,,2021-04-10,158,138,632222,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,44,2021-04-16,MIL,,PIT,"L,1-6",GS-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,9,1.49,-0.042,1.76,-0.03%,-0.36,0.0,0.0,P,,2021-04-16,158,134,634483,2021,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0
4,45,2021-04-21,MIL,@,SDP,"W,4-2",GS-5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,9,1.74,-0.096,1.95,-0.07%,-0.8,0.0,0.0,P,,2021-04-21,158,135,634476,2021,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0
5,46,2021-04-27,MIL,,MIA,"W,5-4",GS-6,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.714,1.0,9,1.3,0.111,1.54,0.08%,0.91,0.0,0.0,P,,2021-04-27,158,146,634320,2021,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,4.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,4.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,4.0
6,47,2021-05-03,MIL,@,PHI,"L,3-4",GS-7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.556,0.778,9,0.9,-0.07,1.12,-0.05%,-0.69,0.0,0.0,P,,2021-05-03,158,143,634244,2021,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,4.0,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,4.0,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,4.0
7,48,2021-05-08,MIL,@,MIA,"W,6-2",GS-7,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,1.0,9,0.63,0.081,0.69,0.05%,0.6,0.0,0.0,P,,2021-05-08,158,146,634215,2021,0.222,0.222,0.667,0.889,0.0,0.0,1.0,5.0,6.0,0.25,0.25,0.75,1.0,0.0,0.0,1.0,5.0,5.0,0.222,0.222,0.667,0.889,0.0,0.0,1.0,5.0,6.0
8,49,2021-05-14,MIL,,ATL,"L,3-6",GS-4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.231,0.692,0.923,9,1.47,-0.038,1.58,-0.02%,-0.44,0.0,0.0,P,,2021-05-14,158,144,634118,2021,0.25,0.25,0.917,1.167,0.0,0.0,2.0,9.0,8.0,0.222,0.222,1.111,1.333,0.0,0.0,2.0,8.0,7.0,0.25,0.25,0.917,1.167,0.0,0.0,2.0,9.0,8.0
9,50,2021-05-21,MIL,@,CIN,"L,4-9",GS-5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,9,1.73,-0.099,1.83,-0.06%,-1.08,0.0,0.0,P,,2021-05-21,158,113,634027,2021,0.231,0.231,0.846,1.077,0.0,0.0,2.0,9.0,9.0,0.222,0.222,1.111,1.333,0.0,0.0,2.0,8.0,7.0,0.231,0.231,0.846,1.077,0.0,0.0,2.0,9.0,9.0
10,51,2021-05-27,MIL,,SDP,"W,6-5",GS-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.188,0.563,0.75,9,0.99,-0.025,1.0,-0.02%,-0.24,0.0,0.0,P,,2021-05-27,158,135,633937,2021,0.2,0.2,0.733,0.933,0.0,0.0,2.0,9.0,11.0,0.222,0.222,1.111,1.333,0.0,0.0,2.0,8.0,7.0,0.2,0.2,0.733,0.933,0.0,0.0,2.0,9.0,11.0
