Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,27,2 (1),2021-04-03,MIN,@,MIL,"W,2-0",CG,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,7,0.93,-0.074,0.77,-0.04%,-0.63,,,C,,2021-04-03,142,158,634575
2,28,3,2021-04-04,MIN,@,MIL,"W,8-2",7-7,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.25,0.25,0.5,9,0.21,0.008,0.19,0.00%,0.39,,,PH,,2021-04-04,142,158,634597
3,29,4,2021-04-05,MIN,@,DET,"W,15-6",CG,5,4,1,1,0,0,0,1,1,0.0,3,0,0,0.0,0,0.0,0,0,0.25,0.333,0.25,0.583,8,0.25,-0.029,0.3,-0.02%,0.41,,,C,,2021-04-05,142,116,634588
4,30,5,2021-04-06,MIN,@,DET,"L,3-4",GS-9,3,2,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.333,0.2,0.533,9,1.61,-0.056,1.89,-0.04%,-0.43,,,C,,2021-04-06,142,116,634603
5,31,9 (3),2021-04-11,MIN,,SEA,"L,6-8",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.143,0.25,0.143,0.393,8,0.38,-0.038,0.37,-0.02%,-0.97,,,C,,2021-04-11,142,136,632215
6,32,11 (1),2021-04-14,MIN,,BOS,"L,2-3",CG(7),3,3,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.176,0.263,0.176,0.44,8,2.76,-0.084,2.61,-0.05%,0.19,,,C,1.0,2021-04-14,142,111,634574
7,33,13 (1),2021-04-15,MIN,,BOS,"W,4-3",CG,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.19,0.261,0.19,0.451,8,1.49,-0.123,1.29,-0.06%,-0.55,,,C,,2021-04-15,142,111,634554
8,34,16 (2),2021-04-20,MIN,@,OAK,"L,0-1",CG(7),2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.174,0.24,0.174,0.414,9,2.04,-0.095,1.71,-0.05%,-0.46,,,C,2.0,2021-04-20,142,133,634466
9,35,17,2021-04-21,MIN,@,OAK,"L,12-13",CG(10),5,5,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.179,0.233,0.214,0.448,9,0.99,-0.101,0.8,-0.05%,-0.92,,,C,,2021-04-21,142,133,634440
10,36,19 (1),2021-04-24,MIN,,PIT,"L,2-6",CG,3,2,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.167,0.242,0.2,0.442,9,1.1,-0.013,0.86,-0.01%,-0.44,,,C,,2021-04-24,142,134,634467
11,37,21 (1),2021-04-26,MIN,@,CLE,"L,3-5",CG(10),4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.147,0.216,0.176,0.393,9,2.09,-0.23,1.56,-0.10%,-1.02,,,C,,2021-04-26,142,114,634394
12,38,55 (33),2021-06-02,MIN,@,BAL,"L,3-6",CG,4,4,2,2,0,1,1,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.184,0.244,0.342,0.586,8,0.58,0.114,0.16,0.02%,2.03,,,C,,2021-06-02,142,110,633853
13,39,56,2021-06-03,MIN,@,KCR,"L,5-6",CG,4,4,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.214,0.267,0.357,0.624,7,1.22,0.032,0.36,0.01%,0.52,,,C,,2021-06-03,142,118,633833
14,40,58 (1),2021-06-05,MIN,@,KCR,"W,5-4",CG,4,4,1,1,0,0,1,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.217,0.265,0.413,0.678,7,0.6,0.149,0.13,0.02%,1.47,,,C,,2021-06-05,142,118,633799
15,41,59,2021-06-06,MIN,@,KCR,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.2,0.245,0.38,0.625,7,1.11,-0.158,0.24,-0.02%,-1.61,,,C,,2021-06-06,142,118,633893
16,42,60,2021-06-08,MIN,,NYY,"L,4-8",CG,4,4,0,2,1,0,0,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.222,0.263,0.407,0.671,5,0.96,0.137,0.24,0.02%,1.68,,,C,,2021-06-08,142,147,633804
17,43,61,2021-06-09,MIN,,NYY,"L,6-9",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.207,0.246,0.379,0.625,5,0.44,-0.045,0.09,-0.01%,-0.88,,,C,,2021-06-09,142,147,633792
18,44,62,2021-06-10,MIN,,NYY,"W,7-5",8-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.203,0.242,0.373,0.615,7,1.73,-0.044,0.29,0.00%,-0.24,,,PH C,,2021-06-10,142,147,633790
19,45,63,2021-06-11,MIN,,HOU,"L,4-6",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.19,0.227,0.349,0.576,6,1.02,-0.091,0.19,-0.01%,-0.59,,,C,,2021-06-11,142,117,633720
20,46,65 (1),2021-06-13,MIN,,HOU,"L,3-14",GS-8,3,3,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,1.0,0,0,0.197,0.232,0.394,0.626,7,0.63,-0.012,0.1,0.00%,0.23,,,C,,2021-06-13,142,117,633749
21,47,66,2021-06-14,MIN,@,SEA,"L,3-4",CG,4,3,0,1,1,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.203,0.247,0.406,0.652,5,1.73,-0.083,0.2,-0.01%,-0.52,,,C,,2021-06-14,142,136,633716
22,48,68 (1),2021-06-16,MIN,@,SEA,"W,7-2",CG,4,4,1,2,0,0,1,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.219,0.26,0.452,0.712,5,0.66,0.052,0.05,0.00%,1.26,,,C,,2021-06-16,142,136,633658
23,49,69,2021-06-18,MIN,@,TEX,"W,7-5",CG(10),5,4,0,1,0,0,0,2,1,0.0,1,0,0,0.0,1,0.0,0,0,0.221,0.268,0.442,0.71,6,1.85,0.261,0.16,0.01%,1.7,,,C,,2021-06-18,142,140,633579
24,50,70,2021-06-19,MIN,@,TEX,"W,3-2",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.21,0.256,0.42,0.676,5,0.86,-0.086,0.09,-0.01%,-0.83,,,C,,2021-06-19,142,140,633594
25,51,72 (1),2021-06-21,MIN,,CIN,"W,7-5",CG(12),6,4,0,0,0,0,0,0,2,0.0,3,0,0,0.0,0,0.0,0,0,0.2,0.261,0.4,0.661,8,2.59,-0.265,0.42,-0.03%,-0.55,,,C,,2021-06-21,142,113,633588
26,52,73,2021-06-22,MIN,,CIN,"L,7-10",CG,4,4,2,2,0,0,1,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.213,0.271,0.438,0.709,5,1.1,0.252,0.2,0.03%,1.66,,,C,,2021-06-22,142,113,633580
27,53,75 (1),2021-06-25,MIN,,CLE,"W,8-7",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.204,0.26,0.419,0.679,7,0.59,-0.06,0.08,-0.01%,-0.6,,,C,,2021-06-25,142,114,633555
28,54,76,2021-06-27,MIN,,CLE,"W,8-2",CG,4,2,0,0,0,0,0,0,2,0.0,2,0,0,0.0,0,0.0,0,0,0.2,0.269,0.411,0.68,5,0.26,-0.014,0.05,0.00%,-0.14,,,C,,2021-06-27,142,114,633473
29,55,77,2021-06-29,MIN,@,CHW,"L,6-7",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.194,0.262,0.398,0.66,8,0.74,-0.078,0.17,-0.01%,-0.77,,,C,,2021-06-29,142,145,633478
30,56,79 (1),2021-07-01,MIN,@,CHW,"L,5-8",CG,5,3,0,1,0,0,0,1,2,0.0,1,0,0,0.0,0,0.0,0,0,0.198,0.277,0.396,0.673,5,1.15,0.096,0.17,0.01%,1.59,,,C,,2021-07-01,142,145,633529
31,57,81 (1),2021-07-03,MIN,@,KCR,"L,3-6",CG,4,3,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1.0,0,0,0.192,0.276,0.385,0.66,5,1.01,-0.061,0.08,0.00%,-0.67,,,C,,2021-07-03,142,118,633439
32,58,82,2021-07-04,MIN,@,KCR,"W,6-2",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.187,0.275,0.374,0.649,5,0.73,-0.072,0.04,0.00%,-0.62,,,C,,2021-07-04,142,118,633431
33,59,84 (1),2021-07-06,MIN,,CHW,"L,1-4",CG,4,4,0,1,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.189,0.274,0.369,0.644,5,1.59,-0.149,0.25,-0.01%,-0.97,,,C,,2021-07-06,142,145,633352
