Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,425,2021-04-01,NYY,,TOR,"L,2-3",CG(10),5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2,0.4,2,2.13,-0.325,2.32,-0.21%,-1.93,0.0,0.0,RF,,2021-04-01,147,141,634642,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,426,2021-04-03,NYY,,TOR,"W,5-3",CG,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,2,1.11,-0.005,1.07,0.00%,-0.2,0.0,0.0,RF,,2021-04-03,147,141,634644,2021,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,2.0
3,427,2021-04-04,NYY,,TOR,"L,1-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.214,0.214,0.214,0.429,2,1.25,-0.17,1.28,-0.10%,-1.51,0.0,0.0,DH,,2021-04-04,147,141,634607,2021,0.3,0.3,0.3,0.6,0.0,0.0,0.0,3.0,3.0,0.3,0.3,0.3,0.6,0.0,0.0,0.0,3.0,3.0,0.3,0.3,0.3,0.6,0.0,0.0,0.0,3.0,3.0
4,428,2021-04-05,NYY,,BAL,"W,7-0",GS-8,4.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.333,0.471,0.804,2,0.85,0.172,0.88,0.11%,0.79,0.0,0.0,RF,,2021-04-05,147,110,634587,2021,0.214,0.214,0.214,0.429,0.0,0.0,0.0,3.0,3.0,0.214,0.214,0.214,0.429,0.0,0.0,0.0,3.0,3.0,0.214,0.214,0.214,0.429,0.0,0.0,0.0,3.0,3.0
5,429,2021-04-06,NYY,,BAL,"W,7-2",CG,5.0,5.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.391,0.636,1.028,2,0.7,0.106,0.72,0.07%,3.59,0.0,0.0,RF,,2021-04-06,147,110,634599,2021,0.294,0.333,0.529,0.863,0.0,0.0,1.0,8.0,4.0,0.294,0.333,0.529,0.863,0.0,0.0,1.0,8.0,4.0,0.294,0.333,0.529,0.863,0.0,0.0,1.0,8.0,4.0
6,430,2021-04-10,NYY,@,TBR,"L,0-4",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.37,0.577,0.947,2,0.74,-0.058,0.73,-0.03%,-0.7,0.0,0.0,RF,,2021-04-10,147,139,632217,2021,0.364,0.391,0.727,1.119,0.0,0.0,2.0,14.0,4.0,0.364,0.391,0.727,1.119,0.0,0.0,2.0,14.0,4.0,0.364,0.391,0.727,1.119,0.0,0.0,2.0,14.0,4.0
7,431,2021-04-11,NYY,@,TBR,"W,8-4",CG(10),5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.375,0.517,0.892,2,1.72,-0.019,1.63,-0.01%,0.16,0.0,0.0,RF,,2021-04-11,147,139,632232,2021,0.346,0.37,0.654,1.024,0.0,0.0,2.0,15.0,6.0,0.381,0.409,0.762,1.171,0.0,0.0,2.0,14.0,4.0,0.346,0.37,0.654,1.024,0.0,0.0,2.0,15.0,6.0
8,432,2021-04-12,NYY,@,TOR,"W,3-1",CG,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.389,0.484,0.873,3,0.58,0.04,0.61,0.03%,0.18,0.0,0.0,RF,,2021-04-12,147,141,632203,2021,0.31,0.375,0.586,0.961,0.0,0.0,2.0,15.0,7.0,0.316,0.409,0.737,1.146,0.0,0.0,2.0,12.0,4.0,0.31,0.375,0.586,0.961,0.0,0.0,2.0,15.0,7.0
9,433,2021-04-13,NYY,@,TOR,"L,3-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.35,0.429,0.779,3,0.55,-0.057,0.58,-0.04%,-0.8,0.0,0.0,RF,,2021-04-13,147,141,634569,2021,0.29,0.389,0.548,0.937,0.0,0.0,2.0,15.0,7.0,0.353,0.5,0.824,1.324,0.0,0.0,2.0,12.0,4.0,0.29,0.389,0.548,0.937,0.0,0.0,2.0,15.0,7.0
10,434,2021-04-14,NYY,@,TOR,"L,4-5",CG,4.0,4.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.386,0.615,1.002,2,0.9,0.236,0.93,0.15%,2.16,0.0,0.0,RF,,2021-04-14,147,141,634513,2021,0.257,0.35,0.486,0.836,0.0,0.0,2.0,15.0,8.0,0.222,0.364,0.444,0.808,0.0,0.0,1.0,7.0,4.0,0.257,0.35,0.486,0.836,0.0,0.0,2.0,15.0,8.0
11,435,2021-04-16,NYY,,TBR,"L,2-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.279,0.354,0.558,0.912,2,0.52,-0.053,0.51,-0.03%,-1.2,0.0,0.0,RF,,2021-04-16,147,139,634464,2021,0.308,0.386,0.718,1.104,0.0,0.0,4.0,24.0,8.0,0.235,0.381,0.706,1.087,0.0,0.0,2.0,10.0,4.0,0.308,0.386,0.718,1.104,0.0,0.0,4.0,24.0,8.0
12,436,2021-04-17,NYY,,TBR,"L,3-6",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.346,0.553,0.899,2,1.54,0.007,1.39,0.00%,0.13,0.0,0.0,RF,,2021-04-17,147,139,634500,2021,0.279,0.354,0.651,1.005,0.0,0.0,4.0,24.0,10.0,0.176,0.333,0.647,0.98,0.0,0.0,2.0,9.0,4.0,0.279,0.354,0.651,1.005,0.0,0.0,4.0,24.0,10.0
13,437,2021-04-18,NYY,,TBR,"L,2-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.321,0.51,0.831,2,1.45,-0.151,1.19,-0.07%,-0.97,0.0,0.0,RF,,2021-04-18,147,139,634458,2021,0.277,0.346,0.66,1.006,0.0,0.0,5.0,26.0,12.0,0.222,0.3,0.778,1.078,0.0,0.0,3.0,11.0,5.0,0.277,0.346,0.66,1.006,0.0,0.0,5.0,26.0,12.0
14,438,2021-04-20,NYY,,ATL,"W,3-1",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.333,0.5,0.833,2,1.45,0.107,0.96,0.04%,0.83,0.0,0.0,RF,,2021-04-20,147,144,634422,2021,0.255,0.321,0.608,0.929,0.0,0.0,5.0,26.0,15.0,0.2,0.2,0.7,0.9,0.0,0.0,3.0,11.0,8.0,0.255,0.321,0.608,0.929,0.0,0.0,5.0,26.0,15.0
15,439,2021-04-21,NYY,,ATL,"L,1-4",CG,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.359,0.5,0.859,2,0.89,0.108,0.62,0.05%,0.74,0.0,0.0,RF,,2021-04-21,147,144,634504,2021,0.259,0.333,0.593,0.926,0.0,0.0,5.0,27.0,15.0,0.263,0.3,0.789,1.089,0.0,0.0,3.0,12.0,7.0,0.259,0.333,0.593,0.926,0.0,0.0,5.0,27.0,15.0
16,440,2021-04-22,NYY,@,CLE,"W,6-3",CG,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.377,0.483,0.86,3,1.06,0.011,0.72,0.01%,0.18,0.0,0.0,DH,,2021-04-22,147,114,634436,2021,0.268,0.359,0.589,0.949,0.0,0.0,5.0,28.0,15.0,0.176,0.3,0.294,0.594,0.0,0.0,1.0,4.0,7.0,0.268,0.359,0.589,0.949,0.0,0.0,5.0,28.0,15.0
