Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,730,2021-04-01,TBR,@,MIA,"W,1-0",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,6,1.56,-0.144,1.4,-0.08%,-1.25,0.0,0.0,CF,,2021-04-01,139,146,634652,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,731,2021-04-02,TBR,@,MIA,"W,6-4",8-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,9,1.16,-0.059,1.15,-0.04%,-0.34,0.0,0.0,PH CF,,2021-04-02,139,146,634602,2021,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,2.0
3,732,2021-04-03,TBR,@,MIA,"L,7-12",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5,1.22,-0.136,1.19,-0.08%,-1.45,0.0,0.0,CF,,2021-04-03,139,146,634596,2021,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,4.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,4.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,4.0
4,733,2021-04-05,TBR,@,BOS,"L,2-11",GS-3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.091,0.091,0.091,0.182,8,1.22,-0.055,1.27,-0.03%,-0.57,0.0,0.0,CF,,2021-04-05,139,111,634601,2021,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,4.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,4.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,4.0
5,734,2021-04-17,TBR,@,NYY,"W,6-3",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.091,0.182,2,,,,,,0.0,0.0,CF,,2021-04-17,139,147,634500,2021,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,4.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,4.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,4.0
6,735,2021-04-18,TBR,@,NYY,"W,4-2",CG,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,9,1.27,0.007,1.25,0.00%,0.12,0.0,0.0,CF,,2021-04-18,139,147,634458,2021,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,4.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,4.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,4.0
7,736,2021-04-19,TBR,@,KCR,"W,4-1",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.222,0.444,9,0.85,0.171,0.88,0.11%,2.66,0.0,0.0,CF,,2021-04-19,139,118,634396,2021,0.143,0.143,0.143,0.286,0.0,0.0,0.0,2.0,5.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,2.0,5.0
8,737,2021-04-20,TBR,@,KCR,"W,14-7",GS-6,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.238,0.273,0.286,0.558,7,0.66,0.033,0.69,0.02%,-0.8,0.0,0.0,CF,,2021-04-20,139,118,634407,2021,0.222,0.222,0.222,0.444,0.0,0.0,0.0,4.0,5.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,3.0,1.0,0.222,0.222,0.222,0.444,0.0,0.0,0.0,4.0,5.0
9,738,2021-04-21,TBR,@,KCR,"L,8-9",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24,0.269,0.28,0.549,6,1.41,0.099,1.54,0.07%,-0.31,0.0,0.0,CF,,2021-04-21,139,118,634446,2021,0.238,0.273,0.333,0.606,0.0,0.0,1.0,6.0,5.0,0.364,0.417,0.545,0.962,0.0,0.0,1.0,5.0,1.0,0.238,0.273,0.333,0.606,0.0,0.0,1.0,6.0,5.0
10,739,2021-04-23,TBR,,TOR,"L,3-5",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.267,0.276,0.543,9,1.06,-0.052,1.25,-0.04%,-0.22,0.0,0.0,CF,,2021-04-23,139,141,634413,2021,0.24,0.269,0.32,0.589,1.0,0.0,1.0,7.0,7.0,0.357,0.4,0.5,0.9,1.0,0.0,1.0,6.0,3.0,0.24,0.269,0.32,0.589,1.0,0.0,1.0,7.0,7.0
