Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,206,1,2021-04-01,LAD,@,COL,"L,5-8",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-04-01,119,115,634615
2,207,4 (2),2021-04-04,LAD,@,COL,"W,4-2",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-04-04,119,115,634557
3,208,8 (3),2021-04-09,LAD,,WSN,"W,1-0",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,,,,,P,,2021-04-09,119,120,634533
4,209,10 (1),2021-04-11,LAD,,WSN,"W,3-0",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-04-11,119,120,632214
5,210,12 (1),2021-04-14,LAD,,COL,"W,4-2",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,5,,,,,,,,P,,2021-04-14,119,115,634614
6,211,14 (1),2021-04-16,LAD,@,SDP,"W,11-6",8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-04-16,119,135,634531
7,212,20 (5),2021-04-23,LAD,,SDP,"L,1-6",9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-04-23,119,135,634370
8,213,113 (92),2021-08-10,LAD,@,PHI,"W,5-0",6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-08-10,119,143,632984
9,214,116 (2),2021-08-13,LAD,@,NYM,"W,6-5",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-08-13,119,121,632911
10,215,117,2021-08-14,LAD,@,NYM,"W,2-1",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-08-14,119,121,632958
11,216,120 (2),2021-08-17,LAD,,PIT,"W,4-3",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-08-17,119,134,632909
