Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,226,2021-04-01,OAK,,HOU,"L,1-8",CG,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.75,1.25,2,1.24,0.09,1.31,0.06%,0.67,0.0,0.0,CF,,2021-04-01,133,117,634640,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,227,2021-04-02,OAK,,HOU,"L,5-9",GS-7,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.429,0.857,1.286,2,0.89,0.052,0.9,0.03%,1.15,0.0,0.0,CF,,2021-04-02,133,117,634605,2021,0.5,0.5,1.0,1.5,1.0,0.0,1.0,3.0,0.0,0.5,0.5,1.0,1.5,1.0,0.0,1.0,3.0,0.0,0.5,0.5,1.0,1.5,1.0,0.0,1.0,3.0,0.0
3,228,2021-04-06,OAK,,LAD,"L,1-5",CG,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.455,0.455,0.818,1.273,3,0.75,0.091,0.49,0.04%,1.29,0.0,0.0,CF,,2021-04-06,133,119,634628,2021,0.429,0.429,1.143,1.571,1.0,0.0,2.0,6.0,0.0,0.429,0.429,1.143,1.571,1.0,0.0,2.0,6.0,0.0,0.429,0.429,1.143,1.571,1.0,0.0,2.0,6.0,0.0
4,229,2021-04-07,OAK,,LAD,"W,4-3",CG(10),5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.333,0.375,0.6,0.975,3,1.77,0.084,1.02,0.03%,0.46,0.0,0.0,CF,,2021-04-07,133,119,634567,2021,0.455,0.455,1.091,1.545,2.0,0.0,3.0,9.0,0.0,0.455,0.455,1.091,1.545,2.0,0.0,3.0,9.0,0.0,0.455,0.455,1.091,1.545,2.0,0.0,3.0,9.0,0.0
5,230,2021-04-08,OAK,@,HOU,"L,2-6",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.3,0.474,0.774,3,0.79,-0.08,0.6,-0.04%,-1.03,0.0,0.0,CF,,2021-04-08,133,117,634546,2021,0.333,0.375,0.8,1.175,4.0,0.0,3.0,9.0,0.0,0.333,0.375,0.8,1.175,4.0,0.0,3.0,9.0,0.0,0.333,0.375,0.8,1.175,4.0,0.0,3.0,9.0,0.0
6,231,2021-04-09,OAK,@,HOU,"W,6-2",CG,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.217,0.28,0.391,0.671,2,1.13,-0.108,0.78,-0.05%,-0.92,0.0,0.0,CF,,2021-04-09,133,117,634537,2021,0.263,0.3,0.632,0.932,4.0,0.0,3.0,9.0,2.0,0.263,0.3,0.632,0.932,4.0,0.0,3.0,9.0,2.0,0.263,0.3,0.632,0.932,4.0,0.0,3.0,9.0,2.0
7,232,2021-04-10,OAK,@,HOU,"W,7-3",CG,5.0,4.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.296,0.367,0.556,0.922,2,0.48,0.186,0.37,0.08%,2.59,0.0,0.0,CF,,2021-04-10,133,117,632202,2021,0.217,0.28,0.522,0.802,4.0,1.0,3.0,9.0,5.0,0.158,0.238,0.421,0.659,3.0,1.0,2.0,6.0,5.0,0.217,0.28,0.522,0.802,4.0,1.0,3.0,9.0,5.0
8,233,2021-04-12,OAK,@,ARI,"W,9-5",CG,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.323,0.4,0.548,0.948,2,0.93,0.166,0.65,0.07%,1.76,0.0,0.0,CF,,2021-04-12,133,109,632231,2021,0.296,0.367,0.704,1.07,5.0,1.0,4.0,15.0,5.0,0.25,0.348,0.55,0.898,4.0,1.0,2.0,9.0,5.0,0.296,0.367,0.704,1.07,5.0,1.0,4.0,15.0,5.0
9,234,2021-04-13,OAK,@,ARI,"W,7-5",CG,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.306,0.375,0.5,0.875,2,1.02,-0.078,0.81,-0.04%,-0.75,0.0,0.0,CF,,2021-04-13,133,109,632206,2021,0.323,0.4,0.677,1.077,7.0,1.0,4.0,17.0,6.0,0.25,0.375,0.45,0.825,5.0,1.0,1.0,8.0,6.0,0.323,0.4,0.677,1.077,7.0,1.0,4.0,17.0,6.0
10,235,2021-04-15,OAK,,DET,"W,8-4",CG,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.275,0.356,0.45,0.806,3,0.99,0.067,0.86,0.04%,0.69,0.0,0.0,CF,,2021-04-15,133,116,634632,2021,0.306,0.375,0.611,0.986,8.0,1.0,4.0,18.0,8.0,0.286,0.375,0.476,0.851,4.0,1.0,1.0,9.0,8.0,0.306,0.375,0.611,0.986,8.0,1.0,4.0,18.0,8.0
