Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2023-09-07,ARI,@,CHC,"W,6-2",GS-8,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,8.0,0.68,-0.049,0.85,-0.04%,-0.89,3.0,3.0,SS,,2023-09-07,109,112,716685,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2023-09-08,ARI,@,CHC,"W,1-0",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,8.0,1.82,-0.159,2.71,-0.14%,-1.11,0.0,0.0,SS,,2023-09-08,109,112,716678,2023,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,1.0
3.0,3.0,2023-09-09,ARI,@,CHC,"W,3-2",CG(10),5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.091,0.167,0.091,0.258,2.0,2.85,-0.094,4.67,-0.09%,-0.84,9.0,12.2,SS,,2023-09-09,109,112,716660,2023,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,3.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,3.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,3.0
4.0,4.0,2023-09-11,ARI,@,NYM,"W,4-3",GS-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.143,0.077,0.22,8.0,0.83,-0.045,1.17,-0.04%,-0.48,0.0,0.0,SS,,2023-09-11,109,121,716627,2023,0.091,0.167,0.091,0.258,1.0,0.0,0.0,1.0,6.0,0.091,0.167,0.091,0.258,1.0,0.0,0.0,1.0,6.0,0.091,0.167,0.091,0.258,1.0,0.0,0.0,1.0,6.0
5.0,5.0,2023-09-13,ARI,@,NYM,"L,1-7",GS-8,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.176,0.125,0.301,2.0,0.76,0.023,1.12,0.02%,0.34,3.0,3.0,SS,,2023-09-13,109,121,716595,2023,0.077,0.143,0.077,0.22,1.0,0.0,0.0,1.0,7.0,0.077,0.143,0.077,0.22,1.0,0.0,0.0,1.0,7.0,0.077,0.143,0.077,0.22,1.0,0.0,0.0,1.0,7.0
6.0,6.0,2023-09-14,ARI,@,NYM,"L,1-11",6-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.167,0.118,0.284,3.0,0.04,-0.001,0.06,0.00%,-0.33,0.0,0.0,SS,,2023-09-14,109,121,716588,2023,0.125,0.176,0.125,0.301,1.0,0.0,0.0,2.0,7.0,0.125,0.176,0.125,0.301,1.0,0.0,0.0,2.0,7.0,0.125,0.176,0.125,0.301,1.0,0.0,0.0,2.0,7.0
7.0,7.0,2023-09-16,ARI,,CHC,"W,7-6",11-GF(13),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.158,0.111,0.269,6.0,7.19,-0.26,14.67,-0.32%,-0.7,0.0,0.0,PR SS,,2023-09-16,109,112,716558,2023,0.118,0.167,0.118,0.284,1.0,0.0,0.0,2.0,8.0,0.077,0.143,0.077,0.22,1.0,0.0,0.0,1.0,7.0,0.118,0.167,0.118,0.284,1.0,0.0,0.0,2.0,8.0
8.0,8.0,2023-09-17,ARI,,CHC,"W,6-2",GS-7,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.227,0.15,0.377,9.0,0.75,0.027,1.71,0.04%,0.34,7.0,9.2,SS,,2023-09-17,109,112,716536,2023,0.111,0.158,0.111,0.269,1.0,0.0,0.0,2.0,8.0,0.091,0.167,0.091,0.258,1.0,0.0,0.0,1.0,5.0,0.111,0.158,0.111,0.269,1.0,0.0,0.0,2.0,8.0
9.0,9.0,2023-09-24,ARI,@,NYY,"W,7-1",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.13,0.231,0.13,0.361,7.0,0.45,-0.019,0.62,-0.02%,-0.19,2.0,3.0,SS,,2023-09-24,109,147,716458,2023,0.15,0.227,0.15,0.377,1.0,0.0,0.0,3.0,8.0,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,2.0,0.15,0.227,0.15,0.377,1.0,0.0,0.0,3.0,8.0
10.0,10.0,2023-09-25,ARI,@,NYY,"L,4-6",GS-8,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.241,0.154,0.395,8.0,0.5,-0.02,0.64,-0.02%,-0.15,3.0,3.0,SS,,2023-09-25,109,147,716471,2023,0.13,0.231,0.13,0.361,1.0,1.0,0.0,3.0,8.0,0.2,0.333,0.2,0.533,0.0,1.0,0.0,2.0,1.0,0.13,0.231,0.13,0.361,1.0,1.0,0.0,3.0,8.0
11.0,11.0,2023-09-26,ARI,@,CHW,"W,15-4",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.233,0.148,0.381,2.0,0.0,0.0,0.0,0.00%,-0.11,0.0,0.0,SS,,2023-09-26,109,145,716427,2023,0.154,0.241,0.154,0.395,1.0,1.0,0.0,4.0,9.0,0.2,0.333,0.2,0.533,0.0,1.0,0.0,2.0,2.0,0.154,0.241,0.154,0.395,1.0,1.0,0.0,4.0,9.0
12.0,12.0,2023-09-29,ARI,,HOU,"L,1-2",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.233,0.148,0.381,7.0,,,,,,0.0,0.0,PR,,2023-09-29,109,117,716384,2023,0.148,0.233,0.148,0.381,1.0,1.0,0.0,4.0,10.0,0.2,0.333,0.2,0.533,0.0,1.0,0.0,2.0,2.0,0.148,0.233,0.148,0.381,1.0,1.0,0.0,4.0,10.0
13.0,13.0,2023-09-30,ARI,,HOU,"L,0-1",7-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.233,0.148,0.381,7.0,,,,,,0.0,0.0,PR SS,,2023-09-30,109,117,716370,2023,0.148,0.233,0.148,0.381,1.0,1.0,0.0,4.0,10.0,0.222,0.364,0.222,0.586,0.0,1.0,0.0,2.0,2.0,0.148,0.233,0.148,0.381,1.0,1.0,0.0,4.0,10.0
14.0,14.0,2023-10-01,ARI,,HOU,"L,1-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.206,0.129,0.335,1.0,0.47,-0.05,0.06,0.00%,-1.03,0.0,0.0,SS,,2023-10-01,109,117,716358,2023,0.148,0.233,0.148,0.381,1.0,1.0,0.0,4.0,10.0,0.143,0.25,0.143,0.393,0.0,1.0,0.0,1.0,2.0,0.148,0.233,0.148,0.381,1.0,1.0,0.0,4.0,10.0
