Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,22,2021-05-15,ARI,,WSN,"W,11-4",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.01,0.0,0.01,0.00%,-0.24,0.0,0.0,2B,,2021-05-15,109,120,634097,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,23,2021-05-16,ARI,,WSN,"L,0-3",GS-8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.45,-0.187,1.11,-0.09%,-1.39,0.0,0.0,2B,,2021-05-16,109,120,634130,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24,2021-05-17,ARI,@,LAD,"L,1-3",GS-8,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,5,1.79,-0.116,1.36,-0.05%,-0.48,0.0,0.0,2B,,2021-05-17,109,119,634091,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,25,2021-05-18,ARI,@,LAD,"L,1-9",6-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,9,1.24,-0.032,0.86,-0.01%,-0.25,0.0,0.0,PH,,2021-05-18,109,119,634092,2021,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0
5,26,2021-05-20,ARI,@,LAD,"L,2-3",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.083,7,1.59,-0.132,0.8,-0.04%,-1.05,0.0,0.0,2B 3B,,2021-05-20,109,119,634059,2021,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,1.0
6,27,2021-05-23,ARI,@,COL,"L,3-4",GS-7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.067,7,1.19,-0.103,0.36,-0.02%,-0.92,0.0,0.0,2B,,2021-05-23,109,115,633995,2021,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,3.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,3.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,3.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,3.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,3.0
7,28,2021-05-25,ARI,,SFG,"L,0-8",4-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.063,9,0.66,-0.017,0.17,0.00%,-0.44,0.0,0.0,PH,,2021-05-25,109,137,633979,2021,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0.0,3.0,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0.0,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0.0,3.0
8,29,2021-05-27,ARI,,STL,"L,4-5",9-9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.118,9,1.39,0.029,0.22,0.00%,0.13,0.0,0.0,PH,,2021-05-27,109,138,633914,2021,0.0,0.062,0.0,0.062,0.0,0.0,0.0,0.0,4.0,0.0,0.062,0.0,0.062,0.0,0.0,0.0,0.0,4.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.062,0.0,0.062,0.0,0.0,0.0,0.0,4.0
9,30,2021-05-28,ARI,,STL,"L,6-8",6-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,9,0.75,-0.019,0.1,0.00%,-0.24,0.0,0.0,PH,,2021-05-28,109,138,633987,2021,0.0,0.118,0.0,0.118,0.0,0.0,0.0,0.0,4.0,0.0,0.118,0.0,0.118,0.0,0.0,0.0,0.0,4.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.118,0.0,0.118,0.0,0.0,0.0,0.0,4.0
10,31,2021-05-29,ARI,,STL,"L,4-7",6-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.105,9,3.83,-0.097,0.43,-0.01%,-0.81,0.0,0.0,PH,,2021-05-29,109,138,633913,2021,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,4.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,4.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,3.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,4.0
