Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,778,1,2021-04-05,NYM,@,PHI,"L,3-5",CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,2,0.81,0.01,0.88,0.01%,-0.02,,,SS,,2021-04-05,121,143,634606
2,779,2,2021-04-06,NYM,@,PHI,"W,8-4",CG,5,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.125,0.2,0.125,0.325,2,0.82,-0.045,0.89,-0.03%,-1.0,,,SS,,2021-04-06,121,143,634608
3,780,3,2021-04-07,NYM,@,PHI,"L,2-8",CG,5,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.182,0.333,0.182,0.515,2,0.91,0.09,1.04,0.06%,0.91,,,SS,,2021-04-07,121,143,634626
4,781,4,2021-04-08,NYM,,MIA,"W,3-2",CG,5,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.214,0.4,0.214,0.614,2,1.96,-0.077,1.96,-0.05%,-0.25,,,SS,,2021-04-08,121,146,634584
5,782,5,2021-04-10,NYM,,MIA,"L,0-3",CG,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.176,0.348,0.176,0.524,2,1.61,-0.106,1.77,-0.07%,-0.94,,,SS,,2021-04-10,121,146,632201
6,783,6,2021-04-11,NYM,,MIA,"W,6-5",CG,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.15,0.333,0.15,0.483,2,1.24,0.023,1.29,0.01%,0.07,,,SS,,2021-04-11,121,146,632192
7,784,7,2021-04-13,NYM,,PHI,"W,4-3",CG(8),4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.13,0.323,0.13,0.453,2,1.97,-0.161,2.45,-0.12%,-1.22,,,SS,1.0,2021-04-13,121,143,632189
8,785,8,2021-04-13,NYM,,PHI,"W,4-0",CG(7),4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.154,0.343,0.192,0.535,2,0.63,0.054,0.83,0.04%,-0.28,,,SS,2.0,2021-04-13,121,143,632226
9,786,9,2021-04-14,NYM,,PHI,"W,5-1",CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.375,0.233,0.608,2,0.64,0.078,0.81,0.06%,1.04,,,SS,,2021-04-14,121,143,634528
10,787,10,2021-04-17,NYM,@,COL,"W,4-3",CG(7),4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.206,0.364,0.235,0.599,2,1.56,0.081,1.65,0.05%,0.76,,,SS,1.0,2021-04-17,121,115,634485
