Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,96 (95),2023-07-20,SEA,,MIN,"W,5-0",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0.25,0.0,0.25,8.0,0.35,-0.02,0.19,-0.01%,-0.67,2.0,3.0,LF,,2023-07-20,136,142,717327
2.0,2.0,97,2023-07-21,SEA,,TOR,"W,3-2",7-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.2,0.0,0.2,8.0,2.85,-0.08,1.81,-0.03%,-0.32,0.0,0.0,PR RF,,2023-07-21,136,141,717311
3.0,3.0,100 (2),2023-07-24,SEA,@,MIN,"L,3-4",GS-7,2,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.167,0.286,0.167,0.452,9.0,1.1,0.04,0.71,0.02%,0.38,8.0,9.0,LF,,2023-07-24,136,142,717275
4.0,4.0,101,2023-07-25,SEA,@,MIN,"W,9-7",CG,4,3,2,2,1,0,1,1,1,0.0,0,0,0,0.0,0,0.0,1,0,0.333,0.455,0.778,1.232,8.0,1.46,0.223,0.75,0.07%,1.76,28.0,36.9,LF,,2023-07-25,136,142,717264
5.0,5.0,102,2023-07-26,SEA,@,MIN,"W,8-7",CG,4,2,1,0,0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.273,0.467,0.636,1.103,7.0,0.9,0.008,0.56,0.00%,0.22,6.0,9.2,LF,,2023-07-26,136,142,717250
6.0,6.0,103,2023-07-28,SEA,@,ARI,"W,5-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.273,0.467,0.636,1.103,8.0,,,,,,0.0,0.0,LF,,2023-07-28,136,109,717223
7.0,7.0,104,2023-07-29,SEA,@,ARI,"L,3-4",CG,4,4,0,1,0,1,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.267,0.421,0.667,1.088,8.0,1.33,0.143,1.03,0.07%,-0.04,8.0,9.0,LF,,2023-07-29,136,109,717210
8.0,8.0,105,2023-07-30,SEA,@,ARI,"W,4-0",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.222,0.391,0.556,0.947,8.0,0.98,-0.079,0.71,-0.03%,-1.17,2.0,3.0,LF,,2023-07-30,136,109,717193
9.0,9.0,106,2023-07-31,SEA,,BOS,"W,6-2",CG,3,3,1,1,1,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.238,0.385,0.571,0.956,8.0,0.98,-0.068,0.91,-0.04%,-0.33,7.0,9.2,LF,,2023-07-31,136,111,717181
10.0,10.0,107,2023-08-01,SEA,,BOS,"L,4-6",CG,4,4,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.28,0.4,0.56,0.96,9.0,1.24,-0.041,1.33,-0.03%,0.05,8.0,9.2,LF,,2023-08-01,136,111,717167
