Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,124 (123),2023-08-19,CIN,,TOR,"L,3-4",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,1,0,,,,,5,7.16,0.207,8.31,0.14%,0.50,5.00,6.00,PR,,2023-08-19,113,141,716935
2,2,125,2023-08-20,CIN,,TOR,"L,3-10",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.500,.750,7,.40,0.040,.45,0.03%,0.86,5.00,6.00,3B,,2023-08-20,113,141,716924
3,3,126,2023-08-22,CIN,@,LAA,"W,4-3",CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,.250,.250,.375,.625,7,.86,-0.022,.89,-0.01%,-0.24,8.00,9.00,3B,,2023-08-22,113,108,716892
4,4,128 (1),2023-08-23,CIN,@,LAA,"W,7-3",CG,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.167,.231,.250,.481,1,1.07,0.018,1.24,0.01%,-0.22,4.00,6.50,3B,2.0,2023-08-23,113,108,716903
5,5,129,2023-08-24,CIN,@,ARI,"L,2-3",CG,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,.214,.313,.357,.670,7,1.20,0.128,1.74,0.11%,0.88,14.00,18.20,3B,,2023-08-24,113,109,716868
6,6,130,2023-08-25,CIN,@,ARI,"L,8-10",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.222,.300,.333,.633,7,1.01,-0.012,1.37,-0.01%,-0.99,3.00,3.00,3B,,2023-08-25,113,109,716851
7,7,131,2023-08-26,CIN,@,ARI,"W,8-7",CG(11),5,4,1,1,1,0,0,0,1,0,2,0,0,0,0,1,1,0,.227,.320,.364,.684,7,1.81,-0.106,2.53,-0.09%,-0.42,14.00,18.20,3B,,2023-08-26,113,109,716833
8,8,132,2023-08-27,CIN,@,ARI,"L,2-5",CG,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.240,.321,.360,.681,7,1.05,0.160,1.51,0.14%,0.69,5.00,6.50,3B,,2023-08-27,113,109,716821
9,9,133,2023-08-28,CIN,@,SFG,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.207,.281,.310,.592,1,.76,-0.080,1.03,-0.07%,-0.88,0.00,0.00,3B,,2023-08-28,113,137,716823
10,10,134,2023-08-29,CIN,@,SFG,"L,1-6",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.257,.281,.538,8,.39,-0.030,.51,-0.02%,-0.64,0.00,0.00,3B,,2023-08-29,113,137,716803
