Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,28,2021-05-26,TEX,@,LAA,"L,8-9",8-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.2,-0.078,1.43,-0.03%,-0.82,0.0,0.0,PH,,2021-05-26,140,108,633940,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,29,2021-05-27,TEX,@,SEA,"L,0-5",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.83,-0.061,0.48,-0.02%,-0.75,0.0,0.0,LF,,2021-05-27,140,136,633934,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,30,2021-05-28,TEX,@,SEA,"L,2-3",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5.45,-0.14,2.78,-0.04%,-0.43,0.0,0.0,PH,,2021-05-28,140,136,633997,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,31,2021-05-29,TEX,@,SEA,"L,2-3",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,-0.076,0.46,-0.02%,-0.57,0.0,0.0,LF,,2021-05-29,140,136,633947,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5,32,2021-05-30,TEX,@,SEA,"L,2-4",8-8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.111,0.111,0.222,9,1.09,0.052,0.48,0.01%,0.35,0.0,0.0,PH,,2021-05-30,140,136,633968,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
6,33,2021-06-01,TEX,@,COL,"L,2-3",8-GF(11),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.091,0.182,8,2.8,-0.15,0.94,-0.03%,-0.66,0.0,0.0,PH LF,,2021-06-01,140,115,633895,2021,0.111,0.111,0.111,0.222,1.0,0.0,0.0,1.0,4.0,0.111,0.111,0.111,0.222,1.0,0.0,0.0,1.0,4.0,0.111,0.111,0.111,0.222,1.0,0.0,0.0,1.0,4.0
7,34,2021-06-02,TEX,@,COL,"L,3-6",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.083,0.167,9,0.83,-0.022,0.23,0.00%,-0.12,0.0,0.0,PH,,2021-06-02,140,115,633848,2021,0.091,0.091,0.091,0.182,1.0,0.0,0.0,1.0,6.0,0.1,0.1,0.1,0.2,1.0,0.0,0.0,1.0,5.0,0.091,0.091,0.091,0.182,1.0,0.0,0.0,1.0,6.0
8,35,2021-06-03,TEX,@,COL,"L,6-11",5-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.077,0.154,9,0.2,-0.005,0.05,0.00%,-0.12,0.0,0.0,PH,,2021-06-03,140,115,633860,2021,0.083,0.083,0.083,0.167,1.0,0.0,0.0,1.0,6.0,0.125,0.125,0.125,0.25,1.0,0.0,0.0,1.0,3.0,0.083,0.083,0.083,0.167,1.0,0.0,0.0,1.0,6.0
9,36,2021-06-04,TEX,,TBR,"W,5-4",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.077,0.154,8,,,,,,0.0,0.0,LF,,2021-06-04,140,139,633830,2021,0.077,0.077,0.077,0.154,1.0,0.0,0.0,1.0,7.0,0.125,0.125,0.125,0.25,1.0,0.0,0.0,1.0,4.0,0.077,0.077,0.077,0.154,1.0,0.0,0.0,1.0,7.0
10,37,2021-06-05,TEX,,TBR,"L,0-3",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.143,9,0.95,-0.025,0.2,0.00%,-0.25,0.0,0.0,PH LF,,2021-06-05,140,139,633839,2021,0.077,0.077,0.077,0.154,1.0,0.0,0.0,1.0,7.0,0.2,0.2,0.2,0.4,1.0,0.0,0.0,1.0,3.0,0.077,0.077,0.077,0.154,1.0,0.0,0.0,1.0,7.0
