Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,121,106 (105),2021-08-03,BAL,@,NYY,"L,1-13",6-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,.03,-0.001,.00,0.00%,-0.21,,,SS,,2021-08-03,110,147,633023
2,122,107,2021-08-04,BAL,@,NYY,"L,3-10",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.45,-0.034,.00,0.00%,-0.52,,,SS,,2021-08-04,110,147,633018
3,123,108,2021-08-06,BAL,,TBR,"L,6-10",CG,4,3,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,.143,.125,.286,.411,9,1.27,0.011,.00,0.00%,0.22,,,SS,,2021-08-06,110,139,633006
4,124,109,2021-08-07,BAL,,TBR,"L,3-12",CG,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.111,.182,.222,.404,9,.92,-0.022,.00,0.00%,-0.09,,,SS,,2021-08-07,110,139,633014
5,125,110,2021-08-08,BAL,,TBR,"L,6-9",CG,4,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.231,.267,.308,.574,8,.66,0.028,.00,0.00%,0.10,,,SS,,2021-08-08,110,139,632971
6,126,112 (1),2021-08-11,BAL,,DET,"L,2-5",CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.188,.263,.250,.513,9,.93,-0.075,.00,0.00%,-0.64,,,SS,,2021-08-11,110,116,632922
7,127,113,2021-08-12,BAL,,DET,"L,4-6",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.211,.304,.263,.568,9,1.31,0.076,.00,0.00%,0.08,,,SS,,2021-08-12,110,116,632938
8,128,114,2021-08-13,BAL,@,BOS,"L,1-8",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.217,.296,.391,.688,9,.39,0.043,.00,0.00%,-0.22,,,SS,,2021-08-13,110,111,632902
9,129,115,2021-08-14,BAL,@,BOS,"L,2-16",CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.300,.385,.685,8,.31,0.011,.00,0.00%,-0.33,,,SS,,2021-08-14,110,111,632905
10,130,117 (1),2021-08-16,BAL,@,TBR,"L,2-9",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.294,.367,.661,9,.62,-0.016,.00,0.00%,-0.65,,,SS,,2021-08-16,110,139,632890
11,131,119 (1),2021-08-18,BAL,@,TBR,"L,4-8",GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.219,.278,.344,.622,9,1.00,-0.054,.00,0.00%,-0.46,,,SS,,2021-08-18,110,139,632849
12,132,120,2021-08-19,BAL,@,TBR,"L,2-7",CG,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.229,.282,.343,.625,9,.30,-0.007,.00,0.00%,0.07,,,SS,,2021-08-19,110,139,632833
13,133,121,2021-08-20,BAL,,ATL,"L,0-3",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.262,.316,.578,9,.81,-0.063,.00,0.00%,-0.60,,,SS,,2021-08-20,110,144,632814
14,134,122,2021-08-21,BAL,,ATL,"L,4-5",GS-9,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.195,.244,.293,.537,9,1.26,-0.098,.00,0.00%,-0.81,,,SS,,2021-08-21,110,144,632879
